	xmlid	date	title	author	roman
4492	5629444.xml	1750	Lettre à M. G***, docteur en médecine, résidant à V***, dans laquelle on démontre les avantages que l'on peut retirer de l'usage des bougies creuses nouvellement inventées pour la guérison radicale des carnosités, callosités et autres maladies de l'urètre, qui occasionnent des rétentions d'urine, par M. Olivier,...	Olivier	other
4558	6115179.xml	1750	Méthode indiquée par M. Boyer, médecin ordinaire du roy... envoyé par ordre de Sa Majesté à Beauvais	Boyer	other
1747	6583091.xml	1750	Élémens d'hippiatrique, ou Nouveaux principes sur la connoissance et sur la médecine des chevaux — Tome 2,Partie 1	Bourgelat	other
4517	6522549.xml	1750	Histoire des révolutions de Gênes, depuis son établissement jusqu'à la conclusion de la paix de 1748	Bréquigny	other
1418	5475054.xml	1750	Notice des ouvrages manuscrits de Monsieur Du Cange	Belley	other
8629	6541692.xml	1750	Élémens d'hippiatrique, ou Nouveaux principes sur la connoissance et sur la médecine des chevaux — Tome 1	Bourgelat	other
4017	5712431.xml	1750	"Lettre sur la pièce de ""Cénie"""	La Font de Saint-Yenne	other
5280	5500263.xml	1750	Cabinet bibliographique ou bureau général d'adresses pour la recherche de toutes sortes de livres...	A-UNKNOWN	other
1018	5447971.xml	1750	Le passage du Var, ou L'incursion des autrichiens en Provence	André-Bardon	other
1309	6259215.xml	1750	Leçons élémentaires d'optique	La Caille	other
5261	6438729.xml	1750	Le Voyage de M. de Cléville [par Laffichard]	L'Affichard	other
7225	5460955.xml	1750	Le patriotisme américain ou Mémoires sur l'établissement de la partie française de l'isle de Saint-Domingue, sous le vent de l'Amérique	Petit	other
319	6374631.xml	1750	Recueil de pieces d'eloquence, présentées à l'Académie françoise, pour les prix qu'elle distribuë — Tome 2	A-UNKNOWN	other
8079	6423228.xml	1750	Lettres de M*** à son ami	Varennes de Mondasse	other
8597	5855042.xml	1750	L'Opéra	Du Bocage	other
8074	5534228.xml	1750	État général et particulier du royaume et de la ville d'Alger, de son gouvernement, de ses forces de terre et de mer	Le Roy	other
2863	5813940.xml	1750	Reponse de l'Amateur à la premiere Lettre sur la Peinture	Fréron	other
4559	6143179.xml	1750	Les Époux infortunés, ou Céphale et Procris, poème d'Ovide par M. Dourxigné	Gazon-Dourxigné	other
6207	5833348.xml	1750	Lettre à M. de V*** [Voltaire] sur la tragédie d'Oreste	Ximénez	other
381	5809968.xml	1750	Histoire de deux opérations césariennes faites avec succès, la première le 17 juin 1746, la seconde le 29 avril 1749, par M. Guenin,...	Guenin	other
6858	6484817.xml	1750	Lettres sur l'esprit de patriotisme, sur l'idée d'un roy patriote et sur l'état des partis qui divisoient l'Angleterre, lors de l'avénement de Georges I	Bolingbroke	other
