document	NER_LOCATION
Abbes_Voyage.txt	[(('Palais', 'LOC'), 3), (('Vestibule', 'LOC'), 3), (('Maîtres', 'LOC'), 2), (('Pays', 'LOC'), 1), (('Région', 'LOC'), 1)]
 Anonym_Suzon.txt	[(('Couvent', 'LOC'), 30), (('Paris', 'LOC'), 13), (('État', 'LOC'), 13), (('Cordelier', 'LOC'), 11), (('Minois', 'LOC'), 11)]
 Anonyme_Etourdi.txt	[(('Paris', 'LOC'), 14), (('Comtesse', 'LOC'), 11), (('Lucie', 'LOC'), 8), (('Dames', 'LOC'), 7), (('Peins', 'LOC'), 6)]
 Anonyme_Zoloe.txt	[(('Zoloé', 'LOC'), 43), (('Volsange', 'LOC'), 33), (('Lauréda', 'LOC'), 18), (('Fessinot', 'LOC'), 17), (('Pacôme', 'LOC'), 13)]
 Arnaud_Epoux.txt	[(('Mademoiselle', 'LOC'), 35), (('Agathe', 'LOC'), 34), (('Paris', 'LOC'), 27), (('Lesseville', 'LOC'), 15), (('Sélincourt', 'LOC'), 9)]
 Arnaud_Matinees.txt	[(('Dorneuil', 'LOC'), 171), (('Virginie', 'LOC'), 154), (('Blansey', 'LOC'), 79), (('Stéphanie', 'LOC'), 55), (('Talmot', 'LOC'), 29)]
 Arnaud_Sentiment.txt	[(('Nelly', 'LOC'), 126), (('Nancy', 'LOC'), 124), (('Sargines', 'LOC'), 86), (('Sélicourt', 'LOC'), 85), (('Lucie', 'LOC'), 65)]
 Beauharnais_Lettres.txt	[(('Stéphanie', 'LOC'), 113), (('Clarence', 'LOC'), 52), (('Rosemont', 'LOC'), 29), (('Adieu', 'LOC'), 23), (('Eléonore', 'LOC'), 18)]
 Beaumont_Clarice.txt	"[(('caps"">La Nouvelle</hi', 'LOC'), 171), (('Clarice', 'LOC'), 47), (('Londres', 'LOC'), 37), (('Doyen', 'LOC'), 23), (('France', 'LOC'), 20)]"
 Beckford_Vathek.txt	[(('Vathek', 'LOC'), 61), (('Gulchenrouz', 'LOC'), 33), (('Morakanabad', 'LOC'), 13), (('Suleïman', 'LOC'), 9), (('Bababalouk', 'LOC'), 6)]
 Benoist_Elisabeth.txt	[(('Albi', 'LOC'), 66), (('Luzan', 'LOC'), 59), (('N', 'LOC'), 58), (('Paris', 'LOC'), 48), (('Arbroc', 'LOC'), 22)]
 Benouville_Pensees.txt	[(('Religion', 'LOC'), 35), (('Mérida', 'LOC'), 10), (('Bérénice', 'LOC'), 8), (('Loix', 'LOC'), 7), (('B', 'LOC'), 5)]
 Bernardin_Chaumiere.txt	[(('Gange', 'LOC'), 13), (('Jagrenat', 'LOC'), 13), (('Indes', 'LOC'), 12), (('Inde', 'LOC'), 12), (('Angleterre', 'LOC'), 8)]
 Bernardin_Paul.txt	"[(('Virginie', 'LOC'), 200), (('Domingue', 'LOC'), 29), (('France', 'LOC'), 21), (('Bourdonnais', 'LOC'), 20), ((""l'Europe"", 'LOC'), 16)]"
 Berquin_Enfants.txt	[(('Fabien', 'LOC'), 89), (('S', 'LOC'), 72), (('Firmin', 'LOC'), 69), (('Priscille', 'LOC'), 36), (('Casimir', 'LOC'), 34)]
 Boufflers_Reine.txt	[(('Golconde', 'LOC'), 6), (('Paris', 'LOC'), 3), (('Dinazarde', 'LOC'), 1), (('Molinos', 'LOC'), 1), (('Géorgie', 'LOC'), 1)]
 Cazotte_Diable.txt	[(('Alvare', 'LOC'), 14), (('Venise', 'LOC'), 13), (('Estrémadure', 'LOC'), 10), (('Portici', 'LOC'), 7), (('Naples', 'LOC'), 7)]
 Cazotte_Ollivier.txt	[(('Ollivier', 'LOC'), 87), (('Barin', 'LOC'), 46), (('Fleur-De-Myrte', 'LOC'), 40), (('Tours', 'LOC'), 21), (('Alérie', 'LOC'), 13)]
