,Text in Benoist_Elisabeth,Text in B,Location in Benoist_Elisabeth,Location in B
Arnaud_Epoux_0,ent à mon indifférence. J'at éTÉ VINGT FOIS SUR LE POINT DE te désabuser; mais je ne sçai,"nt de me quitter, elle avait éTÉ VINGT FOIS SUR LE POINT DE se trahir, que même, éloignée","(19298, 19327)","(360732, 360761)"
Arnaud_Sentiment_0,"mie, que tu dois sçavoir tout CE QUI SE PASSE DANS MON CŒUR, comme Dieu même. Sois donc i",rouble vous instruit assez de CE QUI SE PASSE DANS MON CŒUR. Il y a long-temps que je brû,"(204773, 204802)","(304195, 304224)"
Arnaud_Sentiment_1,"our uni cœur vertueux...... C'EN EST FAIT, JE NE VERRAI PLUS Luzan seule, je craindrais tr","ivre et avoir à rougir? ... C'EN EST FAIT, JE NE VERRAI PLUS ce monde abominable; je renon","(267747, 267777)","(304195, 304224)"
Beauharnais_Lettres_0,"aite, dont j'ignore la cause. JE NE SAIS SI JE ME TROMPE, MAIS je crois la deviner, parce qu", et mes tourments et ma joie. JE NE SAIS SI JE ME TROMPE? MAIS quelques mots échappés pourra,"(79427, 79459)","(98150, 98182)"
Beauharnais_Lettres_1,"que amie, que tu dois sçavoir TOUT CE QUI SE PASSE DANS MON cœur, comme Dieu même. Sois d","itude: c'est en lui apprenant TOUT CE QUI SE PASSE DANS SON cœur, que je le forcerai de s","(204768, 204797)","(98150, 98182)"
Berquin_Enfants_0,tachercher à moi. Comptez que JE FERAI TOUT CE QUI SERA EN mon pouvoir pour vous rendre ,s pu en choisir de meilleurs. JE FERAI TOUT CE QUI SERA EN moi pour m'en faire aimer com,"(85585, 85613)","(130071, 130099)"
bible_0,"sort. Je me réjouis avec toi, JE RENDS GRÂCES À DIEU DE CE QUE le coup n'a point été mortel,","baptisés au nom de Paul ?

14 JE RENDS GRÂCES À DIEU DE CE QUE je n’ai baptisé aucun de vous","(213102, 213134)","(4243342, 4243374)"
Constant_Laure2_0, famille royale. Je remarquai QUE LA PLUS GRANDE PARTIE DES CONVIVES se cachait avec leur serviett,"j'ai prié mon père de permettrE QUE LA PLUS GRANDE PARTIE DES RÉPÉTITIOns se fissent à la maison, et ","(366694, 366732)","(102341, 102382)"
Cottin_Claire_0,"ait aussi vive que la mienne, IL N'EST POINT DE SACRIFICE QUE TU NE me fisses. J'ai éprouvé cent ","rreur ; je suis prête à tout, IL N'EST POINT DE SACRIFICE QUE JE NE fasse. Faut-il cesser de le v","(5062, 5099)","(100866, 100903)"
Cottin_Claire_1,"que amie, que tu dois sçavoir TOUT CE QUI SE PASSE DANS MON CŒUR, comme Dieu même. Sois donc i","u'il m'a vue, mais qu'il sait TOUT CE QUI SE PASSE DANS MON CŒUR. J'avais espéré pourtant l'ar","(204768, 204802)","(100866, 100903)"
