,Text in Chevrier_Colporteur,Text in B,Location in Chevrier_Colporteur,Location in B
Arnaud_Sentiment_0,". Non, non, reprit la baronne EN SE JETANT AU COU DE SON amant, vous ne partirez point",".. ah! Mon ami, s'écrie Bell, EN SE JETANT AU COU DE SON mari, mon ami, qu'ai-je vu? E","(126073, 126099)","(573628, 573654)"
Beaumont_Clarice_0," c'est moi qui vous enconjure DE LA MEILLEURE FOI DU MONDE, MAIS faites-moi la grâce de chasse","nt très-jolies, et l'ainée me DEMANDA DE LA MEILLEURE FOI DU MONde, s'il n'était pas vrai que ","(64283, 64317)","(43923, 43957)"
Beaumont_Clarice_1,"Defresne ne me donne en place DES ACTIONS SUR LA COMPAGNIE DES INDES, ou un contrat sur la ville, ","quante mille livres sterling, QUI SONT SUR LA BANQUE DE GÊNES, LE REste des actions sur la Compagn","(92324, 92362)","(43923, 43957)"
Charriere_Femmes_0,"Oh, très-possible, madame; et PUISQUE VOUS VOULEZ QUE JE VOUS PARLE vrai, je vous dirai à l'oreil","res ne vous tournent la tête, PUISQUE VOUS VOULEZ QUE JE VOUS ÉCRIVE; vraiment, votre sécurité est","(1609, 1646)","(122306, 122344)"
Crebillon_Atheniennes_0," quelquefois révoltante, pour JUGER, PAR L'IMPRESSION QU'ELLE FAIT SUR CELUI qui l'écoute, de l'esprit et ","vient, si, du moins j'en puis JUGER PAR L'IMPRESSION QU'ELLE A FAITE SUR MOI, que c'est sans qu'elle plais","(208375, 208421)","(760627, 760673)"
Crebillon_Nuit_0,"ettes. Concluez, mon fils, de CE QUE JE VIENS DE VOUS DIRE, que vous ne devez pas imiter","ose... 
CIDALISE. 
Après tout CE QUE JE VIENS DE VOUS DIRE, ce serait à moi une assez be","(234893, 234921)","(51208, 51236)"
Diderot_Religieuse_0,es tailleurs et les croupiers DE L'ORDRE ROYAL ET MILITAIRE DE SAINT LOUIS; il y a dans Paris deux mille,"ismare, chevalier grand-croix DE L'ORDRE ROYAL ET MILITAIRE DE SAINT-LOUIS, lieutenant général des armée","(72815, 72859)","(17563, 17607)"
Fourqueux_Zely_0,"il prit des chevaux de poste, ET ARRIVA CHEZ LUI AU MILIEU DE LA NUIT. Une affluence de monde, quir","ce: il partit au même instant ET ARRIVA CHEZ LUI AU MILIEU DE LA NUIT. Sa porte était ouverte, ses ","(132606, 132645)","(64961, 65000)"
Genlis_Chevaliers_0,"e, furent des témoins parlans DE LA SCÈNE QUI VENAIT DE SE PASSER. Bélise,malgré ses inquiétude"," lui parlait avec ravissement DE LA SCÈNE QUI VENAIT DE SE PASSER. Je vous avoue, disait-il, qu","(36584, 36619)","(682333, 682368)"
Genlis_Chevaliers_1," son cou; tout fut oublié, et LE RESTE DE LA SOIRÉE SE PASSA en choses extraordinaires: le","ent entendues et recueillies. LE RESTE DE LA SOIRÉE SE PASSA tristement; toutes les dames,","(52482, 52512)","(682333, 682368)"
