,Text in Anonym_Suzon,Text in B,Location in Anonym_Suzon,Location in B
Arnaud_Epoux_0,'avait faite de m'entretenir. IL Y AVAIT TROP LONG TEMPS QUE JE désirois de quitter cette méc,"e décision de notre destinée, IL Y AVAIT TROP LONG-TEMPS QUE JE portais le malheur même impri","(5154, 5187)","(331753, 331786)"
Arnaud_Matinees_0, de me laisser. J'accompagnai CES DERNIÈRES PAROLES D'UN TORRENT DE LARMES. Mon Amant ne put voir mes pl,"useriez-vous demé connaître, eT DE ME RENDRE, J'OSE LE DIRE, LA JUSTICE Que je mérite ?.. Eh! que ne li","(16956, 17000)","(431764, 431807)"
Arnaud_Sentiment_0," chagrin qu'il m'avait causé, ET QUE DANS LA SUITE IL NE serait plus aussi curieux. Co","t bientôt au rang des quinze, ET QUE DANS LA SUITE IL NE fût un des trois présidents. ","(19336, 19362)","(1118235, 1118261)"
Constant_Laure2_0,"curiosité. Tenez, lui dis-je, JE NE VEUX PAS VOUS FAIRE LANGUIR davantage : voilà ce que vous","us faisons dans notre retraite; JE NE VEUX PAS VOUS FAIRE LANGUir, et je vais satisfaire votr","(18827, 18860)","(117770, 117803)"
Crebillon_Conte_0,"ais faire fort attentivement, ET J'AVOUE DE BONNE FOI QUE JE ne pouvais pas deviner son de"," cas, ne soit un peu étourdi; ET J'AVOUE, DE BONNE FOI, QUE JE le fus. Ce mouvement fut cepe","(109322, 109352)","(328493, 328525)"
Dorat_Malheurs_0,"el-Dieu : je n'ai pas un sol, ET POUR COMBLE DE MALHEUR JE NE connais personne dans cette V","Le beau prétexte! J'y courus; ET, POUR COMBLE DE MALHEUR, JE NE l'aperçu point. Je ne sais da","(87027, 87058)","(105843, 105876)"
Dorat_Sacrifices_0,ux instances d'une personne à QUI J'AI LES PLUS GRANDES OBLIGATIONS ET AVEC qui je passe une vie paisible,"res qui s'emparent de moi. Je LUI AI LES PLUS GRANDES OBLIGATIONS, ET, AVEC celles de son âge, vous savez","(108, 153)","(3815, 3860)"
Florian_Galatee_0,"es, à faire renaître ma joie, QUE JE NE PUS M'EMPÊCHER DE RIRE à quelques-unes de ses folies","ous avoue, aimables bergères, QUE JE NE PUS M'EMPÊCHER DE RIRE à ce récit entrecoupé de sang","(9551, 9583)","(34068, 34100)"
Fourqueux_Zely_0,"toute votre confiance, malgré TOUT CE QUE J'AI FAIT POUR VOUS prouver que je n'en étais pas","eu avantageusement pour “moi, TOUT CE QUE J'AI FAIT POUR VOUS. “J'avoue mon faible: je voul","(17437, 17468)","(140646, 140677)"
Genlis_Adele_0,"trant, nous fit à tous quatre TOURNER LA TÊTE DU CÔTÉ DE LA PORTE. Jamais aussi surprise ne fut"," fut hors de l'infirmerie, il RETOURNA LA TÊTE DU CÔTÉ DE LA PORTE, et fit un profond soupir en ","(116327, 116362)","(1312364, 1312400)"
Genlis_Chevaliers_0," trouble. À la fin cependant, FAISANT UN EFFORT SUR ELLE-MÊME, ELLE me dit avec une sorte d'intér","ta une minute, et, paraissant FAIRE UN EFFORT SUR ELLE-MÊME, ELLE me quitta brusquement, s'élan","(5501, 5538)","(732865, 732900)"
Kimber_Thompson_0,"Je fus donc moi-même la cause DE TOUS LES MALHEURS QUE J'AI ESSUYÉS DANS LA suite, et j'ai payé bien cher",al moment qui a été la source DE TOUS LES MALHEURS QUE J'AI ESSUYÉS PAR LA suite! Je fus mille fois sur ,"(99879, 99924)","(294854, 294898)"
Lagrave_Sophie_0,"r toujours fidèle, et n'avoir JAMAIS D'AUTRE VOLONTÉ QUE LA VÔTRE. JE LUI ai tenu parole, et je coule d",nds d'avance que ma sœur n'aurA JAMAIS D'AUTRE VOLONTÉ QUE LA VÔTRE. JE Lui en parlerai comme vous le d,"(146426, 146469)","(24817, 24860)"
LaPlace_Collection_0,"es, à faire renaître ma joie, QUE JE NE PUS M'EMPÊCHER DE RIRE à quelques-unes de ses folies",té fort indifférente. J'avoue QUE JE NE PUS M'EMPÊCHER DE RIRE de son affectation. Elle fini,"(9551, 9583)","(427618, 427650)"
Lesuire_Aventurier_0,fille du bon homme Ambroise ; IL Y AVAIT MÊME DÉJÀ LONG-TEMPS QUE ce vieillard ne s'occupait pl,"lus relevé“ (Cela était vrai; IL Y AVAIT MÊME DÉJÀ LONG-TEMPS QUE j'aurois dû le faire.) 
“Il f","(20821, 20856)","(504629, 504664)"
Maistre_Voyage_0,"elle il réussissoit le mieux. TOUT CE QUE JE PUIS DIRE, C'EST QUE j'étais fort contente du mouv","ut rendre raison d'un songe?--TOUT CE QUE JE PUIS DIRE, C'EST QUE ce fut mon âme qui évoqua le ","(113849, 113884)","(97540, 97575)"
Nerciat_Felicia_0,"faire votre curiosité. Tenez, LUI DIS-JE, JE NE VEUX PAS vous faire languir davantage ","es de Monrose.---Mon bon ami, LUI DIS-JE, JE NE VEUX PAS mésuser de ta tendresse et de","(18815, 18841)","(347268, 347294)"
Popeliniere_Daira_0,"faire votre curiosité. Tenez, LUI DIS-JE, JE NE VEUX PAS vous faire languir davantage "," secours: parlez, mon enfant, LUI DIS-JE, JE NE VEUX QUE vous servir, disposez de tout","(18815, 18841)","(18111, 18137)"
Puget_Periphas_0,e contraire aux lois que Dieu GRAVA DANS LE CŒUR DE TOUS LES hommes. Quand vous avez pu ab,"principes de la loi naturelle GRAVÉE DANS LE CŒUR DE TOUS LES mortels, telles sont ici les ","(41672, 41702)","(91858, 91889)"
Riccoboni_Histoire_0,occasionner notre séparation. MALGRÉ TOUS LES SOINS QU'ELLE PRIT POUR cacher la douleur que lui cau,"à s'approcher d'Adélaïde; et, MALGRÉ TOUS LES SOINS QU'ELLE PRIT POUR l'éviter, il parvint à se pla","(5310, 5349)","(31315, 31354)"
Sade_Infortunes_0,"toute votre confiance, malgré TOUT CE QUE J'AI FAIT POUR VOUS PROUVER QUE je n'en étais pas indigne : d","vous serez bien convaincue de TOUT CE QUE J'AI FAIT POUR VOUS, J'ESPÈRE QUE je trouverai dans votre âme t","(17437, 17480)","(67458, 67503)"
Senac_Emigre_0,"il n'osoit s'y présenter deux FOIS. IL N'EN ÉTAIT PAS DE MÊME d'un Supérieur, et sur-tout d","osée à abandonner le parti du ROI. IL N'EN ÉTAIT PAS DE MÊME de la cavalerie, dont la comp","(25092, 25123)","(93748, 93778)"
Souza_Adele_0,i fit signe de se taire et me DEMANDA SI JE SERAIS BIEN AISE D'ÊTRE mise au Couvent. Sur ce que j,t à toutes; car un jour il me DEMANDA SI JE SERAIS BIEN AISE D'ÊTRE sa femme? Je l'assurai que ou,"(68784, 68821)","(159052, 159089)"
Voisenon_Histoire_0, qui ne tarda plus à paraître QU'AUTANT DE TEMPS QU'IL EN FALLUT POUR réparer le désordre de mes ha,stimé; mais je ne la possédai QU'AUTANT DE TEMPS QU'IL M'EN FALLUT POUR faire voir mon incapacité et ,"(67574, 67613)","(15804, 15845)"
Voltaire_Candide_0,atisfaire. Nous ne différâmes QU'AUTANT DE TEMPS QU'IL EN FALLAIT POUR qu'on ne nous surprît pas. Il,ide ne s'arrêta dans Bordeaux QU'AUTANT DE TEMPS QU'IL EN FALLAIT POUR vendre quelques cailloux du D,"(102969, 103009)","(116387, 116427)"
