,Text in Dorat_Malheurs,Text in B,Location in Dorat_Malheurs,Location in B
Anonyme_Etourdi_0,ois aussi loin que l'amour... JE NE SAIS CE QUE JE VEUX; mais je sais que mon agitati,"rsées. Je ne suis plus à moi, JE NE SAIS CE QUE JE VEUX. Suspendue entre deux mouveme","(122739, 122764)","(144034, 144059)"
Anonym_Suzon_0,"Le beau prétexte! J'y courus; ET, POUR COMBLE DE MALHEUR, JE NE l'aperçu point. Je ne sais da","el-Dieu : je n'ai pas un sol, ET POUR COMBLE DE MALHEUR JE NE connais personne dans cette V","(105843, 105876)","(87027, 87058)"
Arnaud_Epoux_0,me devenir d'autant plus cher QUE J'AI ÉTÉ SUR LE POINT DE le trahir. Madame De Syrcé es,"c tous mes malheurs, apprends QUE J'AI ÉTÉ SUR LE POINT DE perdre plus que la vie, qu'on","(40526, 40554)","(55548, 55576)"
Arnaud_Epoux_1,"en plains! Je ne sais plus ni CE QUE JE DIS, NI CE QUE JE VEUX; JE suis bien digne de pitié... v"," Je ne sais, réplique-t-elle, CE QUE JE DIS, NI CE QUE JE VEUX! JE sais... que je suis la plus i","(149063, 149099)","(55548, 55576)"
Arnaud_Epoux_2,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"moin, l'objet, pour ressentir CE QUI SE PASSA DANS MON ÂME! HÉLAS! Que la douleur n'a-t-elle un","(182626, 182655)","(55548, 55576)"
Arnaud_Epoux_3,e l'abattement; le désespoir éTAIT AU FOND DE MON CŒUR. JE ne me suis parée ni d'un vain, plus insupportable. La rage éTAIT AU FOND DE MON CŒUR; IL ne ressentait point de coups ,"(292230, 292258)","(55548, 55576)"
Arnaud_Sentiment_0,"u'elle en profite. Elle court DE FÊTES EN FÊTES, DE PLAISIRS EN PLAISIRS. On la voit aux spectacles, a","bal, demain à l'opéra, portée DE FÊTES EN FÊTES, DE PLAISIRS EN PLAISIRS, se retirant fort tard, quelq","(30020, 30062)","(385013, 385055)"
Beaumont_Clarice_0, que nous aurions voulu; mais VOUS AURIEZ TORT DE VOUS EN FLATTER; et puis définissez les femme,"r vous le devoir le plus sacré; VOUS AURIEZ TORT DE VOUS EN FLATTer, vous ne ferez qu'aggraver ","(96568, 96603)","(22832, 22867)"
Beaumont_Clarice_1,cessité de vous en instruire. JE VOUS RÉPÈTE CE QUE JE VOUS AI DÉJÀ DIT; j'avais un désirs de repos q,"wton, et les heures que je pasSE AVEC CET AUTEUR, S'ÉCOULENT AVEC UNE Rapidité étonnante. Il faut que","(183647, 183688)","(22832, 22867)"
Benoist_Elisabeth_0,"fait gracieux; et quelquefois IL N'EN FAUT PAS DAVANTAGE POUR DÉTERMINER. UN homme qui balbutie, a toujour",ra inspirées monsieur Patibe; IL N'EN FAUT PAS DAVANTAGE POUR DÉTERMINER UN médecin peu scrupuleux à rass,"(8596, 8642)","(393849, 393894)"
