,Text in Genlis_Adele,Text in B,Location in Genlis_Adele,Location in B
Anonyme_Etourdi_0,"chait la solitude, me fuyait, ET, POUR LA PREMIÈRE FOIS DE SA VIE, paraissait craindre de se tr","eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(696843, 696878)","(62682, 62716)"
Anonyme_Etourdi_1,"x, des habits magnifiques, de SUPERBES CHEVAUX, LES VOITURES LES PLUS ÉLÉGANTES, une petite maison bien reche","ut mon bonheur à posséder des SUPERBES CHEVAUX, LES VOITURES LES PLUS ÉLÉGANTES et les plus nouvelles ; à avo","(1045209, 1045258)","(62682, 62716)"
Anonym_Suzon_0,un philosophe; mais cependant JE VOUS AVOUE QUE JE NE PUIS accorder les sacrifices inoui,'honneur de prendre sa place. JE VOUS AVOUE QUE JE NE PUIS avoir la dureté de vous voir ,"(558558, 558586)","(120928, 120956)"
Arnaud_Epoux_0,nneur et de votre réputation; JE NE VOUS DEMANDE QUE LE COURAGE de déclarer que vous ne pouve,"ouvrir mon âme toute entière; JE NE VOUS DEMANDE QUE LE TEMPS de leur écrire, et de recevoi","(157477, 157510)","(27623, 27654)"
Arnaud_Epoux_1,"désirs d'en savoir davantage: TOUT CE QUE JE PUIS VOUS DIRE, répondit-il, c'est que ce je","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","(805345, 805374)","(27623, 27654)"
Arnaud_Matinees_0,"e leva impétueusement, et fut SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous","uple si malheureux se chérissaIT PLUS QUE JAMAIS. .."" .. 
JE te le redis souvent, (en se j","(364639, 364668)","(145198, 145228)"
Arnaud_Sentiment_0,"un rouge éclatant, et la joie LA PLUS VIVE ET LA PLUS PURE étinceloit dans ses yeux. Âge","s m'avez inspiré la tendresse LA PLUS VIVE, ET LA PLUS PURE; chaque jour vous prête de no","(97892, 97920)","(180210, 180239)"
Arnaud_Sentiment_1,"ève, parce qu'il prouve qu'on SENT TOUT LE PRIX DE LA VERTU, ET parce qu'enfin les grandes âm","le, par des remords inutiles; SENTANT TOUT LE PRIX DE LA VERTU, ET ne pouvant plus la recouvrer;","(183105, 183138)","(180210, 180239)"
Arnaud_Sentiment_2,"e leva impétueusement, et fut SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous","à cette espèce de tombeau, va SE JETER DANS LES BRAS DE SON infortuné parent, tente tous ","(364639, 364668)","(180210, 180239)"
Arnaud_Sentiment_3,"l s'élance vers moi, me serre DANS SES BRAS EN FONDANT EN LARMES, il me fait cent questions à ","ux, court après lui, et tombe DANS SES BRAS, EN FONDANT EN LARMES:-je n'ai donc plus de fils! M","(1015326, 1015360)","(180210, 180239)"
Arnaud_Sentiment_4,"ensément riche, le rend aussi DIGNE DE TOUTE LA TENDRESSE DE SA femme; je crois qu'il n'attac"," de cette nièce chérie, était DIGNE DE TOUTE LA TENDRESSE DE SA tante. Jamais la nature n'ava","(1168669, 1168702)","(180210, 180239)"
Beauharnais_Lettres_0,"e s'embellir par l'expression LA PLUS TOUCHANTE ET LA PLUS NOBLE; le ton ferme de sa voix, la ","emont, avec la réconnaissance LA PLUS TOUCHANTE ET LA PLUS NOBLE. Combien la dignité de son re","(359110, 359144)","(26926, 26960)"
Beauharnais_Lettres_1," Cécile, mais je savais que c'EST DANS LES BRAS DE SON PÈRE QU'ELLE a rendu le dernier soupir, et","ma fille! Dieu! ô Dieu! ... C'EST DANS LES BRAS DE SON PÈRE QU'ELLE se retrouve. 
Malgré les horr","(444121, 444158)","(26926, 26960)"
Beauharnais_Lettres_2,"ent nos sentiment mutuels, et FIXENT LE JOUR QUI DOIT NOUS UNIR pour jamais. Je servois alors",", et presse mes parents, pour FIXER LE JOUR QUI DOIT NOUS UNIR; déjà, Madame de Céléria, à q","(711512, 711545)","(26926, 26960)"
Beaumont_Clarice_0,"us parle de Madame D'Ostalis, JE N'AI QUE DU BIEN À VOUS EN DIRE; elle se conduit toujours ave","deux des per-sonnages; rassureZ-VOUS, JE N'AI QUE DU BIEN À VOUS en dire, l'une est la Duchess","(58877, 58911)","(42867, 42901)"
Beaumont_Clarice_1,"gez, si vous avez faim, et de TOUT CE QUE VOUS VOUDREZ, POURVU QUE ce soit sans excès: au reste,","ttres à la glace. Je vous laisSERAI LA LIBERTÉ DE FAIRE TOUT CE QUe vous voudrez, pourvu que vou","(476347, 476383)","(42867, 42901)"
Beaumont_Clarice_2,"D'Aimeri au baron. De Paris. 
JE VOUS AI PROMIS DE LA SINCÉRITÉ, JE TIENDRAI MA PAROLE; mais souvenez-vous, monsieur","il souhaitait que mon père pût LUI PROCURER. TREVE DE BADINAGE, JE VOUS AI PROMIS DE La sincérité, je tiendrai ma pa","(936117, 936173)","(42867, 42901)"
Beaumont_Clarice_3,eurs; je priai son conducteur DE ME DONNER DE SES NOUVELLES AUSSI-TÔT QU'IL SERAIT ARRIVÉ à Paris; M De Valincourt m'éc,"e dit qu'ils ne partiroient quE LE LENDEMAIN, PARCE QUE MADAME DE LASTIC ÉTAIT EXTRÊ-MEMEnt fatiguée, et il me promit d","(1171986, 1172045)","(42867, 42901)"
Beckford_Vathek_0,"rtement; avant d'entrer, j'ai ENTENDU DE GRANDS ÉCLATS DE RIRE QUI m'ont un peu rassurée sur l'é",acrifice. Pendant le repas on ENTENDIT DE GRANDS ÉCLATS DE RIRE QUI retentissaient dans l'atmosph,"(449101, 449137)","(63023, 63060)"
Beckford_Vathek_1,"t la solitude, me fuyait, et, POUR LA PREMIÈRE FOIS DE SA VIE, paraissait craindre de se tr","proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","(696847, 696878)","(63023, 63060)"
Benoist_Elisabeth_0, que la douleur de M D'Aimeri EST AU-DESSUS DE TOUT CE QUE peuvent imaginer ceux qui n'o,horreur de ma situation; elle EST AU-DESSUS DE TOUT CE QU'ON peut éprouver de plus doulour,"(366890, 366918)","(204384, 204414)"
Benoist_Elisabeth_1," ... Vous ne pouvez concevoir TOUT CE QUI SE PASSE DANS MON CŒUR, non; quoique vous le connais","que amie, que tu dois sçavoir TOUT CE QUI SE PASSE DANS MON CŒUR, comme Dieu même. Sois donc i","(1357382, 1357416)","(204384, 204414)"
Benouville_Pensees_0,"ment voulez-vous, lorsqu'on a CINQUANTE MILLE LIVRES DE RENTES, ET QU'ON en dépense quatre-vingt, qu'o","un coup ce même homme hérite dE CINQUANTE MILLE LIVRES DE RENTE, ET QU'on lui donne un Régiment? autr","(1224183, 1224225)","(78636, 78677)"
Berquin_Enfants_0,"'Anglures, saisissant Charles DANS SES BRAS, LE SERRA CONTRE SON sein, avec un transport qui m","e généreux enfant; il le prit DANS SES BRAS, LE SERRA CONTRE SON cœur, et lui dit: non, mon ch","(435979, 436013)","(161519, 161553)"
