,Text in Nerciat_Felicia,Text in B,Location in Nerciat_Felicia,Location in B
Anonym_Suzon_0,"es de Monrose.---Mon bon ami, LUI DIS-JE, JE NE VEUX PAS mésuser de ta tendresse et de","faire votre curiosité. Tenez, LUI DIS-JE, JE NE VEUX PAS vous faire languir davantage ","(347268, 347294)","(18815, 18841)"
Arnaud_Epoux_0," interrompit l'un des drôles, IL NE SERA PAS DIT QUE JE le fasse à des culs crottés, ","re ces bijoux médiocres, non, IL NE SERA PAS DIT QUE JE me sois servi de pareilles re","(267754, 267779)","(207487, 207512)"
Arnaud_Epoux_1,"soin de sa demeure actuelle. 
JE NE SAVAIS SI JE DEVAIS FÉLICITER le comte ou le plaindre. Sa p",onore vient nous interrompre: JE NE SAVAIS SI JE DEVAIS ME FÉLICITER de son retour; sa présence ce,"(464953, 464988)","(207487, 207512)"
Arnaud_Matinees_0,"mais qui, malgré ses avances, AVAIT TOUTES LES PEINES DU MONDE À SE faufiler avec la soi-disant b","éance me défendt-elle d'écrire ? COMME JE LUI AUROIS ENVOYÉ TOUTE MOn âme ! Sinderson, à ces parol","(380481, 380518)","(343032, 343070)"
Arnaud_Sentiment_0,"ais qu'on fera bien de lire. 
IL FAUT SI PEU DE CHOSE POUR bouleverser une jeune tête qu",me procurerai ma subsistance; IL ME FAUT SI PEU DE CHOSE POUR vivre! Du moins je vous verra,"(22311, 22339)","(257153, 257184)"
Arnaud_Sentiment_1,"de la loge, une amie qui nous PRESSA DE VENIR SOUPER CHEZ ELLE, AVEC des gens fort du goût de Sylv"," à se dessiller. 
Son amie la PRESSE DE VENIR SOUPER CHEZ ELLE AVEC un de ses parents, nouvelleme","(77538, 77576)","(257153, 257184)"
Beaumont_Clarice_0,"ais qu'on fera bien de lire. 
IL FAUT SI PEU DE CHOSE POUR bouleverser une jeune tête qu",. Dieu me garde de plus grands MALHEURS QUE DE CELUI D'ÊTRe pauvre; je n'ai pas besoin d,"(22311, 22339)","(341190, 341218)"
bible_0," interrompit l'un des drôles, IL NE SERA PAS DIT QUE JE le fasse à des culs crottés, ","is
maintenant l’Éternel dit : IL NE SERA PAS DIT QUE JE fasse cela ; car
j’honorerai ","(267754, 267779)","(1122683, 1122708)"
Cazotte_Ollivier_0,"it à ses plaisirs, et surtout IL N'EST PAS HORS DE PROPOS DE se ménager pour une féconde j",ait Zaman: nouvel acteur dont IL N'EST PAS HORS DE PROPOS DE donner une légère idée. C'éta,"(41573, 41603)","(247901, 247931)"
Charriere_Femmes_0,"vous et d'un père... » (etc., CE N'EST PAS DE CELA QU'IL S'AGIT... Écoutez maintenant, mesdam","éveillée par cet indiscret. 
-CE N'EST PAS DE CELA QU'IL S'AGIT, Joséphine. Peu importe mon s","(522178, 522211)","(13340, 13373)"
Constant_Laure1_0,"ts m'intéressèrent, et je fus AU-DEVANT DE TOUT CE QUI POUVAIT la justifier. Je compris que,",raître „sa conquête; j'allois AU-DEVANT DE „TOUT CE QUI POUVAIT lui plaire; je „lui faisais v,"(162456, 162488)","(85267, 85300)"
Constant_Laure1_1, témérité de me rendre auprès DE VOUS SI JE N'AVAIS PAS ÉTÉ certain que vous ne dormiez p,"éputation, j'avais assez peur DE VOUS; SI JE N'AVAIS PAS ÉTÉ trois ans de suite aux bains;","(328872, 328901)","(85267, 85300)"
Constant_Laure2_0,"s retournée, riant aux larmes DE CE QUI VENAIT DE SE PASSER. Son air humilié redoubla mes", suppliai qu'on ne parlât poinT DE CE QUI VENAIT DE SE PASSer; bientôt je restai seule av,"(316999, 317028)","(107694, 107723)"
