,Text in Kimber_Thompson,Text in B,Location in Kimber_Thompson,Location in B
Abbes_Voyage_0,"montrai ce congé. Il me reçut DE LA FAÇON DU MONDE LA PLUS POLIE; je n'en fus pas surpris, car","e discours. Il continua ainsi DE LA FAÇON DU MONDE LA PLUS POLIE. 
Par ce que vous avez vu au ","(629022, 629056)","(13503, 13537)"
Anonyme_Etourdi_0, trouvé dans un tel embarras; JE N'OSAIS LEVER LES YEUX SUR ELLE; un transport de joie mêlé de,"yen placé vis-à-vis sa fille. JE N'OSAIS LEVER LES YEUX SUR ELLE, et ne pouvais pas en même te","(257654, 257688)","(112678, 112712)"
Anonym_Suzon_0,al moment qui a été la source DE TOUS LES MALHEURS QUE J'AI ESSUYÉS PAR LA suite! Je fus mille fois sur ,"Je fus donc moi-même la cause DE TOUS LES MALHEURS QUE J'AI ESSUYÉS DANS LA suite, et j'ai payé bien cher","(294854, 294898)","(99879, 99924)"
Arnaud_Epoux_0,"evins plus tranquille; etamp; IL SE FIT EN MOI UN SI grand changement, qu'au bout ","aient à leur dernier période; IL SE FIT EN MOI UNE SI prodigieuse révolution, que l","(314655, 314677)","(273359, 273382)"
Arnaud_Epoux_1,"u a fait perdre en un instant LA PLUS GRANDE PARTIE DE SON BIEN, d'avoir assez de courage eta","ce parent dans le tombeau, et LA PLUS GRANDE PARTIE DE SON BIEN dissipée par l'exécuteur test","(419933, 419966)","(273359, 273382)"
Beauharnais_Lettres_0,"net, d'où je pouvais entendre TOUT CE QUI SE PASSAIT DANS LA salle. Il n'y avait pas long-","veillaient, en mon absence, à TOUT CE QUI SE PASSAIT DANS LA prison où était renfermé l'ét","(96865, 96895)","(78374, 78404)"
Beaumont_Clarice_0,"ir de cette prison, lorsque j'ENTENDIS METTRE LA CLEF DANS LA SERRURE; je me blottis derrière un to"," tourments; mais un intérêt plUS CHER M'ANIMAIT. PENDANT QUE JE PRIAIs en-core, j'entendis mettre l","(33094, 33133)","(164259, 164298)"
Beaumont_Clarice_1,"usique, nous passâmes le jour DE LA FAÇON DU MONDE LA PLUS gracieuse. Il y eut le lendem",ectueusement la porte jusqu'à CE QU'IL FÛT ENTRÉ AVEC SES deux compagnons. Je demandai e,"(563212, 563240)","(164259, 164298)"
Beckford_Vathek_0,"l'York, où nous fumes régalés DE TOUT CE QU'IL Y AVAIT DE MEILLEUR DANS LE vaisseau. Prim le Capitaine C","onnettes d'argent, et chargés DE TOUT CE QU'IL Y AVAIT DE MEILLEUR DANS LE pays. Ils présentèrent leurs ","(563007, 563051)","(165932, 165976)"
Benoist_Elisabeth_0, peine qu'on la sauve du feu? JE VOUDRAIS DE TOUT MON CŒUR QUE tu eusses un état à lui donne,"de ce que mon mari me promet, JE VOUDRAIS DE TOUT MON CŒUR QUE tes espérances du côté du che","(225194, 225226)","(136307, 136339)"
Benouville_Pensees_0,"s d'avec ces gens intéressés, QUI NE SONT BONS QUE POUR EUX seuls, qui ne connoissent poi","our moi je nomme avares, ceux QUI NE SONT BONS QUE POUR EUX, de quelque manière qu'ils se","(695694, 695723)","(41421, 41450)"
Bernardin_Paul_0,ntre lui etamp; son neveu. Il LUI REMET UNE LETTRE DE LA PART DE Fidele: ce qu'elle contient. ,rit que ce gouverneur avait à LUI REMETTRE UNE LETTRE DE LA PART DE sa tante. Elle courut au Port,"(417721, 417755)","(157507, 157544)"
bible_0,ait hors d'état de se remuer: TOUS CEUX QUI ÉTAIENT AUTOUR DE LUI n'avaient pas assez de fermet," périr ?

10 Et ayant regardé TOUS CEUX QUI ÉTAIENT AUTOUR DE LUI, il dit à cet
homme : Etends ","(50315, 50350)","(3806319, 3806354)"
Cazotte_Ollivier_0,"s que les Marsouins sautoient DE TEMPS EN TEMPS AU-DESSUS DE L'EAU, se jouaient sur la surface d","yer; cependantsa tête revient DE TEMPS EN TEMPS AU-DESSUS DE L'EAU. Je vole à son secours, habil","(573323, 573359)","(138891, 138927)"
Charriere_Femmes_0," un grand cri, tomba évanouie SUR UNE CHAISE QUI SE TROUVA DERRIÈRE ELLE: pour moi sortant de ma létha","rce, et elle se laisse tomber SUR UNE CHAISE QUI SE TROUVE DERRIÈRE ELLE. Des sanglots étouffent sa vo","(469730, 469772)","(60204, 60246)"
Charriere_Lausanne_0,"amp; de mes chagrins actuels. TOUT CE QUE VOUS VENEZ DE DIRE, s'écria M. Bellair, ne me pe","est choisie. Il est payé pour TOUT CE QUE VOUS VENEZ DE DIRE; et, s'il se distingue, il ac","(354331, 354361)","(71741, 71771)"
Chevrier_Colporteur_0,"outes mes peines. Nous étions ALORS DANS LES BEAUX JOURS DU MOIS DE MAI, où la Nature répand avec pro",ans regretter Paris. On était ALORS DANS LES BEAUX JOURS DU MOIS DE MAI; la nature animée respirait p,"(840225, 840266)","(28605, 28646)"
