,Text in Riccoboni_MylordRivers,Text in B,Location in Riccoboni_MylordRivers,Location in B
Anonyme_Zoloe_0," à l'objet qui nous plaît; de SE PRIVER DU PLAISIR DE LE VOIR, MÊME de la douceur d'y penser. j'a"," impétueuse ; elle ne pouvait SE PRIVER DU PLAISIR DE LE VOIR ET de l'entendre. 
Cependant Fes","(238290, 238327)","(100702, 100736)"
Berquin_Enfants_0,vement d'orgueil. La justesse DE SON ESPRIT ET LA BONTÉ DE SON CŒUR lui firent priser la faveur p,it bientôt oublier les grâces DE SON ESPRIT ET LA BONTÉ DE SON CŒUR. La petite Léonor devint la p,"(125594, 125631)","(95455, 95492)"
Cazotte_Ollivier_0,"rend entre vos deux pupilles, JE VOUS PRIE DE VOULOIR BIEN LIRE ma lettre, pour vous assurer ","ur, lui répondit le duc, mais JE VOUS PRIE DE VOULOIR BIEN OUBLIER cette petite disgrâce, et la ","(67969, 68002)","(74307, 74343)"
Charriere_Femmes_0,"s souhaite, vainement cherche AU MILIEU DU TUMULTE ET DU BRUIT. Les avantages produits par l","nd l'autre s'avance, et vient AU MILIEU DU TUMULTE ET DU BRUIT ramener la paix et le bon ord","(72698, 72730)","(207129, 207161)"
Crebillon_Atheniennes_0,"oin. 
Sur mon honneur, il est DE TOUS LES HOMMES DU MONDE CELUI QUI M'INSPIRE LE plus d'éloignement. 
Lettre I","ve dans ce cas-là, vous êtes, DE TOUS LES HOMMES DU MONDE, CELUI À QUI J'ÉCRIS LE plus mal, et le moins volonti","(7915, 7965)","(227271, 227322)"
Crebillon_Atheniennes_1,"é, et mon dessein n'est point DE L'ÉCLAIRER SUR LA CAUSE DE MON éloignement. Me supposer une ","andaleux que dans l'intention DE L'ÉCLAIRER SUR LA CAUSE DE MON indulgence pour vous, et de m","(14210, 14243)","(227271, 227322)"
Crebillon_Atheniennes_2,"int, vous ne pouvez aimer. Et JE NE SAIS SI JE NE DOIS pas vous en féliciter. 
Depui","joüer avec lui l'inconstance, JE NE SAIS SI JE NE SERAIS pas plus à plaindre de lui do","(199841, 199865)","(227271, 227322)"
Crebillon_Nuit_0,"oin. 
Sur mon honneur, il est DE TOUS LES HOMMES DU MONDE CELUI qui m'inspire le plus d'éloig","ous dire, c'est que vous êtes DE TOUS LES HOMMES DU MONDE CELUI que j'estime le plus, et que ","(7915, 7948)","(70111, 70144)"
Dorat_Sacrifices_0,frirent ensemble à ma pensée. JE TROUVE AU FOND DE MON CŒUR ces mouvement tristes et tend," ai réfléchi, et j'y consens. JE TROUVE AU FOND DE MON CŒUR tout ce qui peut m'assurer du","(138710, 138739)","(209490, 209519)"
Ducray_Cinquante_0,s cesse elle entendait vanter LES GRÂCES DE SA FIGURE ET LES CHARMES DE son esprit. Mais dans l'âge o,le charmait tout le monde par LES GRÂCES DE SA FIGURE ET LES QUALITÉS DE son cœur. D'Eranville savait ,"(263360, 263401)","(55448, 55490)"
