,Text in Riccoboni_LettresAdelaide,Text in B,Location in Riccoboni_LettresAdelaide,Location in B
Anonyme_Etourdi_0," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE ELLE se tait, elle est impénétrabl"," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE ELLE reçoit et donne mille baisers","(11531, 11567)","(62685, 62721)"
Arnaud_Epoux_0,"e veux fuir, mon cœur se serre, JE TOMBE SANS CONNAISSANCE AUX PIEDS de M De Sancerre. Revenue d'un",ouve! Je ne puis la soutenir: JE TOMBE SANS CONNAISSANCE AUX PIEDS DE mon oncle; ses domestiques mo,"(82219, 82258)","(41891, 41930)"
Arnaud_Sentiment_0,"r que je sens? ... je l'épouse; JE SUIS LE PLUS HEUREUX DES HOMMes? "" Madame De Termes s'étonn",x! Je te vois! Je te possède! JE SUIS LE PLUS HEUREUX DES HOMMES! Bientôt perdant cette erreur,"(166852, 166886)","(434501, 434535)"
Arnaud_Sentiment_1,"raison, mon cher comte, je suiS AIMÉE, JE N'EN PUIS PLUS DOUTER, JE N'en veux plus douter! Aimable, ","un siège.-Ranulphe, elle vous AIME, JE N'EN PUIS PLUS DOUTER! ... JE N'EN doute point; mais je me comba","(216522, 216562)","(434501, 434535)"
Beauharnais_Lettres_0,"faire la possession d'un autre. POUR LA PREMIÈRE FOIS DE MA VIE, JE ME SUis dit avec complaisance, avec","père! c'en est donc fait! ... POUR LA PREMIÈRE FOIS DE MA VIE, JE SUIS profondément triste. L'extrêm","(209816, 209859)","(50402, 50442)"
Beckford_Vathek_0," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE elle se tait, elle est impéné","proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","(11531, 11562)","(77351, 77382)"
Benouville_Pensees_0," cœur inconstant; je le répète, JE NE VEUX PLUS VOUS VOIR. Je romprai tous les liens qui ","un peu. 
Pourrai-je dire enfin: JE NE VEUX PLUS VOUS VOIR? Je viens percer un cœur que j'","(78665, 78694)","(83164, 83193)"
bible_0,"s entièrement ouvert! Si, aprèS CE QUE JE VOUS AI DIT, VOus persistez à vouloir être in","Et Joseph leur dit : C’est là CE QUE JE VOUS AI DIT : VOUS êtes des
espions.

15 Vous se","(55686, 55713)","(178427, 178455)"
Charriere_Lausanne_0," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE ELLE se tait, elle est impénétrabl","a l'air encore tout effrayée. POUR LA PREMIÈRE FOIS DE SA VIE ELLE a mal passé la nuit, et je la","(11531, 11567)","(88751, 88787)"
Cottin_Claire_0," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE elle se tait, elle est impéné"," Frédéric éprouve de l'amitié POUR LA PREMIÈRE FOIS DE SA VIE, et doit l'exprimer avec viva","(11531, 11562)","(46177, 46208)"
Crebillon_Conte_0,"on... à présent, je voudrais... JE NE SAIS CE QUE JE VOUDRAis. Encore si vous étiez ici! "," pense; plus il me semble que JE NE SAIS CE QUE JE VOUDRAIS. à tout prendre pourtant, c'e","(224619, 224648)","(55352, 55381)"
Diderot_Jacques_0,"eure, un esprit fort prévoyant. EST-CE QUE JE NE SUIS Pas auprès de Madame De Sancerr",ce que tu n'es pas ma femme ? EST-CE QUE JE NE SUIS PAS ton mari ? Est-ce qu'un mari ,"(179711, 179736)","(32893, 32918)"
Duclos_Acajou_0,"a plus vive et la plus ardente, VOTRE TRÈS-HUMBLE ET TRÈS-OBÉISSANT SERVITEur, Charles Morinzer. Votre ré","s en exigez d'autres, je suis VOTRE TRÈS-HUMBLE ET TRÈS-OBÉISSANT SERVITEUR. 
ACAJOU ET ZIRPHILE CONTE. 
","(237805, 237850)","(2897, 2942)"
Dulaurens_Imirce_0,"rête, se jette sur un siège; iL NE SAIT CE QU'IL DIT, CE QU'IL FAit, il est transporté; vous n'","i distrait, si étourdi, qu'il NE SAIT CE QU'IL DIT, CE QU'IL FAIT, ni ce qu'il écrit; il barbou","(167707, 167742)","(255403, 255438)"
Genlis_Adele_0," l'accréditer ou à l'étendre. CE NE SERAIT PAS LA PREMIÈRE FOIS QUE, sacrifiant mon propre intérê",er la force de vous en faire? CE NE SERAIT PAS LA PREMIÈRE FOIS QUE vous auriez employé avec moi ,"(9632, 9669)","(210329, 210366)"
Genlis_Adele_1," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE ELLE se tait, elle est impénétrabl","quatre vingt lieues de Paris, POUR LA PREMIÈRE FOIS DE SA VIE, ELLE est si occupée des préparatif","(11531, 11567)","(210329, 210366)"
Genlis_Adele_2," cher comte, pour vous dire quE JE N'AI PAS LE TEMPS DE VOus écrire. Je pars à l'instant","ter: ce détail est trop long, JE N'AI PAS LE TEMPS DE VOUS en instruire à présent, mais ","(52134, 52162)","(210329, 210366)"
Genlis_Chevaliers_0,; je vous ai dit sur le marquiS TOUT CE QU'IL M'EST POSSIBLE DE VOUS DIre: mes sentiment à son égard ," peuvent désirer que l'oubli; TOUT CE QU'IL M'EST POSSIBLE DE VOUS DIRE, seigneur, c'est que vous voy","(128565, 128606)","(177987, 178028)"
Genlis_Chevaliers_1,"faire la possession d'un autre. POUR LA PREMIÈRE FOIS DE MA VIE, je me suis dit avec complaisan", dans une obscurité profonde. POUR LA PREMIÈRE FOIS DE MA VIE JE connus la terreur. Mon imagin,"(209816, 209851)","(177987, 178028)"
Jacquin_Parisiennes_0,"r que je sens? ... je l'épouse; JE SUIS LE PLUS HEUREUX DES HOMMes? "" Madame De Termes s'étonn","r me sera toujours délicieux, JE SUIS LE PLUS HEUREUX DES HOMMES: aimé d'une personne charmant","(166852, 166886)","(60499, 60533)"
Laclos_Liaisons_0," l'accréditer ou à l'étendre. CE NE SERAIT PAS LA PREMIÈRE FOIS QUE, sacrifiant mon propre intérê","e moment, n'oubliez point que CE NE SERAIT PAS LA PREMIÈRE FOIS QUE vous vous seriez applaudi d'a","(9632, 9669)","(744202, 744239)"
Lagrave_Zabeth_0," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE elle se tait, elle est impéné","t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle ","(11531, 11562)","(46741, 46772)"
Leonard_Lettres_0,", qui lui sied si bien. PrenanT MES DEUX MAINS DANS UNE DES SIENNes, de l'autre me forçant à le",": il m'a rappellée; il a pris MES DEUX MAINS DANS L'UNE DES SIENNES, etamp; avec l'autre me menaç","(131386, 131421)","(101456, 101493)"
Lesuire_Aventurier_0," mon cher comte, pour vous dirE QUE JE N'AI PAS LE TEMPS de vous écrire. Je pars à l'in",ois dans le moment une lettre QUE JE N'AI PAS LE TEMPS DE lire. Nous vîmes à la porte u,"(52130, 52157)","(747062, 747089)"
Louvet_Annee_0," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE elle se tait, elle est impéné","ur! Un jeune parisien, engagé POUR LA PREMIÈRE FOIS DE SA VIE dans une promenade sur mer, n","(11531, 11562)","(567848, 567879)"
Louvet_Fin_0,"rs. 
ce fonds appartient à touS CEUX QUI EN ONT UN VÉRITABLE BESOin. J'en puis tirer encore deu","es de la cour se répandre sur CEUX QUI EN ONT UN VÉRITABLE BESOIN?—Il est vrai, dit le comte en","(48089, 48124)","(119318, 119353)"
Marmontel_Contes_0," l'accréditer ou à l'étendre. CE NE SERAIT PAS LA PREMIÈRE FOIS que, sacrifiant mon propre in","e le crois aussi. Après tout, CE NE SERAIT PAS LA PREMIÈRE FEMME qui aurait accordé son pencha","(9632, 9665)","(446064, 446098)"
Merard_Bergeries_0," je vous chagrine . Après tout, DE QUOI VOUS PLAIGNEZ-VOUS? JE VOus aime; voilà tous mes torts ",ez-vous qui vous chagrine? et DE QUOI VOUS PLAIGNEZ-VOUS? JE VOUS ai procuré un rendez-vous cha,"(258713, 258748)","(108260, 108295)"
Mercier_Jezennemours_0," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE ELLE se tait, elle est impénétrabl","r de l'homme; elle aimait, et POUR LA PREMIÈRE FOIS DE SA VIE: ELLE voulait donc s'attacher ce cœ","(11531, 11567)","(75551, 75588)"
Mirabeau_Conversion_0,"Vous voulez rendre, dites-vous; IL NE S'AGIT PAS DE CELA, je dois reprendre, moi; mon ho","ieux vaut lui que rien ; mais IL NE S'AGIT PAS DE CELA, JE vous parle d'un trésor : fiez","(251473, 251501)","(19911, 19939)"
Mirabeau_Rideau_0," vingt-six; mais lisez et jugeZ-MOI. PEU DE TEMPS APRÈS LA MORT de M D'Estelan, et le retour d","gnait de revenir au plus tôt. MAIS, PEU DE TEMPS APRÈS LA MORT DE son père, elle tomba dans une","(58711, 58745)","(80497, 80532)"
Nerciat_Aphrodites_0," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE elle se tait, elle est impéné",s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin,"(11531, 11562)","(500530, 500561)"
Nerciat_Etourdi_0," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE ELLE se tait, elle est impénétrabl"," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE ELLE reçoit et donne mille baisers","(11531, 11567)","(62685, 62721)"
Popeliniere_Daira_0,nse. Tous mes vœux se bornent À PASSER LE RESTE DE MES JOURS DAns ma terre; si vous me l'acco,"trie, d'y suivre un Pere, d'y PASSER LE RESTE DE MES JOURS DANS une austère retraite, à ses c","(112779, 112812)","(78789, 78822)"
Prevost_Monde_0,"vous effraient. "" M De SancerrE NE RÉPONDIT QUE PAR UNE PROFONDE INCLINATION; et prenant la plume, il signa.","à ces vertueuses larmes! Elle NE ME RÉPONDIT QUE PAR UNE PROFONDE INCLINATION, ET je remarquai, avec un redoubl","(61285, 61333)","(324155, 324206)"
Retif_Paysanne_0,"a plus vive et la plus ardente, VOTRE TRÈS-HUMBLE ET TRÈS-OBÉISSANT SERVITEur, Charles Morinzer. Votre ré","x, ou passionnément généreux, VOTRE TRÈS HUMBLE ET TRÈS OBÉISSANT SERVITEUR. ** ***. 
Après avoir lu ce s","(237805, 237850)","(190371, 190416)"
Riccoboni_Histoire_0,iséprouver de plus sensible. JE RÉPANDRAI L'AMERTUME SUR TOUS LES INSTANTS DE VOTre vie. Les procédés de M De C,"le confondre, à l'affliger, à RÉPANDRE L'AMERTUME SUR TOUS LES INSTANTS DE SA vie. Souvent maltraité par Ma","(88931, 88982)","(97110, 97157)"
Riccoboni_LettreJuliette_0,"ndri; tout me rappelle ici, j'Y LAISSE TOUT CE QUI M'EST CHER! "" il ne compte pas rester plus d","et lorsque, pour l'éviter, je LAISSE TOUT CE QUI M'EST CHER, IL me tourmente ici, il m'écrit;","(35177, 35212)","(90404, 90437)"
Riccoboni_LettreJuliette_1,"suis un peu fâchée contre vous; MAIS JE NE VOUS EN AIME PAS MOINS. 
LETTRE 19 On a raison de le penser","vous gronder; je vous gronde; MAIS JE NE VOUS EN AIME PAS MOINS. 
LETTRE 26 vendredi, à Vinchester. 
l","(128979, 129021)","(90404, 90437)"
Riccoboni_LettresFanni_0,"répugnance; mais j'y cède parcE QUE JE VOUS AIME, PARCE QUE je ne puis vous refuser une sa","ndredi matin. 
je vous ai dit QUE JE VOUS AIME, PARCE QUE JE suis étourdie; je vous le rép","(56966, 56996)","(3922, 3952)"
Riccoboni_LettresFanni_1,"de à la main, je suis descenduE DANS LE PROFOND SECRET DE MOI-MÊME, J'ai interrogé mon cœur. Hélas, ","er la louange ou le blâme; si DANS LE PROFOND SECRET DE MOI-MÊME, J'AI préféré le parti le plus géné","(140814, 140854)","(3922, 3952)"
Riccoboni_LettresFanni_2,"seraient si nécessaires! Adieu, PLAIGNEZ-MOI, PLAIGNEZ-MOI, JE VOUS EN PRie. 
LETTRE 48 Ah! Partagez ma","n, cela n'est-il pas fâcheux? PLAIGNEZ-MOI, PLAIGNEZ-MOI, JE VOUS EN PRIE. Il faudrait aimer comme j'ai","(216356, 216399)","(3922, 3952)"
Riccoboni_MissJenny_0,"éféré le séjour de Mondelis à LA DOUCEUR DE RENDRE HEUREUX UN HOMME aimable , dont j'étais passio","de de conserver sa liberté, à LA DOUCEUR DE RENDRE HEUREUX UN HOMME que rien ne doit lui faire pa","(19634, 19671)","(475894, 475931)"
Riccoboni_MylordRivers_0,de ma sœur ne me permettait paS DE CHERCHER DE LA CONSOLATION DANS Son amitié; la découverte du se,"se rappeler un véritable ami, DE CHERCHER DE LA CONSOLATION DANS SON cœur. J'aurois moins de peine","(92688, 92726)","(37543, 37581)"
