,Text in Beaumont_Clarice,Text in B,Location in Beaumont_Clarice,Location in B
Abbes_Voyage_0,ectueusement la porte jusqu'à CE QU'IL FÛT ENTRÉ AVEC SES deux compagnons. Je demandai e,"e discours. Il continua ainsi DE LA FAÇON DU MONDE LA PLUS polie. 
Par ce que vous avez ","(327709, 327737)","(13503, 13531)"
Anonym_Suzon_0,"xprès est parti sur le champ, J'ATTENDS À CHAQUE INSTANT MON ÉPOUX, et vous pouvez compter qu'il n","je ne tardai pas à être obéie QU'AUTANT DE TEMPS QU'IL LUI EN FALLAIT pour s'habiller. 
Il était à ","(244319, 244357)","(105143, 105182)"
Arnaud_Epoux_0,"tention, moi qui donnerais de BON CŒUR, ET AVEC JOIE, LA DERNIÈRE GOUTte de mon sang, pour lui procu",oin que je répandrois jusqu'à LA DERNIÈRE GOUTTE DE MON SANG POUR LUI. Qu'il me prive de ses biens:,"(98638, 98678)","(39944, 39983)"
Arnaud_Epoux_1," vous permettre de me rejoindrE, JE NE PUIS RIEN FAIRE DE MIEUx que de consulter avec vous, ",saient). Mon cœur m'a éclairé SUR LE PARTI QUE JE DOIS PRENDRE; je serai sans doute heureuse,"(177969, 178001)","(39944, 39983)"
Arnaud_Matinees_0,"aire dix milles révé-rences, aUTANT DE CES COMPLIMENTS QUI NE SIGNIFIENt rien du tout; j'en suis excé"," votre bienfaisance est si conNUE QUE JE ME SUIS HASARDÉ À ME PRÉSENTEr devant vous.---Mon ami, poin","(40163, 40204)","(329975, 330015)"
Arnaud_Sentiment_0,"noue-ments. Ce père si terriblE EST POUR MOI LE PÈRE LE PLUS TENDre, et ma mère regarde comme u", est dans mon sein; mon oncle EST POUR MOI LE PÈRE LE PLUS TENDRE; Madame Rivers me témoigne to,"(25217, 25252)","(905206, 905241)"
Benouville_Pensees_0,"e est votre épouse ou prête à LE DEVENIR. NE VOUS ALAR-MEZ POINT, NOUS Dit-il, je ne suis pas le seul ","prendre comme il nous le donne; CE QU'IL Y A DE SÛR, C'EST QUE PERSONNE ne serait la dupe d'un homme d","(303759, 303801)","(84474, 84516)"
Bernardin_Paul_0,"uts que ceux qu'annonce votre PHYSIONOMIE. AU RESTE, L'EXAmen que je vous prie de faire ",st sous son adresse ci-jointe QUE JE VOUS PRIE DE ME FAIRE PASSER vos réponses. Ma grand-tante ,"(123024, 123052)","(257616, 257651)"
bible_0,"à l'abri, par cette démarche, DE LA VIOLENCE QU'ELLE CRAIGNAit, revenir dans la maison de ","i
Tamar s’en alla, et demeura DANS LA MAISON DE SON PÈRE.

12 ET après plusieurs jours, la fil","(140227, 140257)","(158438, 158472)"
bible_1,it bien la mine; au reste il nE DOIT PAS UN SOL DANS TOUT LE Village; il est parti parce que,"ange de Dieu fort
vénérable ; JE NE LUI AI POINT DEMANDÉ D’OÙ IL était, et il ne m’a point
dit","(256179, 256211)","(158438, 158472)"
Cazotte_Ollivier_0," vous permettre de me rejoindrE, JE NE PUIS RIEN FAIRE DE MIEUX QUE DE CONSUlter avec vous, sur le parti q"," ne me permet pas de balancer SUR LE PARTI QUE JE DOIS PRENDRE. ORDONNEZ à vos gens de me suivre, etab","(177969, 178015)","(5855, 5897)"
Charriere_Lausanne_0,"entiments que vous m'avez inspIRÉS AU MOMENT OÙ J'AI EU LE BONHEUR de vous connaître. 
( Lady Ha",sé de faire depuis le premier MOMENT OÙ J'AI EU LE BONHEUR DE VOUS voir. Plus silencieuse que vo,"(47940, 47976)","(156923, 156959)"
Chevrier_Colporteur_0,"nt très-jolies, et l'ainée me DEMANDA DE LA MEILLEURE FOI DU MONde, s'il n'était pas vrai que "," c'est moi qui vous enconjure DE LA MEILLEURE FOI DU MONDE, MAIS faites-moi la grâce de chasse","(43923, 43957)","(64283, 64317)"
Chevrier_Colporteur_1,"quante mille livres sterling, QUI SONT SUR LA BANQUE DE GÊNES, LE REste des actions sur la Compagn","Defresne ne me donne en place DES ACTIONS SUR LA COMPAGNIE DES INDES, ou un contrat sur la ville, ","(145280, 145318)","(64283, 64317)"
Constant_Laure2_0,"lle soit, n'en est pas moins cE PROCHAIN QUE JE DOIS AIMER COMME MOI-MÊme. Je priai donc mon père de ","tout le reste est pour moi le PROCHAIN, QUE JE DOIS AIMER COMME MOI-MÊME, et que j'aimerai tant que je","(30745, 30786)","(15429, 15471)"
Crebillon_Atheniennes_0,"r son âme, je suis réduite à l'ADMIRER; TOUT CE QUE JE POURRAIS VOus en dire, la déprime-rait sa","entions en la lisant, que par TOUT CE QUE JE POURRAIS VOUS EN DIRE. J'y joins aussi la réponse q","(55647, 55683)","(679414, 679450)"
Crebillon_Conte_0, et puis sa présence fait tout OUBLIER. JE NE FINIROIS PAS SI JE VOulais vous détailler la divers,"juste de se laisser prévenir? JE NE FINIROIS PAS, SI JE VOULAIS VOUS redire tous les prétextes qui","(61524, 61561)","(446986, 447024)"
Diderot_Jacques_0,"ntière rupture avec Love-lace, ON AVAIT CHARGÉ CLARICE DE LUI écrire, je ne sais plus à prop","onsoir. Je vous avais promis, JE NE SAIS PLUS À PROPOS DE QUOI, l'histoire d'un mariage saug","(134650, 134682)","(274013, 274045)"
Diderot_Religieuse_0,"es qui doivent payer les pensiONS DE MON PÈRE ET DE MA MÈRE, je veux les leur porter à le",s prétentions à la succession DE MON PÈRE ET DE MA MÈRE ; JE n'épargnai rien pour leur per,"(36940, 36969)","(131234, 131264)"
Diderot_Religieuse_1,"e, me dit mon père en m'embrasSANT, D'AUTANT PLUS QUE VOUS AVEZ eu la générosité de vous char",it-elle de la tête si l'asile QUE VOUS AVEZ EU LA GÉNÉROSITÉ DE lui offrir venait à lui manqu,"(94511, 94544)","(131234, 131264)"
Dorat_Malheurs_0,"r vous le devoir le plus sacré; VOUS AURIEZ TORT DE VOUS EN FLATTer, vous ne ferez qu'aggraver ", que nous aurions voulu; mais VOUS AURIEZ TORT DE VOUS EN FLATTER; et puis définissez les femme,"(22832, 22867)","(96568, 96603)"
