,Text in Sade_Infortunes,Text in B,Location in Sade_Infortunes,Location in B
Anonym_Suzon_0,"vous serez bien convaincue de TOUT CE QUE J'AI FAIT POUR VOUS, J'ESPÈRE QUE je trouverai dans votre âme t","toute votre confiance, malgré TOUT CE QUE J'AI FAIT POUR VOUS PROUVER QUE je n'en étais pas indigne : d","(67458, 67503)","(17437, 17480)"
Arnaud_Matinees_0,nt j'eus le plus à souffrir ; IL EST IMPOSSIBLE DE SE FIGURER JUSQU'À QUEL POINT ce scélérat portait la cruaut,"ice, pour s'être liés à d'autrES ENFANTS QUI N'AVAIENT PAS LEURS HEUREUSES QUALItés ! Il est impossible de se ","(174993, 175043)","(204135, 204185)"
Beaumont_Clarice_0,dinaire est d'endurcir ; soit QUE LA PLUS GRANDE PARTIE DE SES écarts nécessite une sorte d'," réponse à Bordeaux; je viens DE LA RECEVOIR, ET VOICI CE QU'Il m'apprend. Vous savez, ma ch","(57516, 57548)","(338895, 338927)"
Berquin_Enfants_0,", c'est là notre secret, mais TOUT CE QUE JE PUIS TE DIRE, c'est que discrète ou non, i","déric. Avise-toi d'y toucher. TOUT CE QUE JE PUIS TE PERMETTRE, c'est de me les mettre sur l","(173656, 173683)","(165134, 165166)"
bible_0,"er que tu ne révéleras jamais RIEN DE CE QUE JE TE VAIS dire. 
--Oh monsieur, pouvez-","dit : Je te prie, ne me cache
RIEN DE CE QUE JE TE VAIS demander. Et la femme dit : J","(75871, 75896)","(1314039, 1314064)"
Charriere_Lausanne_0,"on bienfaiteur, je me jetai à SES PIEDS... J'EMBRASSAIS SES GENOUX, JE LUI faisais tous les serments pos","on cœur. À la fin je me mis à SES PIEDS, J'EMBRASSAI SES GENOUX; JE LUI demandai pardon de mon impétu","(61335, 61379)","(185315, 185356)"
Constant_Laure1_0,"du désir que j'avais de voler AU-DEVANT DE TOUT CE QUI POUVAIT LUI PLAIRE, il ne se pouvait pas qu'il n",raître „sa conquête; j'allois AU-DEVANT DE „TOUT CE QUI POUVAIT LUI PLAIRE; je „lui faisais voir tout l',"(68963, 69006)","(85267, 85311)"
Crebillon_Atheniennes_0,"ureux Roland était honnête, c'EN ÉTAIT PLUS QU'IL EN FALLAIT POUR être promptement écrasé. Un j","e, quittée très-froidement: c'EN ÉTAIT PLUS QU'IL N'EN FALLAIT POUR m'alarmer:je mourais de peur ","(233744, 233779)","(85675, 85712)"
Crebillon_Conte_0,"s gagnerez beaucoup davantage QUE LA PLUS GRANDE PARTIE D'ENTRE EUX. 
Les indignes propos de ce m","se du roi, qu'il était assuré QUE LA PLUS GRANDE PARTIE D'ENTRE EUX l'appuieroit de leur autorité","(30245, 30282)","(679983, 680020)"
Diderot_Jacques_0,"lement brutal, les soufflets, LES COUPS DE PIED ET DE POING sont des revenus sûrs avec lu", lui avait pas laissé ignorer LES COUPS DE PIED ET DE POING dont elle avait été récompens,"(164507, 164536)","(285085, 285114)"
