,Text in Diderot_Jacques,Text in B,Location in Diderot_Jacques,Location in B
Arnaud_Epoux_0,"us parler. Ah si vous pouviez LIRE AU FOND DE MON CŒUR, ET voir combien mes fautes passé","ut donc assez pénétrante pour LIRE AU FOND DE MON CŒUR, ET y saisir ces mouvement confus","(268865, 268893)","(208419, 208447)"
Arnaud_Sentiment_0,"us changez de Gaine... Gaine, CE N'EST PAS LÀ CE QUE VOUS M'AVEZ promis... Coutelet, vous m'av",s voyez que je sais me taire. CE N'EST PAS LÀ CE QUE VOUS M'AVIEZ promis. J'ai fait tout ce que,"(196378, 196412)","(930263, 930298)"
Arnaud_Sentiment_1,savait de qui elle était ; il NE DOUTAIT POINT QUE CE NE FÛT de quelque âme bienfaisante e,"nt aux pieds de Philippe, qui NE DOUTAIT POINT QUE CE NE FÛT le vicomte de Melun. Blanche ","(251822, 251852)","(930263, 930298)"
Beaumont_Clarice_0,"ait devant lui, se retournant DE TEMPS EN TEMPS POUR VOIR SI Jacques ne revenait pas ; il ","à la clef de ma chambre, je n'Y ENTRERAI QUE DE VOTRE AVEU, permettez moi d'y venir frappe","(40615, 40645)","(177460, 177490)"
Beaumont_Clarice_1," tu le sais bien. 
LE COMPÈRE JE NE SUIS PLUS EN ÉTAT DE nourrir ma fille ni mon garço","olidité de votre amitié ne m'a POINT SURPRISE, NON PLUS que l'adresse avec laquelle vo","(170303, 170329)","(177460, 177490)"
Berquin_Enfants_0,"LA POMMERAYE Eh bien marquis, NE FAUT-IL PAS QUE JE SOIS bien bonne ? Trouvez-moi à Pa"," qu'à veiller dans le ménage, NE FAUT-IL PAS QUE JE SOIS gouverné comme les autres! Au","(247240, 247266)","(105290, 105316)"
bible_0,"ntre la Gaine et le Coutelet, PRIT LA PAROLE ET LEUR DIT : « VOUS, Gaine, et vous, Coutelet, vo"," une oreille.

48 Alors Jésus PRIT LA PAROLE ET LEUR DIT : VOUS êtes sortis comme après
un br","(196554, 196589)","(3761641, 3761674)"
Cazotte_Diable_0,"vous souhaite une bonne nuit. IL EST TARD, ET IL FAUT QUE JE sois la dernière couchée et l","us prier de vous retirer, car IL EST TARD, ET IL FAUT QUE JE me couche. 
---Et vous me ren","(273865, 273895)","(25159, 25189)"
Charriere_Lausanne_0,"malgré elles, je m'asseyerai, JE NE SAIS CE QUE JE DIRAI, ce que je ferai ; car que n'",e pas. Je n'ai point de fils; JE NE SAIS CE QUE JE DIRAIS à mon fils. Je n'ai pensé qu',"(242424, 242450)","(69891, 69918)"
Charriere_Lausanne_1,"; mais que veux-tu que je lui DISE ? 
MOI TOUT CE QUE VOUS VOUDREZ, tout ce que vous lui avez en","geuse.""-Maman, me dit Cécile, DITES-MOI TOUT CE QUE VOUS VOUDREZ; mais, quant à me rappeler ce","(360419, 360455)","(69891, 69918)"
Chevrier_Colporteur_0,", répondit l'orateur du coin, QUI NE DEMANDAIT PAS MIEUX QUE DE pérorer. M. Aubertot, une de ","e faux carme. Le père Elisée, QUI NE DEMANDAIT PAS MIEUX QUE DE se venger d'un rival asseztém","(92896, 92929)","(191301, 191334)"
Constant_Laure1_0,"RQUIS Je n'y puis plus tenir, IL FAUT QUE JE VOUS DISE TOUT. J'ai été vivement frappé de "," des autres, et en conscience IL FAUT QUE JE VOUS DISE TOUT ce que je sais de cette nouve","(239070, 239099)","(68440, 68469)"
Constant_Laure1_1," ? 
--Assurément ; est-ce que JE NE VOUS L'AI PAS ENCORE DIT ? 
-- Non. Elle est bien aima","imagination devait y placer. 
JE NE VOUS AI PAS ENCORE DIT le nom de notre héros: il est","(485124, 485154)","(68440, 68469)"
Constant_Laure2_0,arrivé ?--Ce qui m'est arrivé EST-CE QUE VOUS NE LE VOYEZ pas ? On m'avait envoyé achet," ne vous en ai jamais entendu PARLER, EST-CE QUE VOUS NE LE COnnaissez pas? Mlle. de Mirfor ","(137259, 137286)","(168546, 168578)"
Crebillon_Atheniennes_0,"l'on ne m'attend que ce soir, ET JE ME SUIS FLATTÉ QUE VOUS NE ME REFUSERIEZ pas à dîner... » Et tout en p",le suis rappelé que ce matin; ET JE ME SUIS FLATTÉ QUE VOUS NE DESAPPROUVERIEZ pas que je leur tînsse la par,"(245366, 245412)","(812448, 812496)"
