,Text in Rousseau_Emile,Text in B,Location in Rousseau_Emile,Location in B
Anonyme_Etourdi_0,e la vanité qu faut préserver UN JEUNE HOMME ENTRANT DANS LE MONDE: il cède plus aux penchants d,"ns-les dans leurs progrès. 
"" UN JEUNE HOMME ENTRE DANS LE MONDE avec un mérite naissant, qui ","(914963, 914999)","(105795, 105829)"
Arnaud_Sentiment_0,"ur des idées que je n'ai pas. CE QUE JE SAIS BIEN, C'EST QUE l'identité du moi ne se prolo","n'ai jamais vu mon papa; tout CE QUE JE SAIS BIEN, C'EST QUE c'est lui qui nous a tous ren","(768728, 768758)","(83938, 83968)"
Arnaud_Sentiment_1," est de toutes les religions, DE TOUS LES PAYS, DE TOUS LES hommes. Quant au culte extéri","e de toutes les législations, DE TOUS LES PAYS, DE TOUS LES âges; nous le sçavons: l'huma","(808890, 808919)","(83938, 83968)"
Beauharnais_Lettres_0,"; cela fut fait à l'instant. 
JE N'AI PAS BESOIN DE VOUS DIRE comment je me conduisis dans ","cher Dom Lope, adieu. 
P. S. 
JE N'AI PAS BESOIN DE VOUS DIRE que le secret de Sidley est l","(1490421, 1490452)","(96636, 96667)"
Beaumont_Clarice_0,"her de ce terme à chaque âge, RIEN N'EST PLUS INCERTAIN QUE LA DURÉE de la vie de chaque homme en ","e, au moins quatre à cinq annéES: CEPENDANT COMME RIEN N'EST PLUS INCErtain que la volonté de l'homm","(123214, 123252)","(94217, 94257)"
Beaumont_Clarice_1,"s: etamp; s'il fallait opter, JE NE SAIS SI JE N'AIMERAIS PAS MIEUX encore l'illusion des préjugé"," grosse, et en vérité ce n'est PAS UNE CHOSE FORT AMUSANTE. JE NE Sais si je n'aimerais pas mieux","(649013, 649050)","(94217, 94257)"
Beaumont_Clarice_2,"ment des voyageurs. Monsieur, LUI DIT LE MAÎTRE DE LA MAISON, vous me paraissez un jeune h","hon-„ nête femme, et la plus vERTUEUSE „ FILLE DU MONDE. QUE N'ameno t-„ tu ici cette pauvre","(1173777, 1173807)","(94217, 94257)"
Benouville_Pensees_0,"s, les rivières sont chaudes; IL N'EN EST PAS DE MÊME DES SOURCES, qui n'ont pas reçu le contac",rais espérer d'adoucissement. IL N'EN EST PAS DE MÊME DES CHOSES que l'on peut corriger ou cha,"(284490, 284525)","(12824, 12858)"
Benouville_Pensees_1,"que pour eux ut etamp; C sont TOUJOURS LA MÊME CHOSE; CE QUI N'EST pas, etamp; ne doit pas être,","ropre fonds. 
(M) Il répétait TOUJOURS LA MÊME CHOSE............... 
CE QUI EST passé est passé: ce qui est d","(353596, 353632)","(12824, 12858)"
Benouville_Pensees_2,"iné, mais sur ce que j'ai vu. IL EST VRAI QUE JE N'AI PAS renfermé mes expériences dans",te parlerais pas d'autre chose. IL EST VRAI QUE JE N'AI Pas la même facilité pour m'exp,"(678556, 678583)","(12824, 12858)"
Bernardin_Paul_0,"tre, mais l'ouvrier se cache. CE N'EST PAS UNE PETITE AFFAIRE DE connaître enfin qu'il existe,","gagner honnêtement leur vie. 
CE N'EST PAS UNE PETITE AFFAIRE DE mettre tous les jours à la vo","(681965, 681999)","(28394, 28428)"
bible_0,"es pas encore au dénouement. 
IL N'EST PAS BON QUE L'HOMME SOIT SEUL, Émile est homme; nous lui av","r, l’Éternel Dieu avait dit : IL N’EST PAS BON QUE L’HOMME SOIT
SEUL ; je lui ferai une aide sembl","(991083, 991121)","(11754, 11792)"
bible_1,"l reste encore de bonnes gens QUI N'ONT POINT FLÉCHI LE GENOU DEVANT l'idole, etamp; qui méprisent","is réservé sept mille
hommes, QUI N’ONT POINT FLÉCHI LE GENOU DEVANT Bahal.

5 Il y en a donc auss","(1094809, 1094847)","(11754, 11792)"
Cazotte_Ollivier_0,"les monuments de foi proposés DANS TOUS LES PAYS DU MONDE, POUR en assigner les temps, les li","sent, au besoin, fait passer, DANS TOUS LES PAYS DU MONDE, POUR un homme qui jouait supérieur","(814248, 814281)","(250685, 250718)"
Charriere_Femmes_0,"une homme sera moins aimable, CE N'EST PAS DE CELA QU'IL S'AGIT ici: je sais seulement qu'il ","éveillée par cet indiscret. 
-CE N'EST PAS DE CELA QU'IL S'AGIT, Joséphine. Peu importe mon s","(602863, 602896)","(13340, 13373)"
Charriere_Lausanne_0," est de toutes les religions, DE TOUS LES PAYS, DE TOUS LES hommes. Quant au culte extéri","ot nous amènent des étrangers DE TOUS LES PAYS, DE TOUS LES âges, de tous les caractères,","(808890, 808919)","(24472, 24501)"
Constant_Laure1_0,ne grâce inimitable à peindre LES GRANDS HOMMES DANS LES PETITES CHOSES; etamp; il est si heureux dan,"ais il est dangereux d'imiter LES GRANDS HOMMES DANS LES PETITES CHOSES, et je vous assure, monsieur,","(635074, 635115)","(2659, 2700)"
Constant_Laure1_1," une lettre à la main, etamp; JE LUI DIS EN LE REGARDANT FIXEMENT: QUE feriez-vous si l'on vous appr","e assez haut, „je l'entendis; JE LUI DIS, EN LE REGARDANT FIXEMENT, QUE dans un moment je le prierois","(1265081, 1265121)","(2659, 2700)"
Constant_Laure2_0,"qui ne valent rien: pleins de CE QUI SE PASSE DANS VOTRE TÊTE, vous ne voyez pas l'effet qu"," que vous pensez, ce que vous SENTEZ, CE QUI SE PASSE DANS VOTRE Âme, dans votre cœur, dans votr","(179566, 179597)","(192739, 192775)"
Cottin_Claire_0,utes pour s'égarer. Mais il n'APPARTIENT PAS À TOUT LE MONDE DE SAVOIR ne point agir. Dans l'inquiét,"x plaisir, et je vois qu'il n'APPARTIENT PAS À TOUT LE MONDE DE SAVOIR l'apprécier. Vous avez raison","(1267144, 1267184)","(61659, 61699)"
