,Text in LaPlace_Collection,Text in B,Location in LaPlace_Collection,Location in B
Anonyme_Etourdi_0," persécutions de sa „famille; ET, SI JE SUIS ASSEZ MALHEUREUSE POUR „qu'il soit capable de change",", il est brûlant et sensible, ET SI JE SUIS ASSEZ MALHEUREUSE POUR ne pas inspirer au Chevalier ","(372794, 372831)","(128033, 128069)"
Anonym_Suzon_0,t de vos sentiment intérieurs SUR LE „NOUVEAU GENRE DE VIE QUE vous vous proposez „d'embrass,"Les réflexions que je faisais SUR LE NOUVEAU GENRE DE VIE QUE je menerois dans le Couvent, ","(365494, 365526)","(56047, 56078)"
Arnaud_Matinees_0,"e, il paraît assez nécessaire DE METTRE SOUS LES YEUX DU LECTEUR un tableau racourci des mœurs","
Laissons nos deux personnages SE RÉPANDRE ENCORE EN CONTRADICTIons qu'il est inutile de mettr","(9885, 9919)","(227730, 227764)"
Arnaud_Matinees_1,"avait fait sa cour au roi; et QUE C'ÉTAIT POUR LA DERNIÈRE FOIS, QU'IL allait entrer dans le Sérail.","is à Blansey de ne point parleR DE VIRGINIE , ET SANS CESSE IL LUI EN parlait, en observant cependa","(44498, 44538)","(227730, 227764)"
Arnaud_Sentiment_0,"ait d'entrevoir que nos soins POURRAIENT ENCORE LE RAPPELER À LA VIE. “JE ne puis désormais, disait-il,",t signe que quelques aliments POURRAIENT ENCORE LE RAPPELER À LA VIE: JE cours chercher des herbes don,"(157363, 157406)","(778731, 778773)"
Arnaud_Sentiment_1,"ais, et vous dire „sans cesse QUE JE VOUS AIME, QUE JE VOUS aimerai „toujours, et que je "," je me répéterai incessamment QUE JE VOUS AIME, QUE JE VOUS adorerai jusqu'au dernier sou","(370544, 370573)","(778731, 778773)"
Beaumont_Clarice_0,"me d'une nouvelle preuve de l'AMOUR QUE VOUS AVEZ L'UN POUR L'AUTRE, ET ne vous quitte maintenant que","raits de Madame, m'a découvert SON SEXE; LE BIJOU QU'ELLE M'A REMIS ENTre les mains, sa condi-discrét","(88881, 88922)","(303528, 303569)"
Beaumont_Clarice_1,"„une injure qui m'accable, et QUE JE N'AURAI JAMAIS LA FORCE DE supporter„... Madame Duclos s","r. Je m'exprime mal, mes remorDS SEMBLAIENT PRENDRE DE NOUVELLES forces à mesure que je tâchai","(257563, 257596)","(303528, 303569)"
Benoist_Elisabeth_0,de me faire entrer à l'Opéra? JE NE SAIS CE QUE „C'EST; MAIS JE me souviens que madame la com,"tience est égale à la tienne; JE NE SAIS CE QUE C'EST, MAIS JE n'eus jamais tant d'envie de ","(248421, 248454)","(426369, 426401)"
Benouville_Pensees_0," que César nous fit le détail DE TOUT CE QUE JE VIENS DE raconter, et qu'il nous suppl",ais tu dois être déjà convaincU DE TOUT CE QUE JE VIENS de te dire; aussi j'en parle m,"(157188, 157214)","(173726, 173752)"
Bernardin_Paul_0,"if et de plus doux, s'élancer DANS LES BRAS L'UN DE L'AUTRE, SE serrer étroitement sans se pa","ur de leurs cous, et endormis DANS LES BRAS L'UN DE L'AUTRE. 
LORSQU'ILS surent parler, les premiers n","(86632, 86665)","(150942, 150984)"
Bernardin_Paul_1,"a joie qu'on peut imaginer... MAIS QUELLE FUT MA SURPRISE, LORSQUE JE VIS son mari seul dans le parloir",avec peine une petite boîte : MAIS QUELLE FUT MA SURPRISE LORSQUE JE VIS que c'était le portrait de Pa,"(243299, 243342)","(150942, 150984)"
Berquin_Enfants_0,souffrez que je vous „quitte; JE NE PUIS RESTER PLUS LONG-TEMPS sans „que Duclos puisse ne pa,a le faire mourir de plaisir. JE NE PUIS RESTER PLUS LONG-TEMPS; il faut que je l'aille cherc,"(295592, 295625)","(51635, 51668)"
bible_0,"doute pas, mademoiselle, que, DEPUIS „LE JOUR QUE JE VOUS AI vue, vous n'ayez fait des „ré","vez été rebelles à l’Éternel, DEPUIS LE JOUR QUE JE VOUS AI
connus.

25 Je me prosternai ","(266326, 266356)","(768463, 768492)"
bible_1,"comte passe „avec lui presque TOUS LES JOURS DE SA VIE, ET „bientôt il tournera ses visé"," le donnerai à l’Eternel pour TOUS LES JOURS DE SA VIE, ET
aucun rasoir ne passera sur s","(282582, 282610)","(768463, 768492)"
Cazotte_Diable_0,"l y a tant de générosité dans CE QUE „VOUS AVEZ FAIT POUR MOI, que je serais injuste, „si j",us avez même mis des grâces à CE QUE VOUS AVEZ FAIT POUR MOI ; mais comme vous étiez payé ,"(598425, 598456)","(24621, 24651)"
Charriere_Femmes_0,"s, je me croirai, sans doute, LE PLUS HEUREUX DE TOUS LES HOMMES.... Mais, je vous en „donne i"," comme par une autre, je sois LE PLUS HEUREUX DE TOUS LES HOMMES. 
-Vous ne m'en paraissez pas","(246987, 247021)","(99391, 99425)"
Charriere_Lausanne_0,"ppellerez vous sans cesse? et POURQUOI FAUT-IL „QUE JE VOUS AIE reçus? Pourquoi, cher command","d'amertume que de compassion: POURQUOI FAUT-IL QUE JE VOUS AIE ôté à Caliste! Mais, vous, po","(250858, 250891)","(252043, 252075)"
