,Text in Dorat_Sacrifices,Text in B,Location in Dorat_Sacrifices,Location in B
Anonyme_Etourdi_0,"au de *. 
Comment vous avouer CE QUE JE VOUDRAIS ME CACHER À MOI-MÊME? Comment dévoiler sa honte? ."," ne puis vous dire, Monsieur, CE QUE JE VOUDRAIS ME CACHER À MOI-MÊME, me répondit-elle ; je la pre","(233866, 233905)","(172548, 172587)"
Anonym_Suzon_0,"res qui s'emparent de moi. Je LUI AI LES PLUS GRANDES OBLIGATIONS, ET, AVEC celles de son âge, vous savez",ux instances d'une personne à QUI J'AI LES PLUS GRANDES OBLIGATIONS ET AVEC qui je passe une vie paisible,"(3815, 3860)","(108, 153)"
Arnaud_Epoux_0,"otre absence. Si vous pouviez LIRE AU FOND DE MON CŒUR, ET savoir à quel point il vous e","ut donc assez pénétrante pour LIRE AU FOND DE MON CŒUR, ET y saisir ces mouvement confus","(16216, 16244)","(208419, 208447)"
Arnaud_Epoux_1,"e seriez toujours. 
Pour moi, JE SUIS AU COMBLE DE MES VŒUX; votre lettre m'a enivré de j","r; ils pleuraient tous trois. JE SUIS AU COMBLE DE MES VŒUX, s'écrie mon épouse! Tous nos","(60298, 60327)","(208419, 208447)"
Arnaud_Matinees_0,"ne retournerai avec lui. Non, NON, JE NE QUITTERAI POINT LA MAISON du meilleur des hommes; je pa","nsultée, je me » suis consultéE: JE NE VOUS CÈDE» RAI POINT, JE ME Surmonterai » moi-même ; non, j","(282013, 282049)","(292907, 292945)"
Arnaud_Sentiment_0,"er à mon sentiment. Une autre GRÂCE QUE JE VOUS DEMANDE, C'EST DE lui écrire et de... je ne sai","s; Richard continue: la seule GRÂCE QUE JE VOUS DEMANDE, C'EST DE me pardonner, c'est d'implore","(9643, 9678)","(607013, 607048)"
Arnaud_Sentiment_1,"les qu'on cherche à pénétrer. IL NE LUI ÉCHAPPAIT PAS UN MOT qui ne fût mal interprété, un",ait plus qu'elle ne brillait: IL NE LUI ÉCHAPPAIT PAS UNE PAROLE qui n'excitât le sentiment. S,"(27686, 27716)","(607013, 607048)"
Arnaud_Sentiment_2,"e des vrais plaisirs, de ceux DONT LA SOURCE EST DANS LE CŒUR, de ceux qui sont faits pour ","propre à nourrir des chagrins DONT LA SOURCE EST DANS LE CŒUR! L'aspect de la campagne, l'a","(59921, 59952)","(607013, 607048)"
Arnaud_Sentiment_3," extrême; ne l'augmentez pas, JE VOUS EN CONJURE: AU NOM DE votre amour, au nom de l'amit","'il ne sera point votre mari; JE VOUS EN CONJURE AU NOM DE l'amitié qui nous unissait, a","(175579, 175608)","(607013, 607048)"
Arnaud_Sentiment_4," les horreurs du néant. C'est MON DERNIER SOUPIR QUE JE VOUS ENVOIE. Encore un coup, ne me plaign","Ce sont mes dernières larmes, MON DERNIER SOUPIR QUE JE VOUS ENVOIE. Adieu, adieu pour toujours, ","(381031, 381068)","(607013, 607048)"
Beauharnais_Lettres_0, si je vous suis fidèle! Dans LA LETTRE QUE JE VOUS AI ÉCRITE avant de sortir du village de,"ir .... Je ne me rappelle, de LA LETTRE QUE JE VOUS AI ÉCRITE, que le serment d'aimer, d'id","(341427, 341458)","(148792, 148823)"
Beaumont_Clarice_0,"tre position; et je pourrais, AVEC LES MEILLEURES INTENTIONS DU MONDE, ME TROMPER sur le genre de procédés qu'e","en que vous en excusiez d'autrES. AVEC LES MEILLEURES INTENTIONS DU MONDE, je suis sûre d'avoir souvent","(97409, 97460)","(36520, 36563)"
Beaumont_Clarice_1,"er, en inventer de nouvelles, VOILÀ TOUT CE QUE JE PUIS VOUS promettre, et ce qui doit vou",", ou Warick; elle se nomme ChaRLOTTE, VOILÀ TOUT CE QUE JE Puis vous en dire. Cette jeune ","(192382, 192412)","(36520, 36563)"
bible_0,"e. Vous avez pris le poignard DE LA MAIN DE SES ENNEMIS, ET vous n'êtes que l'instrument ","oi, que l’Éternel
l’a garanti DE LA MAIN DE SES ENNEMIS.

20 ET Joab lui répondit : Tu ne ser","(86133, 86162)","(1336669, 1336702)"
bible_1,"m'aime pas... n'importe... ce QUE JE VOUS AI DIT, JE VOUS le répète; et si vous suivez ","ttra en mémoire
toutes celles QUE JE VOUS AI DITES.

27 JE VOUS laisse la paix ; je vous donn","(97109, 97136)","(1336669, 1336702)"
Cazotte_Ollivier_0,e ne sais plus ce que je dis; JE NE SAIS TROP CE QUE JE deviendrai: mais ce que je sa,"-je pense qu'oui, Barin; mais JE NE SAIS TROP CE QUE JE puis lui avoir dit; je crois ","(16562, 16587)","(65669, 65694)"
Charriere_Femmes_0,arts avec un embarras qu'elle NE SE DONNAIT PAS LA PEINE DE cacher; elle semblait implore,"eur nom. Quant à Voltaire, il NE SE DONNAIT PAS LA PEINE DE se tromper lui-même, il lui s","(6865, 6894)","(151379, 151408)"
Cottin_Claire_0,", j'allai tomber à vos pieds. PAR UN MOUVEMENT DONT JE NE FUS pas maître, je pris une de vo"," à vous serrer dans mes bras, PAR UN MOUVEMENT DONT JE NE ME RENDAIS pas compte, je m'éloignais av","(199022, 199053)","(91701, 91739)"
Crebillon_Atheniennes_0,"ui ne pouvait échapper qu'à l'AMOUR LE PLUS TENDRE, ET LE PLUS résolu à tous les sacrifices.","unes qui le suivent, mais à l'AMOUR LE PLUS TENDRE, ET LE PLUS sincère que vous accorderez l","(18466, 18498)","(220879, 220911)"
Crebillon_Conte_0,"er, me tint parole, obtint ce QUE JE DESIRAIS AVEC TANT D'ARDEUR, ET m'y mena quelques jours après","encore une excuse. Cette nuit QUE JE DESIRAIS AVEC TANT D'ARDEUR, ET que j'attendais avec tant de ","(8923, 8961)","(409770, 409808)"
Crebillon_Conte_1,"me pas... n'importe... ce que JE VOUS AI DIT, JE VOUS LE RÉPÈTE; et si vous suivez mes consei","i, cher prince, je vous aime! JE VOUS L'AI DIT, JE VOUS LE RÉPÈTE encore; et ne me reprocherois","(97113, 97146)","(409770, 409808)"
Crebillon_Nuit_0,"s trouve faibles aujourd'hui! APRÈS TOUT CE QUE JE VIENS DE dire, ai-je besoin de vous no","e vous propose... 
CIDALISE. 
APRÈS TOUT CE QUE JE VIENS DE vous dire, ce serait à moi un","(5327, 5356)","(51197, 51226)"
Diderot_Jacques_0,"et le temps de votre absence. SI VOUS POUVIEZ LIRE AU FOND DE MON CŒUR, ET savoir à quel point il vous e","x sur vous et vous parler. Ah SI VOUS POUVIEZ LIRE AU FOND DE MON CŒUR, ET voir combien mes fautes passé","(16200, 16244)","(268849, 268893)"
Diderot_Religieuse_0," distance de cette prison, et MESURE DES YEUX LA HAUTEUR DES MURS qui la défendent. Cet aspect,"," et les journées se passent à MESURER DES YEUX LA HAUTEUR DES MURS. 
---Madame, je ne saurais le","(320727, 320762)","(203078, 203114)"
Diderot_Religieuse_1,"que je connus l'effroi. Alors UNE SUEUR FROIDE SE RÉPAND SUR TOUT MON CORPS, JE crus que j'allois expirer. Mo"," ; je frissonne, je tremble ; UNE SUEUR FROIDE SE RÉPAND SUR TOUT MON CORPS ; JE veux aller à votre secours ; ","(323586, 323635)","(203078, 203114)"
Dorat_Malheurs_0," c'est de lui écrire et de... JE NE SAIS CE QUE JE DIS; mais vous êtes indulgent, n'",ois aussi loin que l'amour... JE NE SAIS CE QUE JE VEUX; mais je sais que mon agitati,"(9699, 9723)","(122739, 122764)"
Dorat_Malheurs_1,"et le temps de votre absence. SI VOUS POUVIEZ LIRE AU FOND DE MON cœur, et savoir à quel point ","peut-être il vous toucherait, SI VOUS POUVIEZ LIRE AU FOND DE MON âme, si vous pouviez savoir c","(16200, 16235)","(122739, 122764)"
Dorat_Malheurs_2,e ne sais plus ce que je dis; JE NE SAIS TROP CE QUE JE deviendrai: mais ce que je sa,"ers Paris; tout me manque, et JE NE SAIS TROP CE QUE JE désir. Je suis bien heureuse ","(16562, 16587)","(122739, 122764)"
Dorat_Malheurs_3,"ait presque de votre absence. DONNEZ-MOI DE VOS NOUVELLES, DONNEZ-M'EN souvent: j'ai besoin d'en rec","Rassurez-moi, mon cher comte. DONNEZ-MOI DE VOS NOUVELLES; DONNEZ-M'EN de Madame De Syrcé. Lui serai","(98677, 98717)","(122739, 122764)"
Duclos_Acajou_0,"cause, toutes ces émotions du CŒUR, DONT LES SENS NE SONT QUE LES interpretes, tous ces tributs",percevait déjà qu'il avait un CŒUR DONT LES SENS NE SONT QUE LES interprétes. Il éprouvait cet,"(200351, 200386)","(19171, 19205)"
Fievee_Dot_0,"é-je l'acheter de la mienne. 
TOUT CE QUE JE VOUS DEMANDE, C'EST DE solliciter mon retour chez mo",t où ma bouche le prononçait. TOUT CE QUE JE VOUS DEMANDE EST DE ne pas voir Suzette avant que,"(364273, 364310)","(38001, 38035)"
Florian_Estelle_0,lé par ce sentiment intérieur QUI MÊLE UN CHARME SECRET AUX PLEURS qu'il fait couler. Que ce son," cet amour sacré des devoirs, QUI MÊLE UN CHARME SECRET AUX SACRIFICES qu'il ordonne; cette pudeur a","(144369, 144405)","(21835, 21875)"
Fourqueux_Zely_0," c'est de lui écrire et de... JE NE SAIS CE QUE JE DIS; mais vous êtes indulgent, n'","rais exprimer mille idées, et JE NE “SAIS CE QUE JE DIS“. Il se tut, il la serra tend","(9699, 9723)","(25993, 26018)"
Genlis_Adele_0,e; ils prétendent qu'elle est DE LA PLUS JOLIE FIGURE DU MONDE; je n'ai point vu cela. Ils s,"ize ans, d'être moins occupée DE LA PLUS JOLIE FIGURE DU MONDE, et d'annoncer un meilleur na","(42437, 42469)","(935385, 935417)"
Genlis_Adele_1,"M De Valois; il vous acquitte DE TOUT CE QUE J'AI FAIT POUR vous. 
PARTIE 2 LETTRE 16 Du ","nfant, comme il me récompense DE TOUT CE QUE J'AI FAIT POUR lui! ... Il m'a promis de ne ","(259159, 259188)","(935385, 935417)"
Genlis_Adele_2,"uand ils me viennent de vous. JE N'AI POINT DE NOUVELLES À VOUS MANDER, si ce n'est le mariage du Ch","ment. 
Adieu, ma chère fille; JE N'AI POINT DE NOUVELLES À VOUS MANDER, sinon que Madame De Germeuil","(373060, 373100)","(935385, 935417)"
Genlis_Chevaliers_0,oint affecté... il l'est plus QUE JE NE PUIS VOUS LE DIRE. Quelle femme vous rendez mal,"tion... j'en fus plus touchée QUE JE NE PUIS VOUS LE DIRE... en achevant ces paroles, l","(227256, 227283)","(705711, 705738)"
