,Text in Genlis_Chevaliers,Text in B,Location in Genlis_Chevaliers,Location in B
Anonyme_Etourdi_0,"t un moment toute son audace; ET, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait","eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(432576, 432611)","(62682, 62716)"
Arnaud_Epoux_0,"nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, dans une de nos solennités r","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE mes yeux ne s'arrêtaient que ","(184248, 184288)","(93940, 93980)"
Arnaud_Epoux_1,"e reste, poursuivit-il; il me TIENT LIEU DE TOUT CE QUE J'AI PERDU... en parlant ainsi, le solit",i dans ce monde entier; tu me TIENS LIEU DE TOUT CE QUE J'AI PERDU; conserve-moi ton amour: le r,"(391632, 391668)","(93940, 93980)"
Arnaud_Epoux_2,"x et baignée de larmes, jura, PAR TOUT CE QU'IL Y A DE PLUS SACRÉ, d'exécuter fidèlement cette ","chère Agathe, je t'en conjure PAR TOUT CE QU'IL Y A DE PLUS SACRÉ, par notre amour, ne m'accomp","(824905, 824940)","(93940, 93980)"
Arnaud_Matinees_0,"'opinion, ni de sentiment, et JE VAIS VOUS FAIRE UN AVEU QUI VOUS PROUVERA que, malgré tous vos charmes,","t,) je n'ignore point que vous ÊTES LE DIGNE AMI DE MONSIEUR ET DE MADAME Géminvile : je vais vous faire","(650276, 650320)","(141826, 141870)"
Arnaud_Matinees_1,"i, lui dit-il, s'il existe un HOMME SUR LA TERRE QUI SOIT DIGNE DE Béatrix, c'est sans doute ce ","dée, si vous ne donnez la main À DOLIMON , QUI PEUTÊTRE , APRÈS MOn ami , est le seul homme sur ","(698032, 698068)","(141826, 141870)"
Arnaud_Sentiment_0,"pleurer! ... Je suis à jamais LE PLUS INFORTUNÉ DES HOMMES, MAIS CE cœur déchiré n'a pas tout per",ste de ma vie; je devais être LE PLUS INFORTUNÉ DES HOMMES. MAIS CE n'était pas assez de souffrir,"(102215, 102252)","(165085, 165122)"
Arnaud_Sentiment_1,"e l'éternité! ... En achevant CES MOTS, ELLE LAISSA TOMBER SA TÊTE SUR son sein, et elle cessa de pa","une éternité de tourments! 
À CES MOTS, ELLE LAISSE TOMBER SA TÊTE SUR ses mains, et verse un torren","(164386, 164426)","(165085, 165122)"
Arnaud_Sentiment_2,"s, considéraient ce spectacle EN LEVANT LES MAINS AU CIEL, ET en comblant de bénédictions l","ley; il tombe sur une chaise, EN LEVANT LES MAINS AU CIEL, ET sans avoir la force de s'expr","(239146, 239177)","(165085, 165122)"
Arnaud_Sentiment_3,"r de réponses; l'inconnue mit SES DEUX MAINS SUR SON VISAGE, ET garda un obstiné silence. Au "," homme étendu sur une pierre, SES DEUX MAINS SUR SON VISAGE, ET presque évanoui. Bell aussi-t","(359012, 359045)","(165085, 165122)"
Arnaud_Sentiment_4,"sse. Le retour de Mirva causa DANS LE CHÂTEAU UNE JOIE UNIVERSELLE; TOUT LE MONDE s'intéressait à lui, et depui","joie universelle est répandue DANS LE CHÂTEAU.-UNE JOIE UNIVERSELLE! TOUT LE MONDE est content, quand je suis da","(975635, 975686)","(165085, 165122)"
Beauharnais_Lettres_0,"qu'il pouvait voir facilement TOUT CE QUI SE PASSAIT DANS LA chambre, par le moyen d'une p","veillaient, en mon absence, à TOUT CE QUI SE PASSAIT DANS LA prison où était renfermé l'ét","(51408, 51438)","(78374, 78404)"
Beauharnais_Lettres_1," peu d'instants j'allois être LE PLUS INFORTUNÉ DES HOMMES, JE NE voyais plus que son abattemen","Dom Lope; je suis et je serai LE PLUS INFORTUNÉ DES HOMMES. 
P. S. 
JE NE vous recommande point de cach","(162321, 162356)","(78374, 78404)"
Beaumont_Clarice_0,"me: ah! Seigneur, lui dis-je, QUEL SERAIT MON BONHEUR, SI JE POUVAIS profiter d'un excès de bonté ","rmes à ceux que vous lui con-nOISSEZ. QUEL SERAIT MON BONHEUR, SI JE pouvais espérer de joindre au","(136634, 136672)","(47753, 47791)"
Beaumont_Clarice_1,"et tellement abattue ce soir, QUE JE N'AI PAS EU LE COURAGE DE descenre l'escalier.-Vous ête","J'ai été si troublée depuis deUX JOURS, QUE JE N'AI PAS EU LE courage de vous annoncer les n","(858193, 858225)","(47753, 47791)"
Beaumont_Clarice_2,"ace. Mes cris firent accourir TOUS LES GENS DE LA MAISON, ET Silo avec eux. Aussitôt que c",", parce qu'elle avait aidé à sA JEUNE MAÎTRESSE À ENFONCER Des armoires pour emporter des ","(958212, 958242)","(47753, 47791)"
Beckford_Vathek_0," moment toute son audace; et, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait","proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","(432580, 432611)","(77351, 77382)"
Berquin_Enfants_0," entières auprès de Robin; il LUI FIT AVALER JE NE SAIS COMBIEN d'herbes, et enfin il le guér","itôt chercher le médecin, qui LUI FIT AVALER JE NE SAIS COMBIEN de drogues plus amères les un","(91885, 91918)","(63699, 63732)"
bible_0,"rats qui s'étaient introduits DANS LA MAISON DE SON PÈRE, ET qui, en entrant dans le jardi","i
Tamar s’en alla, et demeura DANS LA MAISON DE SON PÈRE.

12 ET après plusieurs jours, la fil","(17873, 17903)","(158438, 158472)"
Cazotte_Diable_0,"que j'ai souffert, après tout CE QUE VOUS AVEZ FAIT POUR MOI, vous n'avez plus le droit de",us avez même mis des grâces à CE QUE VOUS AVEZ FAIT POUR MOI ; mais comme vous étiez payé ,"(305122, 305152)","(24621, 24651)"
Cazotte_Ollivier_0, . Cet enthousiasme universel PASSA DANS LE CŒUR DE TOUS LES CHEVALIERS spectateurs de cette scène to,"l'éclat; le feu qui les anime PASSE DANS LE CŒUR DE TOUS LES CHEVALIERS, l'embrase d'une ardeur saint","(677345, 677386)","(96561, 96602)"
Charriere_Femmes_0,rbre; elle reviendra sûrement DANS UNE HEURE AU PLUS TARD. JE ne répondis rien à cette expl," compromettre personne; mais, DANS UNE HEURE, AU PLUS TARD, JE vous dirai positivement le no","(119605, 119636)","(71825, 71857)"
Charriere_Femmes_1,"que j'ai souffert, après tout CE QUE VOUS AVEZ FAIT POUR MOI, vous n'avez plus le droit de","e sens jusqu'au fond de l'âme CE QUE VOUS AVEZ FAIT POUR MOI. 
Un jour, elle lui dit: -Il ","(305122, 305152)","(71825, 71857)"
