,Text in Crebillon_Nuit,Text in B,Location in Crebillon_Nuit,Location in B
Anonyme_Zoloe_0,e dire. Il y a long-temps que JE NE DOUTE PAS QUE JE NE vous sois l'homme du monde le,e m'inspire de la confiance ; JE NE DOUTE PAS QUE JE NE trouve chez vous de quoi oubl,"(59640, 59665)","(479, 504)"
Arnaud_Epoux_0,"olontairement cette justice ; MAIS LES TEMPS SONT CHANGÉS, ET CE serait en vain qu'aujourd'hui","fois de s'allier à la mienne; MAIS LES TEMPS SONT CHANGÉS! ET À CE mot, il lui échappe un profon","(78646, 78680)","(25841, 25877)"
Beauharnais_Lettres_0,"tomba dans un grand fauteuil, LA TÊTE APPUYÉE SUR UNE DE SES MAINS, et tout-à-fait dans l'attitu","cle! quel souvenir affreux!.. LA TÊTE APPUYÉE SUR L'UNE DE SES MAINS, l'autre armée ... Une minute","(143394, 143430)","(18552, 18590)"
bible_0,"ose... 
CIDALISE. 
Après tout CE QUE JE VIENS DE VOUS DIRE, ce serait à moi une assez be","6 Or, mes frères, j’ai tourné CE QUE JE VIENS DE VOUS DIRE, sur moi et
sur Apollos, à ca","(51208, 51236)","(4251831, 4251859)"
Cazotte_Diable_0,"de cela, mille grâces, toutes PLUS PIQUANTES LES UNES QUE LES AUTRES, je ne sais par quel caprice ","ans la journée mille tableaux PLUS PIQUANTS LES UNS QUE LES AUTRES, assurément je n'y tiendrai p","(155014, 155052)","(31946, 31982)"
Charriere_Lausanne_0,". 
Assûrément, si vous croyez TOUT CE QUE VOUS VENEZ DE ME DIRE, vous avez jusques à présent ","est choisie. Il est payé pour TOUT CE QUE VOUS VENEZ DE DIRE; et, s'il se distingue, il ac","(19052, 19085)","(71741, 71771)"
Charriere_Lausanne_1,"ose... 
CIDALISE. 
Après tout CE QUE JE VIENS DE VOUS DIRE, ce serait à moi une assez be","rte que vive, elle me raconta CE QUE JE VIENS DE VOUS DIRE.-Mais, maman, disait-elle, co","(51208, 51236)","(71741, 71771)"
Chevrier_Colporteur_0,"ose... 
CIDALISE. 
Après tout CE QUE JE VIENS DE VOUS DIRE, ce serait à moi une assez be","ettes. Concluez, mon fils, de CE QUE JE VIENS DE VOUS DIRE, que vous ne devez pas imiter","(51208, 51236)","(234893, 234921)"
Constant_Laure1_0,"s déplairai pas ? 
CIDALISE. 
JE NE CROIS PAS QUE CE SOIT cela que je vous ai dit ; mai","s allez faire vœu de célibat. JE NE CROIS PAS QUE CE SOIT un grand effort, mais je ne m","(70881, 70908)","(116933, 116960)"
Crebillon_Atheniennes_0,"ous l'y ayez trouvé de trop : MAIS JE VOUS AVOÜE QUE JE NE vois pas pourquoi, s'il n'y e","is dans mon tort, sans doute; MAIS JE VOUS AVOÜE QUE JE NE trouve que du jargon où vous ","(5349, 5377)","(100187, 100215)"
Crebillon_Atheniennes_1,"lle idée ! Dans le temps même QUE JE MOURAIS DE DOULEUR DE L'AVOIR PERDU, il a tenté vainement de me r","ifié: mourant, ou m'imaginant QUE JE MOURAIS DE DOULEUR DE L'AVOIR PERDU; et, quoiqu'il en pût être, a","(26492, 26534)","(100187, 100215)"
Crebillon_Atheniennes_2,"e devoir vous dire, c'est que VOUS ÊTES DE TOUS LES HOMMES DU MONDE CELUI que j'estime le plus, et que "," je me trouve dans ce cas-là, VOUS ÊTES, DE TOUS LES HOMMES DU MONDE, CELUI à qui j'écris le plus mal, et","(70101, 70144)","(100187, 100215)"
Crebillon_Atheniennes_3, parce que je n'ai jamais osé VOUS DIRE QUE JE VOUS AIME QUE vous doutez de mes sentiment ,"en ai tiré: ce n'est que pour VOUS DIRE QUE JE VOUS AIME, QUE je vous écris: mais, quelle n","(79297, 79327)","(100187, 100215)"
Crebillon_Atheniennes_4,"s'il vous plaît ? 
CIDALISE. 
EST-IL DONC VRAI QUE JE SOIS si injuste ? 
Le Lecteur aura",ivrer à un autre?-m'y livrer! EST-IL DONC VRAI QUE JE M'Y SOIS livrée! Que lût-il dans mes y,"(94676, 94704)","(100187, 100215)"
Crebillon_Atheniennes_5,"ur tel que le mien. Cela est, SI VOUS ME PERMETTEZ DE VOUS LE DIRE, d'une barbarie sans exemple.","ns doute fort généreux, mais, SI VOUS ME PERMETTEZ DE VOUS LE DIRE, plus absurdes encore, ne son","(116101, 116137)","(100187, 100215)"
Crebillon_Atheniennes_6,. Vous sentez bien d'ailleurs QU'IL NE SE PEUT PAS QUE JE vous quitte sans vous avoir b,"de profiter de deux avantages QU'IL NE SE PEUT PAS QUE JE conserve long-temps, pour sau","(172250, 172277)","(100187, 100215)"
Crebillon_Atheniennes_7,"pas. 
CLITANDRE. 
Je trouve à CELA, SI VOUS ME PERMETTEZ DE VOUS LE DIRE, plus de courage que de prude","roubler vos occupâtions. Tout CELA, SI VOUS ME PERMETTEZ DE VOUS LE DIRE, me paraît bien inconséquent!","(174596, 174638)","(100187, 100215)"
Crebillon_Conte_0,"n des hommes, qui sont ici, a PASSÉ LA PLUS GRANDE PARTIE DE LA NUIT dans ma chambre ? Auriez-vous","e rentrai dans le camp, où je PASSAI LA PLUS GRANDE PARTIE DE LA NUIT à les haranguer, et à tâcher ","(14950, 14988)","(327524, 327563)"
Crebillon_Conte_1,"e une réflexion qui me peine, ET JE NE SAURAIS VOUS EXPRIMER À QUEL POINT je suis honteux de vous faire",vrais le moins parler de moi; ET JE NE SAURAIS VOUS EXPRIMER À QUEL POINT mon imprudence et votre curio,"(47901, 47944)","(327524, 327563)"
Crebillon_Conte_2,"ur tel que le mien. Cela est, SI VOUS ME PERMETTEZ DE VOUS LE DIRE, d'une barbarie sans exemple.","t après menée fort loin: mais SI VOUS ME PERMETTEZ DE VOUS LE DIRE, il me semble que vous avez é","(116101, 116137)","(327524, 327563)"
Diderot_Jacques_0,"ne réflexion qui me peine, et JE NE SAURAIS VOUS EXPRIMER À QUEL POINT je suis honteux de vous faire","ussi ? 
LE MARQUIS Et réussi, JE NE SAURAIS VOUS EXPRIMER À QUEL POINT. N'aurez-vous pas compassion ","(47904, 47944)","(240120, 240160)"
Diderot_Neveu_0,". 
Assûrément, si vous croyez TOUT CE QUE VOUS VENEZ DE ME DIRE, vous avez jusques à présent ","ez-vous ? 
MOI.---Je rêve que TOUT CE QUE VOUS VENEZ DE DIRE est plus spécieux que solide.","(19052, 19085)","(48050, 48080)"
Diderot_Religieuse_0," propose... 
CIDALISE. 
Après TOUT CE QUE JE VIENS DE VOUS dire, ce serait à moi une ass",ent comme à vous ; je lui dis TOUT CE QUE JE VIENS DE VOUS écrire ; et ce qui regardait ,"(51203, 51231)","(74277, 74305)"
Dorat_Malheurs_0," propose... 
CIDALISE. 
Après TOUT CE QUE JE VIENS DE VOUS dire, ce serait à moi une ass","imera cette femme là. Mais de TOUT CE QUE JE VIENS DE VOUS citer, rien n'a été sérieux q","(51203, 51231)","(221159, 221187)"
Dorat_Sacrifices_0,"e vous propose... 
CIDALISE. 
APRÈS TOUT CE QUE JE VIENS DE vous dire, ce serait à moi un","s trouve faibles aujourd'hui! APRÈS TOUT CE QUE JE VIENS DE dire, ai-je besoin de vous no","(51197, 51226)","(5327, 5356)"
Ducray_Cinquante_0,". 
Assûrément, si vous croyez TOUT CE QUE VOUS VENEZ DE ME DIRE, vous avez jusques à présent "," mon indignation?...--Madame, TOUT CE QUE VOUS VENEZ DE ME DIRE est tellement obscur pour moi","(19052, 19085)","(163354, 163387)"
Florian_Galatee_0,"ns un grand fauteuil, la tête APPUYÉE SUR UNE DE SES MAINS, ET tout-à-fait dans l'attitude d"," la fontaine; son front était APPUYÉ SUR UNE DE SES MAINS, ET de l'autre elle caressait le ","(143402, 143434)","(90975, 91006)"
Fourqueux_Zely_0," ciel qu'elle pût me croire l'HOMME DU MONDE LE PLUS HEUREUX, ET que je le fusse autant qu'ell","ui répondis-je, “et je suis l'HOMME DU MONDE LE PLUS “HEUREUX ET le plus amoureux. Elle “repri","(15371, 15405)","(128691, 128725)"
Genlis_Adele_0," Persuadée cependant qu'après CE QUI VENAIT DE SE PASSER, JE retrouverois sans peine auprè",; je n'osais réfléchir à tout CE QUI VENAIT DE SE PASSER; JE craignais d'interroger mon cœ,"(125999, 126029)","(808206, 808236)"
Genlis_Adele_1,"imaginable, à passer avec moi DANS CE PETIT CABINET QUE VOUS CONNAISSEZ, ET qui donne sur le jardin. Elle","lis et le chevalier D'Herbain DANS CE PETIT CABINET QUE VOUS CONNAISSEZ; ET là, nous avons lu avec un pla","(143051, 143096)","(808206, 808236)"
Genlis_Chevaliers_0,"hommes, qui sont ici, a passé LA PLUS GRANDE PARTIE DE LA NUIT dans ma chambre ? Auriez-vous",niquement le reste du jour et LA PLUS GRANDE PARTIE DE LA NUIT; je me promis à moi-même de r,"(14956, 14988)","(109479, 109511)"
Gerard_Comte_0,"ne pas réussir, et la crainte DE VOUS ENNUYER ET DE VOUS DÉPLAIRE en vous poursuivant avec cett","ma chère Émilie, sans risquer DE VOUS ENNUYER ET DE VOUS DÉPLAIRE, je vais encore vous entreten","(23671, 23706)","(681526, 681561)"
Jacquin_Parisiennes_0,"ITANDRE. 
Je ne sais pas si c'EST LA PREMIÈRE FOIS QUE JE LA loüe ; mais ce qu'il y a de s",le sacrifice de ma liberté: c'EST LA PREMIÈRE FOIS QUE JE LA vois depuis que j'ai encouru ,"(2116, 2146)","(307369, 307399)"
Kimber_Thompson_0,"hommes, qui sont ici, a passé LA PLUS GRANDE PARTIE DE LA NUIT dans ma chambre ? Auriez-vous",sse d'amour pour nous occuper LA PLUS GRANDE PARTIE DE LA NUIT à parler ensemble de notre bo,"(14956, 14988)","(743944, 743976)"
Lagrave_Sophie_0,"ue vous avez à sacrifier. Si, PAR LE PLUS GRAND HASARD DU MONDE, il se trouvait qu'une femme "," mon entreprise sur madame de BEAUREGARD. MAIS, PAR LE PLUS GRAnd hasard du monde, j'ai décou","(6928, 6961)","(232196, 232229)"
Lagrave_Zabeth_0,"e quoi me faire ce reproche ? TOUT CE QUE JE SAIS, C'EST QUE si je trouvais la même expres","e que je vois pas bien clair. TOUT CE QUE JE SAIS, C'EST QUE je suis bien fâchée de tout c","(112701, 112731)","(248272, 248302)"
