,Text in Beauharnais_Lettres,Text in B,Location in Beauharnais_Lettres,Location in B
Anonyme_Etourdi_0,"xions qu'au milieu du tumulte DE LA VILLE ET DE LA COUR, j'étais si loin de faire. In","re, on les croirait confident DE LA VILLE ET DE LA COUR. Rien ne se fait pour eux der","(54981, 55006)","(153855, 153880)"
Arnaud_Matinees_0,"derois le silence! moi! Mais, JE NE SUIS POINT FAIT POUR ÊTRE délateur. Il est une justice ","r le nom de mon époux; ajoutez, SUR CET OBJET, AUX REPRÉSENTATions de mon père : non, je ne ","(77709, 77740)","(222906, 222938)"
Arnaud_Sentiment_0,"essentît de vives alarmes sur LE SORT DE L'UN ET DE L'AUTRE, remerciait le Ciel d'avoir f","ccablante; j'ai voulu décider LE SORT DE L'UN ET DE L'AUTRE, et peut-être le mien, ajoute","(15210, 15239)","(707065, 707094)"
Benoist_Elisabeth_0, et mes tourments et ma joie. JE NE SAIS SI JE ME TROMPE? MAIS quelques mots échappés pourra,"aite, dont j'ignore la cause. JE NE SAIS SI JE ME TROMPE, MAIS je crois la deviner, parce qu","(98150, 98182)","(79427, 79459)"
Benoist_Elisabeth_1,"itude: c'est en lui apprenant TOUT CE QUI SE PASSE DANS SON cœur, que je le forcerai de s","que amie, que tu dois sçavoir TOUT CE QUI SE PASSE DANS MON cœur, comme Dieu même. Sois d","(139962, 139991)","(79427, 79459)"
Bernardin_Paul_0,e de sentiment inexplicables! MAIS IL ME SEMBLE QUE JE SUIS PLUS satisfait que je ne l'étais d,"ent habiles dans leur genre ; MAIS IL ME SEMBLE QUE JE SUIS PLUS redevable à M. Prud'hon, quoi","(81153, 81187)","(67096, 67130)"
Cazotte_Diable_0,"vient un supplice; je frémis: ELLE SE MEURT! ... ELLE SE MEURT, ET je suis enchaîné! quelle étra","sse, se trouve réduite ? 
--- ELLE SE MEURT... ELLE SE MEURT ? M'ÉCRIAI-je. 
---Oui, poursuivit-elle,","(56823, 56859)","(97834, 97875)"
Crebillon_Atheniennes_0,"t .... C'est un père, le père LE PLUS TENDRE ET LE PLUS MALHEUREUX que je pleure ..... 
Quel que","ui le suivent, mais à l'amour LE PLUS TENDRE, ET LE PLUS SINCÈRE que vous accorderez les sacri","(82699, 82735)","(220885, 220919)"
Crebillon_Atheniennes_1,"cher Dom Lope, adieu. 
P. S. 
JE N'AI PAS BESOIN DE VOUS DIRE QUE LE SECRET de Sidley est le mien: à ce t","s savez ce qui me conduisait, JE N'AI PAS BESOIN DE VOUS DIRE QUE LE DÉSIRS de le soumettre, n'entrainoit","(96636, 96681)","(220885, 220919)"
Crebillon_Conte_0,"cher Dom Lope, adieu. 
P. S. 
JE N'AI PAS BESOIN DE VOUS DIRE que le secret de Sidley est l",s les expériences que je fis. JE N'AI PAS BESOIN DE VOUS DIRE qu'aucune me réussit; et je c,"(96636, 96667)","(427017, 427048)"
Crebillon_Nuit_0,"cle! quel souvenir affreux!.. LA TÊTE APPUYÉE SUR L'UNE DE SES MAINS, l'autre armée ... Une minute","tomba dans un grand fauteuil, LA TÊTE APPUYÉE SUR UNE DE SES MAINS, et tout-à-fait dans l'attitu","(18552, 18590)","(143394, 143430)"
