,Text in Lesuire_Aventurier,Text in B,Location in Lesuire_Aventurier,Location in B
Anonyme_Etourdi_0,"moyenne distance, je me mis à POUSSER LES CRIS LES PLUS AIGUS, EN élevant les bras au ciel. On ","à courir dans le corridor, en POUSSANT LES CRIS LES PLUS AIGUS. 
EN les voyant sortir effrayées, ","(603502, 603537)","(94679, 94716)"
Anonyme_Etourdi_1,"'idée qu'on aoit de ma folie, SI JE N'AVAIS PAS LE BONHEUR DE mourir, je serais condamné àu","s aussi volage que l'amour.---SI JE N'AVAIS PAS LE BONHEUR DE vous connaître, je répondrais","(891914, 891945)","(94679, 94716)"
Anonyme_Zoloe_0,"ôme les fit tous rire, ils me TOISERENT DE LA TÊTE AUX PIEDS. LE Suisse, flegmatique, me regar","i ! c'est vous, monsieur ! en TOISANT DE LA TÊTE AUX PIEDS LE sauveur. Il me semble que ce ","(429976, 430010)","(69535, 69566)"
Anonym_Suzon_0,"lus relevé“ (Cela était vrai; IL Y AVAIT MÊME DÉJÀ LONG-TEMPS QUE j'aurois dû le faire.) 
“Il f",fille du bon homme Ambroise ; IL Y AVAIT MÊME DÉJÀ LONG-TEMPS QUE ce vieillard ne s'occupait pl,"(504629, 504664)","(20821, 20856)"
Arnaud_Epoux_0," presque sans mouvement, déjà COUVERTE DE LA PÂLEUR DE LA MORT; mais plus ravissante dans ce","er; elle tombe dans mes bras, COUVERTE DE LA PÂLEUR DE LA MORT; j'appelle à son secours; moi","(579935, 579967)","(184620, 184652)"
Arnaud_Epoux_1,"ris son parti, qu'elle était éLEVÉE AU DESSUS DE LA NATURE HUMAINE. 
Quel pur amour se peignit d","inexprimable, cette femme si éLEVÉE AU-DESSUS DE LA NATURE HUMAINE, c'est vous, c'est tout ce qu","(587582, 587618)","(184620, 184652)"
Arnaud_Sentiment_0,pour vous à qui je dois tant. JE N'AI “PAS EU LE TEMPS DE faire un testament. “Je suis ,moiselle.-Et quelle raison...-JE N'AI PAS EU LE TEMPS DE poursuivre ma route; j'ai ren,"(114508, 114535)","(794608, 794634)"
Arnaud_Sentiment_1,"vous “a accusé d'avoir séduit LA FEMME ET LA “FILLE DE CE Duc. On ajoute, même, des “ch","; Nelly ne pouvait m'oublier; LA FEMME ET LA FILLE DE CE barbare parent, aussi cruelle","(232821, 232848)","(794608, 794634)"
Arnaud_Sentiment_2,"s réellement, depuis un mois, DANS LES ENTRAILLES DE LA TERRE. IL ne m'était pas permis de la d",is en ce moment être enseveli DANS LES ENTRAILLES DE LA TERRE. JE ne pourrai jamais... il s'arr,"(357227, 357262)","(794608, 794634)"
Beaumont_Clarice_0,pour vous à qui je dois tant. JE N'AI “PAS EU LE TEMPS DE faire un testament. “Je suis ," avez du recevoir une lettre dE MOI, QUI ME FAIT FRÉMIR lors-que j'y pense. Vous y app","(114508, 114535)","(224902, 224928)"
