,Text in Retif_Paysanne,Text in B,Location in Retif_Paysanne,Location in B
Anonyme_Zoloe_0,"intéressante. » En ce moment, IL S'EN EST PEU FALLU QUE JE NE me sois trahie : imagine-toi ",. C'était la séduction même ; IL S'EN EST PEU FALLU QUE JE NE fusse moi-même la dupe de son,"(191817, 191848)","(50389, 50420)"
Arnaud_Epoux_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE si j'ai fait manquer le maria","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE mes yeux ne s'arrêtaient que ","(18833, 18873)","(93940, 93980)"
Arnaud_Epoux_1,"s il n'y a plus rien de caché DANS LE FOND DE MON CŒUR, SI ce n'est un trésor inépuisabl","ses anathêmes, et s'écrieroit DANS LE FOND DE MON CŒUR, SI j'étais assez lâche, assez pe","(129537, 129565)","(93940, 93980)"
Arnaud_Matinees_0,"pourrait-il goûter, après la mORT DE SON PÈRE ET DE SA mère, que nous avons tués !apr","vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , elle les pressait contre so","(985229, 985254)","(3890, 3915)"
Arnaud_Sentiment_0,"est qu'elle a été si aimable, QUE TOUS TANT QUE NOUS SOMMES NOUS en étions fous ; et il n'est ",me-là a fait plus de mariages QUE TOUS TANT QUE NOUS SOMMES NOUS n'avons eu de bonnes fortunes,"(42577, 42611)","(32591, 32625)"
Arnaud_Sentiment_1,"pourrait-il goûter, après la mORT DE SON PÈRE ET DE SA mère, que nous avons tués !apr","es agréments de Julie; adorée DE SON PÈRE ET DE SA MÈRE, elle les aimait de même.On s","(985229, 985254)","(32591, 32625)"
Beaumont_Clarice_0,"sant toute votre délicatesse, QUE JE PRENDS LA LIBERTÉ DE VOUS écrire : l'horreur que je vou","ine personne, que je fonde le CONSEIL QUE JE PRENDS LA LIBERTÉ de vous donner; il est appuyé","(307154, 307186)","(47307, 47339)"
Benoist_Elisabeth_0,"s sortirez seule... Au reste, JE VOUDRAIS DE TOUT MON CŒUR QUE quelque imprudent fît cette é","de ce que mon mari me promet, JE VOUDRAIS DE TOUT MON CŒUR QUE tes espérances du côté du che","(273982, 274014)","(136307, 136339)"
Benouville_Pensees_0,"ès chère sœur, de ce mariage, ET DE TOUT CE QUI S'EST PASSÉ, tracé par une plume meilleur","l'on a observées à mon Baptême, ET DE TOUT CE QUI S'EST PASsé à ce sujet. C'est Ferdinand","(249856, 249885)","(164407, 164436)"
Bernardin_Paul_0,"lait : le monsieur m'a parlé, POUR SE PLAINDRE DE CE QUE JE ne lui faisais pas réponse, m",tout. Il m'écrivit tendrement POUR SE PLAINDRE DE CE QUE JE n'avais pas eu assez de confi,"(216300, 216329)","(29034, 29063)"
bible_0,"mission et tendresse. Que sur LA DEMANDE QUE JE LUI AI FAITE, d'être ramenée chez Mme Cano","ant, et l’Éternel m’a accordé LA DEMANDE
QUE JE LUI AI FAITE.

28 C’est pourquoi, je l’ai ","(296264, 296294)","(1117131, 1117161)"
bible_1," quel plaisir pourrait-il goûtER, APRÈS LA MORT DE SON PÈRE ET DE SA mère, que nous avons tués !apr","le taille,
et très belle ; et APRÈS LA MORT DE SON PÈRE ET DE SA MÈRE, Mardochée
l’avait prise pour","(985215, 985254)","(1117131, 1117161)"
Charriere_Femmes_0,us ai quittée sans inquiétude : MAIS IL N'EN EST PAS DE MÊme d'Ursule et d'Edmond ! J'éc, on n'a rien à lui reprocher; MAIS IL N'EN EST PAS DE MÊME des auteurs de sa fortune; et,"(879938, 879966)","(121474, 121502)"
Charriere_Lausanne_0,"is d'entrer par lettre ; tout CE QUE JE PUIS VOUS DIRE, C'EST QUE si j'ai fait manquer le maria","'aime par dessus toute chose. CE QUE JE PUIS VOUS DIRE, C'EST QUE la société, qui dispense les ","(18838, 18873)","(70007, 70042)"
Charriere_Lausanne_1,"onnerez. 
Je suis avec respect, MONSIEUR, VOTRE TRÈS HUMBLE ET TRÈS OBÉISSANTE SERVANte. 
URSULE R**. 
À la Comtess","je dois me conduire. Je suis, MONSIEUR, VOTRE TRÈS HUMBLE ET TRÈS OBÉISSANTE SERVANTE. 
Madame, il est vrai que je ","(976440, 976495)","(70007, 70042)"
Chevrier_Colporteur_0,"'en exige une reconnaissance, ET JE NE SUIS PAS ASSEZ GÉNÉREUSE, pour vous en faire grâce...-","en, s'écria Bélise en pleurs, ET JE NE SUIS PAS ASSEZ STUPIDE pour lui préférer mon honneur","(58163, 58196)","(37996, 38027)"
Constant_Laure1_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu","Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que","(18833, 18862)","(40664, 40693)"
Constant_Laure1_1,"adorée, pour y être heureuse. MAIS IL FAUT QUE JE VOUS DISE un mot des désagréments dont ",". 
Je devrais finir une fois, MAIS IL FAUT QUE JE VOUS DISE encore, qu'hier, mon père me ","(84209, 84238)","(40664, 40693)"
Constant_Laure1_2,"blement éveillée ! Cependant, JE NE CROIS PAS QUE VOUS AYEZ encore eu plus d'un amant ou ",des chimères dans les romans: JE NE CROIS PAS QUE VOUS AYEZ la satisfaction d'en trouver ,"(154704, 154733)","(40664, 40693)"
Constant_Laure2_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu"," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","(18833, 18862)","(78634, 78663)"
Constant_Laure2_1," ne me lâchait toujours pas ; ET, EN VÉRITÉ, JE NE SAIS CE qu'il me voulait faire : heur"," je ne sais ce que je lui ai rÉPONDU, ET EN VÉRITÉ JE NE sais ce que j'aurois pu lui r","(52855, 52883)","(78634, 78663)"
Cottin_Claire_0, et s'est élancé jusqu'à moi. JE LUI AI TENDU LA MAIN EN souriant. « Quoi ! C'est vous, de Frédéric : cela m'a émue. JE LUI AI TENDU LA MAIN EN lui demandant pardon ; il l'a,"(678756, 678782)","(18862, 18888)"
Cottin_Claire_1,"t : « Ah, ça, ma fille, je saiS CE QUE TU ES, CE QUE tu as fait ; la corde était to","t un monstre : la distance de CE QUE TU ES, À CE QUE TU feignais d'être, est immense,","(808150, 808173)","(18862, 18888)"
Crebillon_Conte_0," que nous avions de l'esprit, ET JE NE SAIS COMBIEN D'AUTRES CHOSES. Il a beaucoup ri de ce que m","e épurée, de beaux préceptes, ET JE NE SAIS COMBIEN D'AUTRES CHOSES encore qui se sentent mieux q","(85930, 85967)","(188265, 188302)"
Crebillon_Nuit_0,"er d'écarts ! oui, en vérité, CE QUE VOUS VENEZ DE DIRE VOUS est dicté par la sagesse même","sûrément, si vous croyez tout CE QUE VOUS VENEZ DE ME DIRE, VOUS avez jusques à présent agi bi","(197262, 197292)","(19057, 19091)"
Crebillon_Nuit_1,"faut-il écrire à vos parents, AVEC TOUT LE RESPECT QUE J'AI POUR vous ; je vais écrire ?... Vo"," expliquer. Je lui ai répondu AVEC TOUT LE RESPECT QUE J'AI POUR son sexe, et tout le mépris q","(276492, 276526)","(19057, 19091)"
Crebillon_Nuit_2,vous le pardonnerais aisément ! MAIS COMMENT VOULEZ-VOUS QUE JE VOus pardonne le mal que vous av,e tendrement dans ses bras .) MAIS COMMENT VOULEZ-VOUS QUE JE VOUS croie lorsque je vous vois éc,"(841916, 841952)","(19057, 19091)"
Diderot_Jacques_0," dirige à ma place, elle fera CENT FOIS MIEUX QUE MOI. JE T'AVOUERAI que je ne m'attendais pas que",vous êtes unique ; vous valez CENT FOIS MIEUX QUE MOI. JE DOUTE que j'eusse eu la générosité ,"(60311, 60349)","(432681, 432714)"
Diderot_Jacques_1,"là, ma chère bonne amie sœur, LE RÉCIT DE TOUT CE QUI S'EST PASSÉ en cette occasion. Présentez,","t un incident, l'histoire est LE RÉCIT DE TOUT CE QUI S'EST PASSÉ pendant qu'ils s'aimaient. 
J","(176785, 176820)","(432681, 432714)"
Diderot_Religieuse_0,"se aventure, et de me croire, AVEC TOUS LES SENTIMENTS QUE VOUS MÉRITEZ, Votre, etc. 
COLETTE C, Fme ","uère. 
J'ai l'honneur d'être, AVEC TOUS LES SENTIMENTS QUE VOUS MÉRITEZ, monsieur, votre très-humble ","(19864, 19905)","(397572, 397613)"
Diderot_Religieuse_1,"'honneur d'être avec respect, VOTRE TRÈS HUMBLE ET TRÈS OBÉISSANTE SERVANTE, LAURE C***. 
Vous voyez, chè","s plus respectueux, monsieur, VOTRE TRÈS-HUMBLE ET TRÈS-OBÉISSANTE SERVANTE, Signé : Moreau-Madin. 
À Par","(80176, 80221)","(397572, 397613)"
Diderot_Religieuse_2,"profond respect avec lequel j'AI L'HONNEUR D'ÊTRE, MADAME, VOTRE TRÈS HUMBLE, très obéissant et très oblig"," me seront toujours chers. 
J'AI L'HONNEUR D'ÊTRE, MADAME, VOTRE TRÈS-HUMBLE et très-obéissant serviteur. ","(180486, 180532)","(397572, 397613)"
Diderot_Religieuse_3,"x, ou passionnément généreux, VOTRE TRÈS HUMBLE ET TRÈS OBÉISSANT SERVITEUR. ** ***. 
Après avoir lu ce s","'ai l'honneur d'être, madame, VOTRE TRÈS-HUMBLE ET TRÈS-OBÉISSANT SERVITEUR. 
Ce 31 mars 1760. 
LETTRE de","(190371, 190416)","(397572, 397613)"
Dorat_Malheurs_0,ut que je sois. Car je sais quE JE NE DIS PAS UN MOT QUI ne soit écouté. Si je ne puis ,es discours les plus étudiés. JE NE DIS PAS UN MOT QUI NE fût profondément senti. D'abo,"(809994, 810021)","(46137, 46164)"
Dorat_Sacrifices_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu"," fois, il n'est plus temps... TOUT CE QUE JE PUIS VOUS PROMETTRE, c'est d'ennoblir ma faibless","(18833, 18862)","(174441, 174475)"
Duclos_Acajou_0,"x, ou passionnément généreux, VOTRE TRÈS HUMBLE ET TRÈS OBÉISSANT SERVITEUR. ** ***. 
Après avoir lu ce s","s en exigez d'autres, je suis VOTRE TRÈS-HUMBLE ET TRÈS-OBÉISSANT SERVITEUR. 
ACAJOU ET ZIRPHILE CONTE. 
","(190371, 190416)","(2897, 2942)"
Ducray_Cinquante_0,"s vous y eussent réduite ; ce QUE TOUTE LA PRUDENCE HUMAINE NE PEUT quelquefois prévoir. Vous, po","vénements si extraordinaires, QUE TOUTE LA PRUDENCE HUMAINE NE PEUT ni les calculer, ni les prévo","(649155, 649192)","(284890, 284927)"
Dulaurens_Imirce_0," fort lié avec le marquis, et JE NE SAIS TROP CE QU'IL EN résultera. Je me déguise un p","es, apostoliques et romaines. JE NE SAIS TROP CE QU'IL EN sera; il a cependant promis, ","(485734, 485761)","(308027, 308054)"
Fievee_Dot_0,"e pus me défendre. Mais comme JE NE SAVAIS PAS CE QUE C'ÉTAIT, je ne fus pas si en colère q","nais de dire une sottise, car JE NE SAVAIS PAS CE QUE C'ÉTAIT que le concert du théâtre de ","(79641, 79672)","(86302, 86333)"
Florian_Galatee_0," nous ont bien surpris, ici ! MAIS LA VOLONTÉ DE DIEU SOIT FAITE, et ce qui est fait et approu", aurait dû me sauver „la vie; MAIS LA VOLONTÉ DE DIEU SOIT „FAITE! Votre excellence saura du mo,"(32724, 32758)","(13491, 13526)"
Genlis_Adele_0,"e, pour y être heureuse. Mais IL FAUT QUE JE VOUS DISE UN MOT des désagréments dont j'ai pa","x. 
À présent, ma chère amie, IL FAUT QUE JE VOUS DISE UN MOT de nos plaisirs, nous en avon","(84214, 84245)","(221899, 221930)"
Genlis_Adele_1,moi. Vous êtes charmante ! Et JE NE DOUTE PAS QUE VOUS NE fassiez de brillantes conquêt,"hir et vous accorde du temps, JE NE DOUTE PAS QUE VOUS NE l'ameniez facilement à y reno","(155042, 155069)","(221899, 221930)"
Genlis_Adele_2,que pourtant ils ne parlaient QUE DE LA PLUIE ET DU BEAU TEMPS : mais ça les familiarisait t," elle ne lui parle exactement QUE DE LA PLUIE ET DU BEAU TEMPS , craignant toujours, de sa p","(240532, 240564)","(221899, 221930)"
Genlis_Chevaliers_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE si j'ai fait manquer le maria","nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, dans une de nos solennités r","(18833, 18873)","(184248, 184288)"
Genlis_Chevaliers_1,"le caresses, avec une émotion QUE JE NE LUI AVAIS JAMAIS VUE. Mon frère a ramené Mme Paran",'elle avait même une timidité QUE JE NE LUI AVAIS JAMAIS VUE. Il voulut l'entendre chanter,"(51902, 51932)","(184248, 184288)"
Genlis_Chevaliers_2,"nnue particulièrement, elle a PRIS POUR ELLE LA PLUS TENDRE AMITIÉ, une estime sincère, et tous ","s avoir étudié son caractère, PRIT POUR ELLE LA PLUS TENDRE AMITIÉ. Maria ne se permit qu'un dég","(73325, 73361)","(184248, 184288)"
Gerard_Comte_0,de ? Il a tort pour moi ; car JE LA SENS AU FOND DE MON CŒUR. Me dira-t-il qu'elle n'y est,"te différence, je l'aperçois, JE LA SENS AU FOND DE MON CŒUR. Un dieu nécessairement ami d","(124665, 124695)","(419396, 419426)"
Gerard_Comte_1,"sera portée, le duelliste est LE PLUS COUPABLE ET LE PLUS VIL des hommes. 
À l'appui de cet","acré caractère, que je serais LE PLUS COUPABLE ET LE PLUS VIL de tous les hommes, si je pou","(383471, 383502)","(419396, 419426)"
Gerard_Comte_2,"tation dans le culte, au lieu D'ADORER EN ESPRIT ET EN VÉRITÉ : Ils sont acharitables, vindicat","t annonce un culte nouveau, l'ADORATION EN ESPRIT ET EN VÉRITÉ. IL voit avec une sorte de transp","(847817, 847852)","(419396, 419426)"
Gorjy_Voyage_0,"le caresses, avec une émotion QUE JE NE LUI AVAIS JAMAIS VUE. Mon frère a ramené Mme Paran","t une contenance respectueuse QUE JE NE LUI AVAIS JAMAIS VUE; et, m'abordant, en tenant le","(51902, 51932)","(38886, 38916)"
Jacquin_Parisiennes_0,"te et je me suis abandonnée à TOUT CE QUE LE SENTIMENT A DE PLUS recherché, de plus délicieux."," d'un Amant plein d'ardeur, à TOUT CE QUE LE SENTIMENT A DE PLUS voluptueux: tout...... Mais d","(675734, 675768)","(56861, 56895)"
Kimber_Thompson_0," surtout de l'attachement aux EXCELLENTS PRINCIPES QUE VOUS AVEZ REÇUS DE vos parents ! ». 
Voilà, ma t","dre que vous vous écartez des EXCELLENT PRINCIPES QUE VOUS AVEZ REÇUS CHEZ votre père, etamp; même que v","(62290, 62333)","(142661, 142705)"
Kimber_Thompson_1,"s sortirez seule... Au reste, JE VOUDRAIS DE TOUT MON CŒUR QUE quelque imprudent fît cette é", peine qu'on la sauve du feu? JE VOUDRAIS DE TOUT MON CŒUR QUE tu eusses un état à lui donne,"(273982, 274014)","(142661, 142705)"
Kimber_Thompson_2,uvé tant de perfection. J'avaiS TOUTES LES PEINES DU MONDE À M'EMPÊCHER de rire. Enfin... tout se pass,"entra en fureur, etamp; j'eus TOUTES LES PEINES DU MONDE À L'EMPÊCHER DE partir sur le champ pour alle","(743157, 743199)","(142661, 142705)"
Laclos_Liaisons_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE si j'ai fait manquer le maria"," perdre que de la surprendre. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE, placée par M. de Valmont ent","(18833, 18873)","(619365, 619405)"
Laclos_Liaisons_1,"'honneur d'être avec respect, VOTRE TRÈS HUMBLE ET TRÈS OBÉISSANTE SERVANTE, LAURE C***. 
Vous voyez, chè","Je suis avec respect, Madame, VOTRE TRÈS HUMBLE ET TRÈS OBÉISSANTE SERVANTE. 
Paris, 1er novembre 17... 
","(80176, 80221)","(619365, 619405)"
Laclos_Liaisons_2,"me mortifierait cruellement ! JE SUIS AVEC LE PLUS PROFOND RESPECT, MADEMOISELLE, VOTRE, etc. 
J'ai renvoyé le présen","les exécuter ponctuellement. 
JE SUIS AVEC LE PLUS PROFOND RESPECT, MADAME, VOTRE, etc. 
Bertrand. 
Paris ce 7 ","(217707, 217764)","(619365, 619405)"
Lagrave_Sophie_0,"uillet. 
Ne m'en veux pas, ma BONNE AMIE, DU LONG SILENCE QUE J'AI GARDÉ avec toi, quoique je t'eusse ","gard. 
Tu dois être inquiète, MON AMIE, DU LONG SILENCE QUE J'AI GARDÉ. Ma mère a éprouvé une crise ","(80484, 80526)","(20887, 20927)"
Lagrave_Sophie_1,"e qu'elle me porte, haine qui FAIT L'ÉLOGE DE SON CŒUR ET DE sa vertu. Haïssez-moi tous de","ur les qualités de son mari. ELLE FAIT L'ÉLOGE DE SON CŒUR Et de son âme, de manière à ne ","(264335, 264365)","(20887, 20927)"
Lagrave_Sophie_2,"ur. 
Pardonnez, mademoiselle, LA LIBERTÉ QUE JE PRENDS DE VOUS ÉCRIRE : mais il le faut. Je ne sais"," 
Un Anonyme à M. DARCY. 
MonsIEUR, PARDONNEZ À LA LIBERTÉ QUE JE PREnds de vous écrire ces lignes.","(273228, 273267)","(20887, 20927)"
Lagrave_Sophie_3,"re, l'œil égaré. Il m'aperçut ET VINT SE JETER DANS MES BRAS. « Ah ! mon cher Edmond ! » j","it arrêter, se précipita hors DE CETTE VOITURE, ET VINT SE Jeter dans mes bras en versant ","(290569, 290599)","(20887, 20927)"
Lagrave_Zabeth_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE si j'ai fait manquer le maria","t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE la vieille femme chez laquell","(18833, 18873)","(285896, 285936)"
Lagrave_Zabeth_1,"nnue particulièrement, elle a PRIS POUR ELLE LA PLUS TENDRE AMITIÉ, une estime sincère, et tous ","s, madame Dubreuil, qui avait PRIS POUR ELLE LA PLUS TENDRE AMITIÉ, lui demanda où elle comptait","(73325, 73361)","(285896, 285936)"
Lagrave_Zabeth_2,que penser de cette démarche. JE LUI AI DIT QUE JE NE croyais pas que les deux fugi,rtera le nez et les oreilles. JE LUI AI DIT QUE JE NE voulais le revoir que muni de,"(529595, 529618)","(285896, 285936)"
LaPlace_Collection_0,"e premier père, qui succomba, ET JE SUIS BIEN AISE DE NE plus l'avoir : car il est not"," „conseils; il me l'a promis, ET JE SUIS BIEN-AISE „DE NE pas troubler votre entretien.","(43577, 43603)","(313997, 314024)"
Lesuire_Aventurier_0,"ine est diablement éveillée ! CEPENDANT, JE NE CROIS PAS QUE VOUS AYEZ encore eu plus d'un amant ou ",rouver que je lui ressemble; “CEPENDANT JE NE CROIS PAS QUE VOUS M'AYEZ “jamais vue.“ Je rougis encor,"(154693, 154733)","(488874, 488915)"
Lesuire_Aventurier_1,"e, je m'en vais vous répondre DE POINT EN POINT À TOUT CE QUE vous me demandez, et vous écr", les autresu. Je lui racontai DE POINT EN POINT TOUT CE QUE j'avais souffert depuis que l,"(355109, 355140)","(488874, 488915)"
Lesuire_Crime_0," dirai que même avant d'avoir EU LE BONHEUR DE VOUS VOIR À LA ville, je n'avais aucun goût ","a déjà long-temps que je n'ai EU LE BONHEUR DE VOUS VOIR, Ô LA plus tendre des mères. Que ne","(11251, 11282)","(180022, 180054)"
Lesuire_Crime_1," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu","ent instruits, repartis-je, de “TOUT CE QUE JE PUIS VOUS DIre; vous me “détaillez exactem","(18833, 18862)","(180022, 180054)"
Lesuire_Crime_2," sans égards, sans politesse. C'EST LE RENDEZ-VOUS DE TOUS Les enrhumés, de tous les crach","unit avec “Vénus. De Paris, quI EST LE RENDEZ“VOUS DE TOUS Les personnages les plus “célèb","(775393, 775423)","(180022, 180054)"
Loaisel_Ainsi_0,", qui est Dieu ; et cette voix, QUI SE FAIT ENTENDRE AU FOND de notre cœur, et qu'on nomme ","d'écouter l'aimable espérance QUI SE FAIT ENTENDRE AU FOND DE mon cœur, et de regarder comm","(845551, 845582)","(12777, 12808)"
Loaisel_Comtesse_0,"
Réponse de Fanchon. 
[Ma femmE LUI RACONTE TOUT CE QUI S'EST PASsé, à son sujet à la maison pa","s la tombe“. Il l'embrasse et LUI RACONTE TOUT CE QUI S'EST PASSÉ. 
Que vois-je, ô dieux! madem","(890919, 890954)","(33024, 33059)"
Louvet_Annee_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, C'EST que si j'ai fait manquer le m","e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, C'EST qu'hier au soir, vous sortiez","(18833, 18869)","(144267, 144303)"
Louvet_Annee_1,"u Marquis, à Ursule. 
L'amant LE PLUS TENDRE ET LE PLUS RESPECTUEUX, malgré les apparences contra","sais par l'assurer de l'amour LE PLUS TENDRE ET LE PLUS RESPECTUEUX; je lui jurais que, dès qu'el","(306213, 306250)","(144267, 144303)"
Louvet_Annee_2,mmener votre amie dès ce soir : JE NE VOUS DEMANDE PAS QUI VOUS ÊTes ; la conversation que je vi,"malheureuse amie: "" monsieur, JE NE VOUS DEMANDE PAS QUI VOUS ÊTES; mais vous permettrez au moin","(916737, 916773)","(144267, 144303)"
