,Text in Arnaud_Matinees,Text in B,Location in Arnaud_Matinees,Location in B
Anonyme_Etourdi_0,"ue ces mots, à voix basse, à sON AMI:-NON, ASSURÉMENT VOUS ne m'en avez point imposé, et ","es, je goûterais des plaisirs BIEN AU DESSUS DE TOUT CE QUE j'avais jusques ici éprouvé. ","(342625, 342654)","(156064, 156093)"
Anonym_Suzon_0,"useriez-vous demé connaître, eT DE ME RENDRE, J'OSE LE DIRE, LA JUSTICE Que je mérite ?.. Eh! que ne li", de me laisser. J'accompagnai CES DERNIÈRES PAROLES D'UN TORRENT DE LARMES. Mon Amant ne put voir mes pl,"(431764, 431807)","(16956, 17000)"
Arnaud_Epoux_0,"... cruel pas, rent, qui plutôTÊTES MON BOURREAU, JE NE VOUS OBÉIRAI POINT! JE Ne vous obéirai point!..... Eh!"," Avez-vous bien pensé... non, JE NE VOUS OBÉIRAI POINT, JE NE VOUS OBÉIRAI POINT; j'irai ce soir à vos genoux,","(34304, 34354)","(20162, 20212)"
Arnaud_Epoux_1,"l l'ouvre avec empressement, eT LIT: » MON ONCLE, IL EST INUTILE De » vous abuser : je vous en i",our: Agathe est tout pour moi.IL EST INUTILE DE VOUS ABUSER: JE ne saurais vivre qu'avec de t,"(48255, 48291)","(20162, 20212)"
Arnaud_Epoux_2,"apper un torrentde larmes. 
) --EH! MADEMOISELLE, JE VOUS l'ai déjà dit, je ne puis fair","t de peines...mais, monsieur, JE VOUS L'AI DÉJÀ DIT, JE NE me suis point présentée ici d","(57450, 57478)","(20162, 20212)"
Arnaud_Epoux_3,".... pour jamais ! Eh ! après CE COUP AFFREUX.... IL NE M'EST PLUS POSSIBLE DE Supporter l'existence!... non, "," àmes propres yeux! Monsieur, IL NE M'EST PLUS POSSIBLE DE SUPPORTER L'EXISTENCE.-mon ami, la pitié me sollici","(58936, 58986)","(20162, 20212)"
Arnaud_Epoux_4,"ous m'avez inspiré un sentimenT QUE JE NE PUIS AVOUER, IN'AVOUer à moi-même, qu'assurée de p",on enfant: mais qu'elle cesse DE PORTER LE NOM DE VOTRE ÉPOUSE...-monsieur...monsieur... vou,"(238125, 238157)","(20162, 20212)"
Arnaud_Sentiment_0,"vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , ELLE LES pressait contre son sein, leu","es agréments de Julie; adorée DE SON PÈRE ET DE SA MÈRE, ELLE LES aimait de même.On serait tent","(3890, 3926)","(250164, 250199)"
Arnaud_Sentiment_1," ( et à ces mots il perd l'usaGE DES SENS, IL EST TOMBÉ SANS CONNAISSANCE dans les bras de son ami qui, ","s prononcé ces paroles, qu'il TOMBE SANS CONNAISSANCE DANS LES BRAS DE SON parent. Il revient à la vie, ","(41936, 41980)","(250164, 250199)"
Arnaud_Sentiment_2,homme riche! y a-t-il qualité PAREILLED CELLELÀ ? SONGEZ QUE C'EST POUR LA DERNIère fois que je vous commande.," se relever, et elle reprend: SONGEZ QUE C'EST POUR LA DERNIÈRE FOIS QUE JE VOUS entretiens de mes faiblesses.","(61703, 61753)","(250164, 250199)"
