,Text in Riccoboni_MissJenny,Text in B,Location in Riccoboni_MissJenny,Location in B
Arnaud_Matinees_0,"itié de milord, laissa couler DES LARMES; ET SE JETANT DANS LES BRAS de cet ami généreux: "" ô mon ","bontés, rendez-moi ce repos quE J'AI PERDU.. RENDEZ-MOI MA VERTU , Mon père, (en redoublant ses la","(51585, 51623)","(277026, 277064)"
Arnaud_Sentiment_0,ait la terminer et le ramener AUX PIEDS DE LA MAÎTRESSE DE SON cœur. Son impatience augmenta,"ais à Mélanie; son âme a volé AUX PIEDS DE LA MAÎTRESSE DE SON sort; il lui parle du cœur, i","(69179, 69211)","(149781, 149813)"
Arnaud_Sentiment_1,"l est mort sans me pardonner! AVEC DES SENTIMENT DE HAINE CONTRE SON MALHEUREUX FILS!-non, mon frère, reprit Sir C", sa colère.-Mon père est mort AVEC DES SENTIMENTS DE HAINE CONTRE SON MALHEUREUX FILS!-Il vous a deshérité.-Que me ,"(374853, 374907)","(149781, 149813)"
Arnaud_Sentiment_2,"s elle le toucha vivement. Il SE JETA DANS LES BRAS DE SON frère, il y pleura long-temps","à cette espèce de tombeau, va SE JETER DANS LES BRAS DE SON infortuné parent, tente tous ","(375999, 376027)","(149781, 149813)"
Beaumont_Clarice_0,ût été difficile d'apercevoir CE QUI SE PASSAIT AUTOUR DE MOI. NOUS sortîmes de chez le ministre.,"si abattue, si effrayée, si huMILIÉE DE ME TROUVER EN DE TELLES CIRconstances, que je n'étais pas","(184206, 184243)","(313250, 313287)"
Benoist_Elisabeth_0," guide, sans conseil, pressée PAR L'HOMME LE PLUS AIMABLE, LE PLUS AIMÉ! Comment aurois-je pu lui rés"," l'amour le plus endre, faits PAR L'HOMME LE PLUS AIMABLE LE PLUS AIMÉ, pouvaient consoler des inqui","(345024, 345065)","(63483, 63523)"
bible_0,"euse, non-seulement lui donna POUR TOUT LE TEMPS DE SA VIE un petit bien de campagne, do","r le
roi, pour chaque jour et POUR TOUT LE TEMPS DE SA VIE.

Chapitres   1.   2.   3.   ","(224088, 224116)","(1642294, 1642322)"
Crebillon_Atheniennes_0,. Je voudrais être mort hier: JE NE PUIS VOUS EN DIRE DAVANTAGE. On m'avertit que nous allons,"la liberté que je désir; mais JE NE PUIS VOUS EN DIRE DAVANTAGE sur cela, que je ne sache si ","(70850, 70883)","(216963, 216996)"
Crebillon_Atheniennes_1," de sa faute, en me suppliant DE NE PAS LUI REFUSER LA GRÂCE QU'IL ATTENDAIT de moi. En l'écoutant, je con","ruire; et je vous conjurerois DE NE PAS LUI REFUSER LA GRÂCE QU'IL IMPLORE de vous, si j'étais moins con","(410616, 410662)","(216963, 216996)"
Crebillon_Conte_0,"s devoir lui représenter, que DANS LES CIRCONSTANCES OÙ IL SE TROUVAIT, son mariage avec moi était u","été à tout autre oie que lui, DANS LES CIRCONSTANCES OÙ IL SE TROUVAIT. Il espérait même, en cas que","(177950, 177990)","(592208, 592248)"
Diderot_Religieuse_0,e ce manuscrit d'où j'ai tiré CE QUE JE VIENS DE VOUS APPRENDRE; et Lidy m'a souvent répété d,omme à vous ; je lui dis tout CE QUE JE VIENS DE VOUS ÉCRIRE ; et ce qui regardait ma nais,"(67964, 67997)","(74282, 74312)"
Diderot_Religieuse_1,"t une de mes mains, la baisa, JE N'EUS PAS LA FORCE DE LA retirer. J'ignore le temps qu","s mots de cette question, car JE N'EUS PAS LA FORCE DE LA répéter tout entière ; je dis","(337031, 337058)","(74282, 74312)"
Doppet_Memoires_0,"ps, et me l'enleva quatre ans APRÈS LA MORT DE MON PÈRE. LA sincère amitié de Ladi Lattim","otre tombeau de ses larmes“. 
APRÈS LA MORT DE MON PÈRE, LA maison changea bientôt de fac","(320308, 320337)","(36089, 36118)"
Dorat_Malheurs_0,"us de me dire, de me répéter, QUE VOUS M'AIMEZ, QUE VOUS M'AIMEREZ TOUJOURS "" ! Après avoir baigné de ses","'a fait frémir... écrivez-moi QUE VOUS M'AIMEZ, QUE VOUS M'AIMEREZ TOUJOURS; écrivez-le moi sans cesse. C","(40499, 40544)","(271929, 271974)"
Genlis_Adele_0," peignit sur tous ses traits. IL PRIT UNE DE MES MAINS, ET LA pressant doucement: "" que voi","ur éclairât moins son visage) IL PRIT UNE DE MES MAINS, ET LA serra fortement dans les sien","(157545, 157576)","(1277090, 1277121)"
Genlis_Chevaliers_0,"rçant; et joignant ses mains, LAISSANT TOMBER SA TÊTE SUR SON SEIN: "" puissances du ciel! S'écri",".. En achevant ces mots, elle LAISSA TOMBER SA TÊTE SUR SON SEIN, et elle cessa de parler. Je ","(112281, 112317)","(164401, 164435)"
Genlis_Chevaliers_1," froid mortel glaça mon cœur, ET JE TOMBAI SANS CONNAISSANCE AUX PIEDS de miladi. Au cri perçant que","s mes forces m'abandonnèrent, ET JE TOMBAI SANS CONNAISSANCE AUX PIEDS d'Ordalie. Maintenant, poursu","(234775, 234815)","(164401, 164435)"
Gerard_Comte_0,"louait cent livres sterlings. DÈS LES PREMIERS JOURS DE SA MALADIE, cette femme s'était hâtée d'","le lui cacher. Elle désirait, DÈS LES PREMIERS JOURS DE SA MALADIE, de recevoir les derniers sac","(224443, 224479)","(755587, 755623)"
Gerard_Comte_1,"es méditations, je retrouvois AU FOND DE MON CŒUR TOUS LES mouvement que je venais d'y c","ns cet état, la pitié succéda AU FOND DE MON CŒUR À TOUS LES sentiment de fureur et de hai","(472482, 472510)","(755587, 755623)"
Kimber_Thompson_0,"ira d'abord; et m'ayant écrit DANS LE PREMIER MOUVEMENT DE SA COLÈRE, de son indignation, il le fi","tait le vaillant Ecuyer Rich. DANS LE PREMIER MOUVEMENT DE SA COLÈRE, il fut sur le point de lui p","(342262, 342300)","(764310, 764348)"
Laclos_Liaisons_0,"us de me dire, de me répéter, QUE VOUS M'AIMEZ, QUE VOUS M'AIMEREZ TOUJOURS "" ! Après avoir baigné de ses","e pardonnez ; dites-moi aussi QUE VOUS M'AIMEZ, QUE VOUS M'AIMEREZ TOUJOURS. J'ai besoin que vous me le r","(40499, 40544)","(286948, 286993)"
Laclos_Liaisons_1,"et tombant à genoux, les yeux ET LES MAINS ÉLEVÉS VERS LE CIEL: "" DIEU juste! Dieu puissant! M'écria","rce convulsive, la vue égarée ET LES MAINS ÉLEVÉES VERS LE CIEL...""DIEU... ô mon Dieu, sauvez-moi ! ""","(238495, 238535)","(286948, 286993)"
Lagrave_Sophie_0,ût été difficile d'apercevoir CE QUI SE PASSAIT AUTOUR DE MOI. Nous sortîmes de chez le min,"aisers, fut toute sa réponse ... JE NE VIS PLUS CE QUI SE PASsait autour de moi; un voile é","(184206, 184237)","(159696, 159727)"
Lagrave_Zabeth_0,"rd, laissa couler des larmes; ET SE JETANT DANS LES BRAS DE cet ami généreux: "" ô mon pèr","oindre peine. Zabeth soupira, ET SE JETA DANS LES BRAS DE son père, qui éprouva, dans c","(51597, 51626)","(211702, 211729)"
Lagrave_Zabeth_1,. Je voudrais être mort hier: JE NE PUIS VOUS EN DIRE DAVANTAGE. On m'avertit que nous allons, allaient vous accabler! mais JE NE PUIS VOUS EN DIRE DAVANTAGE. Quand vous serez remise de t,"(70850, 70883)","(211702, 211729)"
LaPlace_Collection_0,e ce manuscrit d'où j'ai tiré CE QUE JE VIENS DE VOUS APPRENDRE; et Lidy m'a souvent répété d," vous avait informée de „tout CE QUE JE VIENS DE VOUS APPRENDRE. Jugez, „mademoiselle, combie","(67964, 67997)","(337648, 337681)"
Leonard_Lettres_0,ût été difficile d'apercevoir CE QUI SE PASSAIT AUTOUR DE MOI. Nous sortîmes de chez le min,"chinalement, sans trop savoir CE QUI SE PASSAIT AUTOUR DE MOI; je le croyais même encore pr","(184206, 184237)","(10772, 10803)"
Lesuire_Aventurier_0,. Je voudrais être mort hier: JE NE PUIS VOUS EN DIRE DAVANTAGE. On m'avertit que nous allons,"e lui recommande en mourant.“ JE NE PUIS VOUS EN DIRE DAVANTAGE, ma Princesse. Permettez-moi ","(70850, 70883)","(258460, 258493)"
Lesuire_Crime_0,"eu! Ah mon dieu! Répétoit-il, JE SUIS LE PLUS MALHEUREUX DES HOMMES! "" ses exclamations me surpri","s en “félicite; mais, pour moi, JE SUIS LE “PLUS MALHEUREUX DES HOMMes, j'ai “perdu tout ce que j'","(397211, 397248)","(914142, 914180)"
