,Text in Jacquin_Parisiennes,Text in B,Location in Jacquin_Parisiennes,Location in B
Arnaud_Epoux_0,ituation présente de mon âme: JE SUIS AU COMBLE DE MES VŒUX: assuré de posséder le cœur d,"r; ils pleuraient tous trois. JE SUIS AU COMBLE DE MES VŒUX, s'écrie mon épouse! Tous nos","(90133, 90162)","(391556, 391585)"
Arnaud_Sentiment_0,"r me sera toujours délicieux, JE SUIS LE PLUS HEUREUX DES HOMMES: aimé d'une personne charmant",x! Je te vois! Je te possède! JE SUIS LE PLUS HEUREUX DES HOMMES! Bientôt perdant cette erreur,"(60499, 60533)","(434501, 434535)"
Beaumont_Clarice_0,"let, je ne balançai plus à me REGARDER COMME LE PLUS MALHEUREUX DE TOUS LES HOMMES: abandonné à la plus vive dou","oux? Et pourrais-je, dans ces DEUX CAS, NE ME PAS REGARDER COMME LE PLUS MALHEUREUx de tous les hommes? Je sais ","(110792, 110844)","(93160, 93212)"
Charriere_Lausanne_0,L'Amour que vous m'inspirâtes DÈS LE PREMIER MOMENT QUE JE VOUS trouvai aux Tuileries est la ," pas devinée; je vous ai aimé DÈS LE PREMIER MOMENT QUE JE VOUS ai vu; avant vous, j'avais co","(322257, 322290)","(159861, 159894)"
Constant_Laure1_0,mpardonnable: la belle humeur EST LA PIERRE DE TOUCHE DE LA société: quiconque ne répond ,"s tendres: l'amour, même, qui EST LA PIERRE DE TOUCHE DE LA métaphysique, semble aussi av","(250039, 250068)","(4589, 4618)"
Crebillon_Atheniennes_0,"Cependant je sentois souvent, DANS LE TEMPS MÊME OÙ JE PAROISSOIS le plus content de ma fatuité","t faire sur mes sens; et que, DANS LE TEMPS MÊME OÙ JE PUIS le moins commander à mon imag","(28805, 28840)","(738037, 738066)"
Crebillon_Atheniennes_1,ne faisaient que me fortifier DANS LA RÉSOLUTION QUE J'AVAIS PRISE DE m'éloigner au plutôt. J'alloi,"on, plus j'en ai été affermie DANS LA RÉSOLUTION QUE J'AVAIS PRISE DE le quitter. Sur cela, il a ju","(37570, 37609)","(738037, 738066)"
Crebillon_Nuit_0," voilà. Quelque indif„férence QUE VOUS AYEZ TOUJOURS „EUE POUR MOI, Monsieur, le coup „qui nous ","resse, et quoiqu'il se puisse QUE VOUS AYEZ TOUJOURS EU POUR MOI une sorte de goût, et que mêm","(97286, 97322)","(77392, 77426)"
Diderot_Religieuse_0,"ur ses lèvres. Que de charmes DANS LE SON DE SA VOIX! 
QUE d'esprit, que de délicatesse ","tant d'autorité et de fermeté DANS LE SON DE SA VOIX, QUE je crus devoir me dérober à s","(12979, 13007)","(48443, 48470)"
Dorat_Sacrifices_0,"eur, la situation présente de MON ÂME: JE SUIS AU COMBLE DE MES VŒUX: assuré de posséder le cœur d","ous le seriez toujours. 
Pour MOI, JE SUIS AU COMBLE DE MES VŒUX; votre lettre m'a enivré de j","(90124, 90162)","(60293, 60327)"
Dulaurens_Imirce_0,"ttons un voile, Monsieur, sur LE MOMENT LE PLUS DÉLICIEUX DE MA VIE. C'est profaner les mystéres ","le naufrage de mon innocence, LE MOMENT LE PLUS DÉLICIEUX DE MA VIE. 
« Le feu de la vertu sembla","(84690, 84727)","(193437, 193474)"
Fievee_Dot_0,"ucun avantage: la seule grâce QUE JE VOUS DEMANDE, C'EST DE NE me jamais parler d'amour: acc",bouche le prononçait. Tout ce QUE JE VOUS DEMANDE EST DE NE pas voir Suzette avant que je,"(337669, 337701)","(38009, 38038)"
Genlis_Adele_0,me dévorait: son cœur était à PEU PRÈS DANS LA MÊME SITUATION: ELLE M'AVAIT présenté la main pour me rele," elle, et je l'ai retrouvée à-PEU-PRÈS DANS LA MÊME SITUATION. ELLE AVAIT assez de monde; j'ai vu plusi","(45873, 45918)","(5234, 5277)"
Genlis_Adele_1,nçai plus à me regarder comme LE PLUS MALHEUREUX DE TOUS LES HOMMES: abandonné à la plus vive dou,"eu calmé: je suis, me dit-il, LE PLUS MALHEUREUX DE TOUS LES HOMMES, j'ai manqué à mes résolution","(110807, 110844)","(5234, 5277)"
Genlis_Chevaliers_0,"tification. 
Je lui rapportai EN PEU DE MOTS TOUT CE QUI S'ÉTAIT PASSÉ depuis son départ de Paris: j","d'un tel crime. Il lui conta, EN PEU DE MOTS, TOUT CE QUI S'ÉTAIT PASSÉ; Olivier l'écouta froidement;","(309266, 309306)","(45886, 45927)"
Genlis_Chevaliers_1,on agitation: je m'en occupai LE RESTE DU JOUR: LE LENDEMAIN JE me rendis chez Madame de Roug,"dit heureux et satisfait pour LE RESTE DU JOUR. LE LENDEMAIN, JE desirai passionnément qu'Abas","(332822, 332855)","(45886, 45927)"
Kimber_Thompson_0,dans une inquiétude mortelle: JE FIS TOUT CE QUE JE PUS POUR rappeler ses sens égarés: je ,"s l'intervalle de la réponse, JE FIS TOUT CE QUE JE PUS POUR empêcher mon père de faire au","(47123, 47153)","(496530, 496560)"
