,Text in Fievee_Dot,Text in B,Location in Fievee_Dot,Location in B
Arnaud_Matinees_0,"chargerai de son trousseau, c'EST TOUT CE QUE JE PUIS FAIRE.-On ne m'avait pas dit ça; ma","miss, est à quelques pas d'ici AVEC UNE VOITURE TOUTE PRÊTE...-Portez-lui cette lettre...","(46932, 46961)","(293907, 293936)"
Arnaud_Sentiment_0,"i prescrire de me recommander SOUS UN AUTRE NOM QUE LE MIEN, et seulement comme une infor","ai de quitter Paris; j'errai, SOUS UN AUTRE NOM QUE LE MIEN, de province en province; je ","(65002, 65031)","(720517, 720546)"
Beaumont_Clarice_0," là, Alphonse? "" Lui dit-elle ASSEZ HAUT POUR QUE JE PUSSE L'ENTENDRE, sans même prêter l'oreille. ","se, et me saluant avec une grâCE BIEN SINGULIÈRE DANS UN HOMME DE SA sorte, il des-cendit, et dit a","(111796, 111835)","(183940, 183979)"
Benouville_Pensees_0,bouche le prononçait. Tout ce QUE JE VOUS DEMANDE EST DE NE pas voir Suzette avant que je,"n exige point; „le seul plaisiR QUE JE VOUS DEMANDE, C'EST DE ne point quitter mes fils; pen","(38009, 38038)","(167186, 167218)"
Berquin_Enfants_0,"demoiselleDespeaux; pour moi, JE N'AI PAS ENCORE EU LE TEMPS d'y songer. Vous ne refuserez",notre santé que de la sienne. JE N'AI PAS ENCORE EU LE TEMPS de m'apercevoir qu'il me manq,"(88193, 88223)","(126244, 126274)"
Cazotte_Ollivier_0,"e si frappante avec son père, LA PREMIÈRE FOIS QUE JE LE VIS après la mort de celle qu'il ","vi pour lui porter la parole. LA PREMIÈRE FOIS QUE JE LE VIS sortantde son palais, suivi d","(32805, 32835)","(107179, 107209)"
Constant_Laure2_0,"ra de moi pour être heureuse; ET, SI JE NE LE SUIS PAS, ma consolation sera que vous","ement, sont toujours content, ET SI JE NE LE SUIS PAS autant qu'eux, si au lieu de ","(50571, 50595)","(22930, 22953)"
Crebillon_Atheniennes_0,"a les plus tendres caresses."" JE NE SAIS, ME DIT-ELLE, CE QUE VOUS AUREZ PENSÉ DE moi; mais j'avais des engagem","tremblante, et entrecoupée, "" JE NE SAIS, ME DIT-ELLE, CE QUE VOUS ALLEZ PENSER DE moi "" . Il m'aurait, assûreme","(76564, 76615)","(523556, 523608)"
Diderot_Religieuse_0,"me, était son unique réponse. JE FERAI TOUT CE QUI DÉPENDRA DE MOI pour être heureuse; et, si je","e ? 
--- Que... 
---Achevez ; JE FERAI TOUT CE QUI DÉPENDRA DE MOI. » Elle hésita, se couvrit le","(50514, 50550)","(250802, 250838)"
Dorat_Malheurs_0,"si des chagrins?-Oui, madame.-EST-CE QUE VOUS N'ÊTES PAS BIEN dans cette maison?-Si, madame", donc que vous lui avez fait? EST-CE QUE VOUS N'ÊTES PAS BIEN avec lui? Non qu'il m'ait ten,"(42810, 42841)","(106705, 106736)"
Dorat_Sacrifices_0,t où ma bouche le prononçait. TOUT CE QUE JE VOUS DEMANDE EST DE ne pas voir Suzette avant que,"é-je l'acheter de la mienne. 
TOUT CE QUE JE VOUS DEMANDE, C'EST DE solliciter mon retour chez mo","(38001, 38035)","(364273, 364310)"
Florian_Galatee_0,"ités, tremblante qu'on ne lût SUR MON VISAGE CE QUI SE PASSAIT DANS le fond de mon âme. J'étais v"," déjà. 
Il était aisé de lire SUR MON VISAGE CE QUI SE PASSAIT DANS mon âme; mais tout le monde é","(67658, 67695)","(35356, 35393)"
Genlis_Adele_0,"e si frappante avec son père, LA PREMIÈRE FOIS QUE JE LE VIS après la mort de celle qu'il ","une antipathie invincible dès LA PREMIÈRE FOIS QUE JE LE VIS, et, pour mon malheur, je pro","(32805, 32835)","(812814, 812844)"
Genlis_Adele_1,"urs chéri. Adieu, mon fils."" 
LE LENDEMAIN À MON RÉVEIL, JE REÇUS LE billet suivant: Adolphe à Mad","ul souper chez l'ambassadeur. LE LENDEMAIN, À MON RÉVEIL, JE REÇUS CE billet: ""l'honneur me force à","(40841, 40879)","(812814, 812844)"
Genlis_Chevaliers_0,"il ne serait plus, me traçait LA CONDUITE QUE JE DEVAIS TENIR POUR achever l'éducation de notre ",ons de me préparer d'avance à LA CONDUITE QUE JE DEVAIS TENIR POUR démasquer entièrementArmoflèd,"(18365, 18401)","(444198, 444234)"
Gerard_Comte_0,"nts, la modestie, sont utiles DANS TOUTES LES SITUATIONS DE LA VIE. Notre devoir est de les ense","que sa vertu lui reste. ""Mais DANS TOUTES LES SITUATIONS DE LA VIE, la vertu a des privations pé","(5106, 5142)","(368432, 368468)"
Gerard_Comte_1,"a me serait possible, pendant LE PEU DE JOURS QUE NOUS DEVIONS PASSER ensemble, évitant, avec une p","us. Depuis ce moment, et dans LE PEU DE JOURS QUE NOUS AVONS PASSÉS ensemble, les sentiment d'est","(140410, 140449)","(368432, 368468)"
Jacquin_Parisiennes_0,bouche le prononçait. Tout ce QUE JE VOUS DEMANDE EST DE NE pas voir Suzette avant que je,"ucun avantage: la seule grâce QUE JE VOUS DEMANDE, C'EST DE NE me jamais parler d'amour: acc","(38009, 38038)","(337669, 337701)"
Kimber_Thompson_0,t où ma bouche le prononçait. TOUT CE QUE JE VOUS DEMANDE EST DE ne pas voir Suzette avant que,"lère contre vous, mon enfant: TOUT CE QUE JE VOUS DEMANDE, C'EST DE me confier votre embarras, af","(38001, 38035)","(173286, 173323)"
Kimber_Thompson_1,aménité me rassura; cependant JE N'OSAIS LEVER LES YEUX SUR ELLE. Tout ce que je pus remarquer, trouvé dans un tel embarras; JE N'OSAIS LEVER LES YEUX SUR ELLE; un transport de joie mêlé de,"(69306, 69340)","(173286, 173323)"
Laclos_Liaisons_0," pas du tout. Heureusement on VINT AVERTIR QUE LE DÎNER ÉTAIT SERVI. 
""J'ai des torts envers vous","de Rosemonde, au moment où on VINT AVERTIR QUE LE DÎNER ÉTAIT SERVI. Sa toilette se finissait seu","(90923, 90960)","(168989, 169026)"
Laclos_Liaisons_1,"s reproches! Moi! Ah! Madame, VOUS NE LE CROYEZ PAS. VOUS N'AVEZ fait que ce que vous deviez f","je le souffrirais ? mon amie, VOUS NE LE CROYEZ PAS ; VOUS N'AVEZ pas de moi cette humiliante i","(132619, 132653)","(168989, 169026)"
Lagrave_Sophie_0,". ah, madame! Si vous pouviez LIRE DANS LE FOND DE MON CŒUR, vous sauriez qu'un amour inv",sser l'espoir d'un jour heureuX.. .MAIS LE CIEL LIT DANS Le fond de mon cœur; il est tém,"(36567, 36596)","(193817, 193845)"
Lagrave_Zabeth_0," ami.-Eh bien! C'est arrangé, DIT-IL EN SE FROTTANT LES MAINS. Aussi bien divers employés d","ue je me porte bien? Morbleu, DIT-IL, EN SE FROTTANT LES MAINS, je ne serai pas fâché de cou","(138774, 138805)","(339457, 339489)"
Leonard_Lettres_0," une sorte d'inquiétude; puis ELLE ME DIT: ""QUE PENSEZ-VOUS DE MOI, madame? Mais je vous ai prom","es ont coulé. Ah! Madame! a-t-ELLE DIT, QUE PENSEZ-VOUS DE MOI? que j'ai honte de ma douleur","(98963, 98999)","(154277, 154309)"
Lesuire_Crime_0,"chargerai de son trousseau, c'EST TOUT CE QUE JE PUIS FAIRE.-On ne m'avait pas dit ça; ma","r, qu'il en jouira noblement. C'EST “TOUT CE QUE JE PUIS FAIre, pour le “présent; mais, pa","(46932, 46961)","(656934, 656964)"
Marmontel_Contes_0,"ités, tremblante qu'on ne lût SUR MON VISAGE CE QUI SE PASSAIT DANS le fond de mon âme. J'étais v",s-je libre de laisser éclater SUR MON VISAGE CE QUI SE PASSAIT DANS mon cœur! Vous auriez vu bien,"(67658, 67695)","(203313, 203350)"
Marmontel_Incas_0,"dulgence, madame, me répondit-IL EN VERSANT DES LARMES DE DÉPIT, ET vous me traitez comme un mons",es prix n'a honoré ses mains; IL EN VERSE DES LARMES DE DÉPIT ET de honte. L'un des vieillards,"(36332, 36369)","(46270, 46304)"
Nerciat_Felicia_0,habitude de regarder en frère UN DES PLUS BEAUX CAVALIERS DE PARIS. Souvent aussi il me sollicit,"n mot, la femme de Sylvino, l'UN DES PLUS BEAUX CAVALIERS DE PARIS, était impardonnable de lui f","(9352, 9388)","(26963, 26999)"
Prevost_Manon_0,"gence, madame, me répondit-il EN VERSANT DES LARMES DE DÉPIT, ET vous me traitez comme un mons"," perfidies. Oui, continuai-je EN VERSANT DES LARMES DE DÉPIT, JE vois bien que je ne suis qu'u","(36335, 36369)","(46394, 46428)"
Prevost_Monde_0,parler bien long-temps encore SANS QUE JE FUSSE TENTÉE DE L'INTERROMPRE; trop de réflexions m'agitaie,"uer beaucoup plus long-temps, SANS QUE JE FUSSE TENTÉ DE L'INTERROMPRE. Dès les premiers mots, son e","(30682, 30723)","(103833, 103873)"
Puget_Periphas_0,ien la force que l'on cherche DANS LE SEIN DE LA DIVINITÉ EST au-dessus des consolations hu,de âme? Mais portons les yeux DANS LE SEIN DE LA DIVINITÉ. C'EST-là que ses vertus lui forment,"(3909, 3940)","(71847, 71881)"
Retif_Paysanne_0,"nais de dire une sottise, car JE NE SAVAIS PAS CE QUE C'ÉTAIT que le concert du théâtre de ","e pus me défendre. Mais comme JE NE SAVAIS PAS CE QUE C'ÉTAIT, je ne fus pas si en colère q","(86302, 86333)","(79641, 79672)"
Rosny_Firmin_0," Sa taille s'était développée DE LA MANIÈRE LA PLUS AVANTAGEUSE, ET prêtait une grâce particulièr","émoigna toute sa satisfaction DE LA MANIÈRE LA PLUS AVANTAGEUSE, ET pendant le reste du jour il n","(24712, 24749)","(13144, 13181)"
Rousseau_Emile_0,t où ma bouche le prononçait. TOUT CE QUE JE VOUS DEMANDE EST de ne pas voir Suzette avant ," Vous lui dites sans cesse: "" TOUT CE QUE JE VOUS DEMANDE EST pour votre avantage; mais vou","(38001, 38032)","(440938, 440969)"
Rousseau_Julie_0,"chargerai de son trousseau, c'EST TOUT CE QUE JE PUIS FAIRE.-On ne m'avait pas dit ça; ma",n de ton crédit renaissant: c’EST TOUT CE QUE JE PUIS FAIRE pour que la fête ne se fasse ,"(46932, 46961)","(1311519, 1311548)"
Segur_Correspondance_0,"chargerai de son trousseau, c'EST TOUT CE QUE JE PUIS FAIRE.-On ne m'avait pas dit ça; ma","brasse de tout mon cœur; et c'EST TOUT CE QUE JE PUIS FAIRE, affligée comme je le suis. 
","(46932, 46961)","(56493, 56522)"
Senac_Emigre_0,"chargerai de son trousseau, c'EST TOUT CE QUE JE PUIS FAIRE.-On ne m'avait pas dit ça; ma"," état, et le médecin désespère. C'EST TOUT CE QUE JE PUIS Faire que de rester un quart d'","(46932, 46961)","(750528, 750557)"
Souza_Adele_0,"raignais de dire une sottise, CAR JE NE SAVAIS PAS CE QUE c'était que le concert du thé","s n'entendirent sûrement pas, CAR JE NE SAVAIS PAS CE QUE je disais. 
Monsieur de Sénan","(86298, 86325)","(43767, 43794)"
Voltaire_Princesse_0,t où ma bouche le prononçait. TOUT CE QUE JE VOUS DEMANDE EST de ne pas voir Suzette avant ,"ans qu'il soit de la partie : TOUT CE QUE JE VOUS DEMANDE, C'EST que votre grand aumônier boiv","(38001, 38032)","(50844, 50878)"
