,Text in Lagrave_Sophie,Text in B,Location in Lagrave_Sophie,Location in B
Anonyme_Zoloe_0,ouve qu'elle redoute que je ne LISE CE QUI SE PASSE DANS SOn cœur. A qui l'ouvrira-t-elle, tuée. Ô qui pourrait décrire CE QUI SE PASSE DANS SON CŒUR ? L'enfer s'en est emparé et ,"(75611, 75640)","(97580, 97609)"
Anonym_Suzon_0,nds d'avance que ma sœur n'aurA JAMAIS D'AUTRE VOLONTÉ QUE LA VÔTRE. JE Lui en parlerai comme vous le d,"r toujours fidèle, et n'avoir JAMAIS D'AUTRE VOLONTÉ QUE LA VÔTRE. JE LUI ai tenu parole, et je coule d","(24817, 24860)","(146426, 146469)"
Arnaud_Epoux_0,"ma sœur pour la quitter dans cE MOMENT-CI. 
JE NE SAIS si je vous ai parlé d'un chev",me regardait avec étonnement. JE NE SAIS SI JE VOUS AI dit que nous demeurions à Avi,"(124495, 124519)","(267624, 267648)"
Arnaud_Matinees_0,"e vous estime: je vous crois iNCAPABLE D'ABUSER DE L'EMPIRE QUE VOUS AVEz sur mon âme. 
Je vous ai vu ","on unique » partage; et, de ce MOMENT, JE ME » DÉVOUE À UN REPROCHE ÉTERNEL ; » jugez de l'empire que vou","(152662, 152704)","(230760, 230805)"
Arnaud_Matinees_1,"sa raison, déjà solide pour soN ÂGE, ET LE GOÛT QUE J'AI EU le bonheur de lui inspirer, a","a faveur, c'est un désirs consTANT DE LUI FAIRE DU BIEN ET d'ajouter même au service de p","(291067, 291096)","(230760, 230805)"
Arnaud_Matinees_2,"nriette. Voilà huit jours que NOUS SOMMES UNIS, ET JE Ne doute pas que ce ne soit pou","er aux volontés de son père. CELUI-CI, S'ADRESSANT À SINDERSOn :-Mylord , je me suis assez ","(294809, 294834)","(230760, 230805)"
Arnaud_Sentiment_0,"
M. de Beauregard ne se doute NULLEMENT DE CE QUI SE PASSE DANS MOn cœur. Il a pris son appartem",n trouble vous instruit assez DE CE QUI SE PASSE DANS MON CŒUR. IL y a long-temps que je brûle d,"(105059, 105095)","(304192, 304228)"
Arnaud_Sentiment_1,"pieds en entrant dans l'appartEMENT, DE COUVRIR SES MAINS DE BAisers et de larmes, et de dire","enneville; il couvrait une de SES MAINS DE BAISERS ET DE LARMES. Oh! Ma divine bienfaitrice, ","(225085, 225118)","(304192, 304228)"
Beauharnais_Lettres_0,ouve qu'elle redoute que je ne LISE CE QUI SE PASSE DANS SOn cœur. A qui l'ouvrira-t-elle,": c'est en lui apprenant tout CE QUI SE PASSE DANS SON CŒUR, que je le forcerai de se réu","(75611, 75640)","(139967, 139996)"
Benoist_Elisabeth_0,"r. 
Je ne puis te dire, mon amIE, CE QUI SE PASSE DANS MON cœur à cette idée; il semble q","mie, que tu dois sçavoir tout CE QUI SE PASSE DANS MON CŒUR, comme Dieu même. Sois donc i","(55158, 55187)","(204773, 204802)"
bible_0,suis déclaré au comte d'AuteriVE. IL A REÇU LA DEMANDE QUE je lui ai fait de sa fille ave,"ant, et l’Éternel m’a accordé LA DEMANDE
QUE JE LUI AI FAITE.

28 C’est pourquoi, je l’ai ","(124312, 124341)","(1117131, 1117161)"
Cazotte_Ollivier_0,"t de me forcer à vous céder la PLACE.“ ELLE LUI FIT UNE PROFONDE RÉVÉRence, et se retira dans un aut"," "" en finissant ainsi, Badine FIT UNE PROFONDE RÉVÉRENCE ET SE RETIRA.Enguerrand et Barin continuèr","(210181, 210221)","(61584, 61623)"
Charriere_Femmes_0,"s arrangement sont pris, et avANT PEU DE JOURS, JE SERAI LE PLUS fortuné des hommes. Oui, mon a","l avec Emilie; mais avec vous JE SERAI LE PLUS FORTUNÉ DES HOMMES, pourvu que vous vous trouvie","(227697, 227732)","(94472, 94507)"
Charriere_Lausanne_0,esse. J'ai senti la nécessité DE LUI DISSIMULER CE QUI SE PASsait dans mon cœur; il m'en co,"z-vous, s'il se peut, madame, CE QUI SE PASSAIT DANS MON CŒUR. À la fin je me mis à ses pie","(147099, 147130)","(185261, 185292)"
Constant_Laure2_0,"tre nous, qu'elle n'en est pas FÂCHÉE; MAIS IL NE FAUT PAS avoir l'air de voir cela. M. d",rait trop le front et les yeux; IL NE FAUT PAS AVOIR L'AIR de vouloir cacher ses traits. ,"(126297, 126326)","(57543, 57572)"
Cottin_Claire_0,"r. 
Je ne puis te dire, mon amIE, CE QUI SE PASSE DANS MON cœur à cette idée; il semble q","m'a vue, mais qu'il sait tout CE QUI SE PASSE DANS MON CŒUR. J'avais espéré pourtant l'ar","(55158, 55187)","(140015, 140044)"
Cottin_Claire_1,ouve qu'elle redoute que je ne LISE CE QUI SE PASSE DANS SOn cœur. A qui l'ouvrira-t-elle,ue vous êtes instruit de tout CE QUI SE PASSE DANS SON CŒUR ; mais elle ne rompra le sile,"(75611, 75640)","(140015, 140044)"
Crebillon_Atheniennes_0,".. Je t'avoue qu'il me déplut AU-DELÀ DE TOUT CE QUE JE puis dire. 
Trouves-tu, mon a","elle me paraît, prend sur moi AU-DELÀ DE TOUT CE QUE JE pourrais vous exprimer. Il me","(15463, 15488)","(908426, 908451)"
