,Text in Diderot_Neveu,Text in B,Location in Diderot_Neveu,Location in B
Abbes_Voyage_0,"e la syllabe d'exclamation au TON LE PLUS ÉLEVÉ ET LE PLUS AIGU, et descend les autres au ton","t naturel; l'autre est sur le TON LE PLUS ÉLEVÉ ET LE PLUS PRÉCIEUX, et tout jusqu'à la plaisante","(141715, 141748)","(27747, 27784)"
Anonyme_Etourdi_0, la partie la plus importante DE LA VILLE ET DE LA COUR. Nos opulents dans tous les é,"re, on les croirait confident DE LA VILLE ET DE LA COUR. Rien ne se fait pour eux der","(59982, 60007)","(153855, 153880)"
Arnaud_Sentiment_0,", le bouffon, la grosse bête. IL N'Y AVAIT PAS UNE DE CES ÉPITHÈTES QUI ne me valût un sourire, une c",transport: il en est accablé; IL N'Y AVAIT PAS UNE DE CES BEAUTÉS QUI ne desirât en secret de l'avo,"(25748, 25789)","(1079667, 1079706)"
Beauharnais_Lettres_0, la partie la plus importante DE LA VILLE ET DE LA COUR. Nos opulents dans tous les é,"xions qu'au milieu du tumulte DE LA VILLE ET DE LA COUR, j'étais si loin de faire. In","(59982, 60007)","(54981, 55006)"
bible_0,"ne chose ; passé cela, rien ; ILS NE SAVENT CE QUE C'EST QUE d'être citoyens, pères, mères","ls avaient marquées le
jour ; ILS NE SAVENT CE QUE C’EST QUE la lumière.

17 Car la lumièr","(9400, 9430)","(2119964, 2119994)"
Cazotte_Ollivier_0,t je parle comme il convient. JE NE SUIS PAS DE CES GENS QUI méprisent les moralistes ; il,n'en concevois pas d'alarmes. JE NE SUIS PAS DE CES GENS QUI s'inquiètent volontiers: quan,"(93849, 93879)","(145832, 145862)"
Charriere_Lausanne_0,"ez-vous ? 
MOI.---Je rêve que TOUT CE QUE VOUS VENEZ DE DIRE est plus spécieux que solide.","est choisie. Il est payé pour TOUT CE QUE VOUS VENEZ DE DIRE; et, s'il se distingue, il ac","(48050, 48080)","(71741, 71771)"
Crebillon_Atheniennes_0,ons cela. Il y a une éternité QUE JE NE VOUS AI VU. JE ne pense guère à vous quand j,"de brûler tout ce que, depuis QUE JE NE VOUS AI VU, JE vous avais écrit! Mais ce n'é","(7414, 7438)","(176945, 176969)"
Crebillon_Conte_0,"ut un malheureux instant, car VOUS SAVEZ QUE JE NE SUIS PAS sujet à avoir du sens commun,","sir, vous me connaissez, moi, VOUS SAVEZ QUE JE NE SUIS PAS tracassier; faites-moi un pla","(28545, 28574)","(560961, 560990)"
Crebillon_Nuit_0,"iens que je ne m'en mêle pas. TOUT CE QUE JE SAIS, C'EST QUE je voudrais bien être un autr","e quoi me faire ce reproche ? TOUT CE QUE JE SAIS, C'EST QUE si je trouvais la même expres","(20125, 20155)","(112701, 112731)"
