,Text in Ducray_Cinquante,Text in B,Location in Ducray_Cinquante,Location in B
Anonyme_Etourdi_0,"oncer un été superbe, résolut DE NE PAS DIFFÉRER PLUS LONG-TEMPS son vovage aux îles, voyage q", de la revoir. Elle me répond DE NE PAS DIFFÉRER PLUS LONG-TEMPS de me rendre chez elle où ell,"(302623, 302657)","(186835, 186869)"
Arnaud_Matinees_0,"e vingt-trois ans, était bien LA FEMME LA PLUS AIMABLE ET LA meilleure que j'eusse jamais ","nte J'adore la Divinité. in.: 
UNE SORTE D'ENCHANTEMENT S'ESt emparé de la femme la plus a","(193573, 193603)","(97103, 97133)"
Arnaud_Sentiment_0,"dit-il tout bas, malgré vous, JE SUIS LE PLUS HEUREUX DES HOMMES.--Que veut dire monsieur?--Qu",x! Je te vois! Je te possède! JE SUIS LE PLUS HEUREUX DES HOMMES! Bientôt perdant cette erreur,"(187443, 187477)","(434501, 434535)"
Benouville_Pensees_0,"herchée inutilement par-tout, ET JE BÉNIS LE CIEL DE T'AVOIR offerte à mes regards aujourd",s été une fort mauvaise Turque; ET JE BÉNIS LE CIEL DE M'AVOir fait naître dans un climat ,"(228656, 228686)","(103816, 103846)"
Crebillon_Conte_0,"à cette époque redoutable; et MOI, CE FUT EN VAIN QUE JE pressai mon père de passer ch",ontés que j'ai eues pour eux. MAIS CE FUT EN VAIN QUE JE lui demandai pour moi la même,"(192640, 192666)","(491240, 491266)"
Crebillon_Nuit_0," mon indignation?...--Madame, TOUT CE QUE VOUS VENEZ DE ME DIRE est tellement obscur pour moi",". 
Assûrément, si vous croyez TOUT CE QUE VOUS VENEZ DE ME DIRE, vous avez jusques à présent ","(163354, 163387)","(19052, 19085)"
Diderot_Neveu_0," mon indignation?...--Madame, TOUT CE QUE VOUS VENEZ DE ME DIRE EST tellement obscur pour moi, qu","ez-vous ? 
MOI.---Je rêve que TOUT CE QUE VOUS VENEZ DE DIRE EST plus spécieux que solide. Mai","(163354, 163391)","(48050, 48084)"
Dorat_Malheurs_0,".--Mon dieu, monsieur, je dis CE QUE JE SAIS, CE QUE J'AI ENTENDU, ce que j'ai vu. Vous avez vu"," autres. Oui, monsieur, après CE QUE JE SAIS, CE QUE J'AI VU, ce qu'on m'a ditau bal, détr","(10756, 10791)","(141417, 141447)"
Florian_Estelle_0,onsoler dans la douce société DE SA FEMME ET DE SA FILLE: il méditait de sinistres pro,"plutôt que de causer la ruine DE SA FEMME ET DE SA FILLE, en leur faisant savoir son i","(89473, 89499)","(119421, 119447)"
Florian_Galatee_0,"félicitations réciproques, et TOUT LE MONDE EST CONTENT. 
TOUT LE MONDE!... ai-je pu généraliser ains","coute, on rit tout à la fois: TOUT LE MONDE EST CONTENT, TOUT LE MONDE est heureux; on croirait que ","(291669, 291710)","(54888, 54928)"
