,Text in Dulaurens_Imirce,Text in B,Location in Dulaurens_Imirce,Location in B
Benoist_Elisabeth_0,"rivait à son père, elle reçut UNE LETTRE DE MON GRAND-PÈRE, QUI lui mandait l'aventure de ma "," quittée, je trouvai chez moi UNE LETTRE DE MON GRAND-PÈRE, QUI me marquait de partir sur le ","(42028, 42061)","(35916, 35949)"
Crebillon_Atheniennes_0," et si Caton assure que c'est LA PLUS GRANDE DE TOUTES LES PERFECTIONS que de mourir pour la vérité,",z faire tant d'extravagances? LA PLUS GRANDE DE TOUTES LES FOLIES qui lui sont échappées depuis,"(54546, 54586)","(827787, 827822)"
Diderot_Jacques_0,". hélas... mon cœur s'en va---EST-CE QUE VOUS VOUS TROUVEZ MAL, Monsieur Dressant? Mes appas","lez-moi donc dame Marguerite, EST-CE QUE VOUS VOUS TROUVEZ MAL ? 
MARGUERITE Non, mon enfant","(355070, 355102)","(372556, 372588)"
Diderot_Neveu_0,". hélas... mon cœur s'en va---EST-CE QUE VOUS VOUS TROUVEZ MAL, Monsieur Dressant? Mes appas","t me dit : --- Qu'avez-vous ? EST-CE QUE VOUS VOUS TROUVEZ MAL ? 
MOI.---Un peu, mais cela p","(355070, 355102)","(120750, 120782)"
Diderot_Religieuse_0,"isa, étant sur ma bergère, d'éLEVER LES YEUX ET LES MAINS AU CIEL, en s'écriant avec enthousias","uelque chose de pointu ; » et LEVANT LES YEUX ET LES MAINS AU CIEL, j'ajoutai en versant un torr","(230936, 230971)","(174240, 174276)"
Genlis_Adele_0,"isa, étant sur ma bergère, d'éLEVER LES YEUX ET LES MAINS AU CIEL, en s'écriant avec enthousias","ersoient sur leurs chaises en LEVANT LES YEUX ET LES MAINS AU CIEL, et la plus jeune de toutes f","(230936, 230971)","(253971, 254007)"
Genlis_Adele_1,"aux médecins et aux moines.---JE NE SUIS PAS SURPRIS QUE VOUS soyez mort.---Ah, ma foi il é",tuation de Madame De Limours; JE NE SUIS PAS SURPRISE QUE VOUS ayant écrit le jour du mariag,"(328039, 328070)","(253971, 254007)"
Gerard_Comte_0,illiers de petites roues cent MILLIONS DE FOIS PLUS PETITES QU'UN GRAIN DE sable. Le vide ou ce que tu a,"ces animalcules, qui sont des MILLIONS DE FOIS PLUS PETITS QU'UN GRAIN DE poussière; ils ont leur tête,","(285284, 285328)","(34051, 34094)"
Gerard_Comte_1,"ons honnête homme est l'effet DE LA JUSTESSE DE L'ESPRIT ET DE l'équité du cœur. 
« Le cousi","ui me semble être le résultat DE LA JUSTESSE DE L'ESPRIT, ET DE la vivacité du sentiment. La ","(306938, 306970)","(34051, 34094)"
Jacquin_Parisiennes_0,"le naufrage de mon innocence, LE MOMENT LE PLUS DÉLICIEUX DE MA VIE. 
« Le feu de la vertu sembla","ttons un voile, Monsieur, sur LE MOMENT LE PLUS DÉLICIEUX DE MA VIE. C'est profaner les mystéres ","(193437, 193474)","(84690, 84727)"
Kimber_Thompson_0," par quinze paysans, auxquels IL NE ME FUT PAS POSSIBLE DE RÉSISTER. Le curé, qui était un dur et"," à celles de sa chère Serene, IL NE ME FUT PAS POSSIBLE DE RÉSISTER davantage. Quand ils furent p","(40592, 40629)","(733630, 733667)"
Lagrave_Sophie_0,gane m'affecta gracieusement; IL FIT LE MÊME EFFET SUR MON compagnon. La faim nous aigui,ment que je lui avais inspirés. IL FIT LE MÊME EFFET SUR Mon cœur; sa vue m'avait souven,"(56773, 56801)","(34865, 34893)"
Marmontel_Contes_0,"procuré le bonheur de trouver CE QU'IL Y AVAIT DE PLUS CHER AU MONDE pour moi. 
Ma fille ayant fin",vint tout à coup l'arracher à CE QU'IL AVAIT DE PLUS CHER AU MONDE après sa mère. Il se rend che,"(250899, 250937)","(362102, 362138)"
Montesquieu_Arsace_0," point, je n'écoutai qu'eux. 
JE N'AVAIS D'AUTRE PARTI À PRENDRE QUE DE RETOURNER à Saint-Quentin. Je passai à ",s effrayante que mille morts. JE N'AVAIS D'AUTRE PARTI À PRENDRE QUE DE RETOURNER auprès d'elle. Vous serez éto,"(213959, 214010)","(27824, 27875)"
Morelly_Naufrage_0," où Dieu créa l'homme. Car, n'EST-IL PAS PLUS RAISONNABLE DE PENSER que Dieu a donné à l'homme l'","é qui ne l'intéresse plus? 
N'EST-IL PAS PLUS RAISONNABLE DE DIRE que sa réconnaissance pour so","(49499, 49536)","(368077, 368112)"
Retif_Paysanne_0,"es, apostoliques et romaines. JE NE SAIS TROP CE QU'IL EN sera; il a cependant promis, "," fort lié avec le marquis, et JE NE SAIS TROP CE QU'IL EN résultera. Je me déguise un p","(308027, 308054)","(485734, 485761)"
Riccoboni_LettresAdelaide_0,"i distrait, si étourdi, qu'il NE SAIT CE QU'IL DIT, CE QU'IL FAIT, ni ce qu'il écrit; il barbou","rête, se jette sur un siège; iL NE SAIT CE QU'IL DIT, CE QU'IL FAit, il est transporté; vous n'","(255403, 255438)","(167707, 167742)"
Sade_Justine_0,ndresse que nous remarquons d'UN BOUT DE L'UNIVERS À L'AUTRE. TOUS LES HOMMES qui font leur cas en plein ai,"et qu'il veut nous donner ; d'UN BOUT DE L'UNIVERS À L'AUTRE, TOUS LES HOMMES la lisant, la voyant à la foi","(329886, 329933)","(136640, 136687)"
