,Text in Gerard_Comte,Text in B,Location in Gerard_Comte,Location in B
Arnaud_Epoux_0,"ent même, que ne peut-il lire AU FOND DE MON CŒUR! QUE NE peut-il savoir combien sa glo"," ce moment, que ne lisez-vous AU FOND DE MON CŒUR! QUE NE voyez-vous couler mes larmes!","(936, 963)","(168958, 168985)"
Arnaud_Epoux_1,ng de mes concitoyens? Que je PLONGE UN POIGNARD DANS LE SEIN DE mon bienfaiteur; et que je pr,qui ai pu former le projet de PLONGER UN POIGNARD DANS LE SEIN DE ma chère Agathe! Eh! En auroi,"(339041, 339075)","(168958, 168985)"
Arnaud_Sentiment_0," fautes et expié les erreurs? PLEIN DE CONFIANCE DANS LA BONTÉ D'UN dieu, qui, tout à la fois mon","rd, je meurs sans remords, et PLEIN DE CONFIANCE DANS LA BONTÉ DE dieu. Fasse sa miséricorde qu","(89265, 89302)","(584390, 584425)"
Arnaud_Sentiment_1,stinct plus fort; ne sois pas LE SEUL ÊTRE DANS LE MONDE QUI résiste aux impulsions de la ,"z vos bontés sur cette femme, LE SEUL ÊTRE DANS LE MONDE QUI ait pris quelque intérêt à mo","(323869, 323899)","(584390, 584425)"
Arnaud_Sentiment_2,"ense à espérer. Il le désire; IL FAIT TOUS SES EFFORTS POUR SE le persuader, et ne peut en v",c qui Philippe s'entretenait; IL FAIT TOUS SES EFFORTS POUR SE contenir: il ne peut s'empêch,"(361709, 361741)","(584390, 584425)"
Beauharnais_Lettres_0,"TRE 25 D'Émilie au marquis. Ô LE PÈRE LE PLUS TENDRE, ET LE meilleur de tous les amis! Qu","ursuivent .... C'est un père, LE PÈRE LE PLUS TENDRE ET LE plus malheureux que je pleure","(401547, 401576)","(82691, 82719)"
Beaumont_Clarice_0,"ture serait le moins libre et LE PLUS MALHEUREUX DE TOUS LES HOMMES. Crois-en, cher Valmont, la t","s-je, dans ces deux cas, ne me PAS REGARDER COMME LE PLUS MALHEUREUx de tous les hommes? Je sais ","(462886, 462923)","(93175, 93212)"
Benoist_Elisabeth_0,"des douceurs que tu procures, DES LARMES DE TENDRESSE QUE TU FAIS COULER, la sécheresse et la dureté q","toyable amie! ce ne sont plus DES LARMES DE TENDRESSE QUE TU FAIS VERSER à la triste Elisabeth; non, c","(70472, 70514)","(395622, 395664)"
Bernardin_Chaumiere_0,"ux, si simples et si féconds, NE FAITES PAS AUX AUTRES CE QUE VOUS NE VOUDRIEZ PAS qu'on vous fît; faites-leur c", La nature y a mis cette loi: NE FAITES PAS AUX AUTRES CE QUE VOUS NE VOUDRIEZ PAS que les autres vous fissent.-,"(134959, 135011)","(39121, 39173)"
Bernardin_Paul_0,"n, elle te rendra la santé . 
CE QUE JE VIENS DE DIRE DES jugement, tu l'observeras ave","n orient. » On peut appliquer CE QUE JE VIENS DE DIRE DES bandes de Jupiter, aux échanc","(127903, 127930)","(116127, 116154)"
Berquin_Enfants_0,"ui, au moindre peril, me fait LEVER LES YEUX VERS LE CIEL, ET invoquer un être tout puissan"," ne put en dire davantage: il LEVA LES YEUX VERS LE CIEL, ET se mit à pleurer. Ses enfants","(147858, 147889)","(158155, 158185)"
