,Text in Voltaire_Princesse,Text in B,Location in Voltaire_Princesse,Location in B
Arnaud_Sentiment_0," avait vu dans cette journée, TOUT CE QU'ELLE VOYAIT, TOUT CE QU'ELLE entendait, et surtout ce qu'e","ts de larmes; D'Estival était TOUT CE QU'ELLE VOYAIT, TOUT CE QU'ELLE aimait, tout ce qui remplissa","(39013, 39052)","(128259, 128298)"
Cazotte_Ollivier_0,"es-la entrer au plus vite ; j'AI DES CHOSES DE LA DERNIÈRE CONSÉQUENCE À LUI dire, et je veux que vous y s","e vous pourrez me recevoir. J'AI DES CHOSES DE LA DERNIÈRE CONSÉQUENCE À VOUS dire. "" les femmes entrent; F","(64268, 64314)","(104160, 104207)"
Charriere_Lausanne_0,"adame, lui dit le phénix, est LA CHOSE DU MONDE LA PLUS SIMPLE. Il n'est pas plus surprenant",qu'alors ne me parut plus que LA CHOSE DU MONDE LA PLUS À CRAINDRE. Il revint bientôt avec le co,"(56210, 56242)","(239693, 239729)"
Cottin_Claire_0, fille bien née d'en parler : QU'IL VOUS SUFFISE DE SAVOIR QUE JE vous regarde comme le plus gr,"enez, et je vous ai devinée ; QU'IL VOUS SUFFISE DE SAVOIR QUE JE suis content de vous, ne me q","(51167, 51202)","(145001, 145036)"
Crebillon_Nuit_0,"ra de battre les deux autres, JE CROIS QUE VOUS NE DOUTEZ PAS qu'il n'en vienne à bout aisé","Comte, je suis votre amie, et JE CROIS QUE VOUS NE DOUTEZ PAS de ma discrétion. Puisque le ","(22023, 22054)","(21859, 21890)"
Dorat_Malheurs_0,rmer de l'état de votre santé ET DE TOUT CE QUI SE PASSAIT à Babylone ; il comptait reve,"er amant, juge de mon effroi, ET DE TOUT CE QUI SE PASSAIT en moi à cette proposition! J","(66132, 66160)","(327744, 327772)"
Dorat_Sacrifices_0,"ans qu'il soit de la partie : TOUT CE QUE JE VOUS DEMANDE, C'EST que votre grand aumônier boiv","é-je l'acheter de la mienne. 
TOUT CE QUE JE VOUS DEMANDE, C'EST de solliciter mon retour chez","(50844, 50878)","(364273, 364307)"
Fievee_Dot_0,"ans qu'il soit de la partie : TOUT CE QUE JE VOUS DEMANDE, C'EST que votre grand aumônier boiv",t où ma bouche le prononçait. TOUT CE QUE JE VOUS DEMANDE EST de ne pas voir Suzette avant ,"(50844, 50878)","(38001, 38032)"
Jacquin_Parisiennes_0,"ndigne roi d'Égypte : je suis LE PLUS MALHEUREUX DES HOMMES ; J'AI PERDU mon père et le phénix, et l'e","eur, me dit-il en m'abordant, LE PLUS MALHEUREUX DES HOMMES: J'AI PERDU pour toujours ma chère Juqu'h","(75452, 75494)","(101715, 101756)"
Kimber_Thompson_0,"ans qu'il soit de la partie : TOUT CE QUE JE VOUS DEMANDE, C'EST que votre grand aumônier boiv","lère contre vous, mon enfant: TOUT CE QUE JE VOUS DEMANDE, C'EST de me confier votre embarras,","(50844, 50878)","(173286, 173320)"
Laclos_Liaisons_0," politique : « Je suis vieux, JE NE SAIS PLUS QUE FAIRE, NI à qui donner ma fille. Celui ","ncore davantage : si bien que JE NE SAIS PLUS QUE FAIRE, NI que devenir, et que je suis b","(23180, 23209)","(110255, 110284)"
Lagrave_Zabeth_0,euf cents années et sept mois QUE JE SUIS AU MONDE ; JE N'AI encore rien vu de comparable ,"oie. Oh! lui dit-elle, depuis QUE JE SUIS AU MONDE, JE N'AI point encore joui d'une journ","(85142, 85172)","(142954, 142983)"
