,Text in Voltaire_Candide,Text in B,Location in Voltaire_Candide,Location in B
Anonym_Suzon_0,ide ne s'arrêta dans Bordeaux QU'AUTANT DE TEMPS QU'IL EN FALLAIT POUR vendre quelques cailloux du D,atisfaire. Nous ne différâmes QU'AUTANT DE TEMPS QU'IL EN FALLAIT POUR qu'on ne nous surprît pas. Il,"(116387, 116427)","(102969, 103009)"
Arnaud_Sentiment_0, et tu fais par là la fortune DE TON PÈRE ET DE TA MÈRE. » Hélas ! je ne sais pas si ,"e peut, toujours dans le sein DE TON PÈRE ET DE TA MÈRE; songe que le premier des bie","(100547, 100572)","(12766, 12791)"
Beaumont_Clarice_0,", et allons à Cadix ; il fait LE PLUS BEAU TEMPS DU MONDE, ET c'est un grand plaisir de voy"," entretenir. Nous nous sommes EMBARQUÉS PAR LE PLUS BEAU TEMPs du monde, et pour parler poé","(39935, 39966)","(72755, 72786)"
Benoist_Elisabeth_0," en physique et en morale.--- JE VOUS AIME DE TOUT MON CŒUR, disait Cunégonde ; mais j'ai",le maman que vous êtes bonne! JE VOUS AIME DE TOUT MON CŒUR; que nous sommes heureux que ,"(42745, 42774)","(265065, 265094)"
Berquin_Enfants_0,"Amata, et l'insipide Lavinia, JE NE CROIS PAS QU'IL Y AIT RIEN de si froid et de plus désagr","nt de vue. Écoute, mon frère; JE NE CROIS PAS QU'IL Y AIT BIEN de la différence entre nous d","(152143, 152175)","(2518, 2550)"
Berquin_Enfants_1,"as vu pendre maître Pangloss, ET SI JE N'AVAIS PAS EU LE malheur de tuer le baron, je ","les. Cela est vrai, mon papa; ET SI JE N'AVAIS PAS EU LE cœur aussi bon, j'aurais appe","(168793, 168819)","(2518, 2550)"
Cazotte_Ollivier_0, ; avançons ; vous allez être LE PLUS HEUREUX DE TOUS LES HOMMES. Quel plaisir auront Los Padr,"acreddin, lui dit-il, je suis LE PLUS HEUREUX DE TOUS LES HOMMES. J'ai trouvé... mais le temps","(64619, 64653)","(254525, 254559)"
Charriere_Femmes_0,"n de physique expérimentale à LA FEMME DE CHAMBRE DE SA MÈRE, petite brune très jolie et t","n cousin, celui-ci va trouver LA FEMME DE CHAMBRE DE SA MÈRE, qui avait été sa nourrice et","(3356, 3386)","(93374, 93404)"
Charriere_Femmes_1, ; avançons ; vous allez être LE PLUS HEUREUX DE TOUS LES HOMMES. Quel plaisir auront Los Padr," comme par une autre, je sois LE PLUS HEUREUX DE TOUS LES HOMMES. 
-Vous ne m'en paraissez pas","(64619, 64653)","(93374, 93404)"
Charriere_Lausanne_0,r qu'on pourrait gémir un peu DE CE QUI SE PASSE DANS LE nôtre en physique et en moral,me souviens pas distinctement DE CE QUI SE PASSA DANS LE temps qui suivit sa mort. Je ,"(42683, 42709)","(148487, 148513)"
