,Text in Sade_Justine,Text in B,Location in Sade_Justine,Location in B
Anonyme_Etourdi_0," et tu connaîtras de tous les PLAISIRS LE PLUS VIF ET LE PLUS piquant. 
Roland sortit en di","ré pour désigner également le PLAISIR LE PLUS VIF ET LE PLUS vrai, et la colère la mieux c","(511104, 511135)","(96325, 96355)"
Arnaud_Matinees_0," me place, on l'environne, il NE VOIT PLUS AUTOUR DE LUI QUE cet autel obscène qui le déle","· A cette nouvelle , Géminyile,OUBLIANT QUE C'EST LUI-MÊME Qui a exigé ce sacrifice , ne v","(311917, 311947)","(188987, 189017)"
Arnaud_Matinees_1,"us avisez de dire un seul mot DE CE QUI VIENT DE SE PASSER, en vous chargeant des crimes","e. Le vieillard est, livré à lA FUREUR. BEDMER S'EMPRESSE de raconter en peu de mots tou","(599453, 599481)","(188987, 189017)"
Arnaud_Sentiment_0,"vec effroi de m'avoir arraché CE QUE J'AVAIS DE PLUS CHER, ET de m'avoir réduite, par l'enc"," dit: oui, je viens d'immoler CE QUE J'AVAIS DE PLUS CHER; ET il veut ramasser son épée et ","(451622, 451653)","(941544, 941575)"
Beaumont_Clarice_0,dinaire est d'endurcir : soit QUE LA PLUS GRANDE PARTIE DE SES écarts nécessite l'apathie de," réponse à Bordeaux; je viens DE LA RECEVOIR, ET VOICI CE QU'Il m'apprend. Vous savez, ma ch","(112677, 112709)","(338895, 338927)"
Beckford_Vathek_0,"ler, monsieur ? répondis-je ; JE NE DEMANDE PAS MIEUX QUE DE RENDRE ceux que la décence et mon âg","é la tête, répliqua Carathis. JE NE DEMANDE PAS MIEUX QUE DE RENDRE mes hommages à Suleïman le pr","(28904, 28941)","(192177, 192214)"
Benoist_Elisabeth_0,t ces sensations ; elles sont AU-DESSUS DE TOUT CE QU'ON PEUT dire : qu'on fasse maintenant,eur de ma situation; elle est AU-DESSUS DE TOUT CE QU'ON PEUT éprouver de plus douloureux..,"(524715, 524746)","(204388, 204419)"
Benoist_Elisabeth_1,"us avisez de dire un seul mot DE CE QUI VIENT DE SE PASSER, en vous chargeant des crimes","; mais si tu avais été témoin DE CE QUI VIENT DE SE PASSER il y a une heure, tu me trouv","(599453, 599481)","(204388, 204419)"
Berquin_Enfants_0,"it fait en s'introduisant. Il SE JETTE DANS LES BRAS DE SUZANNE, et joignant le sarcasme à l'","ille, Agathe. Fabien, courant SE JETER DANS LES BRAS DE PROSPER et de Casimir . 
Ah! Mes bons","(517251, 517284)","(123758, 123791)"
bible_0,é cette même action en crime. IL EN EST DE MÊME DE TOUTES les autres actions maladroite,"s d’où il vient, ni où il va. IL EN EST DE MÊME DE TOUT homme qui est
né de l’esprit.","(205371, 205398)","(3934344, 3934369)"
Charriere_Lausanne_0,ue la vertu puisse dépendre d'UN PEU PLUS OU D'UN PEU MOINS DE largeur dans une des parties ,"mps ou peu de temps, avoir eu UN PEU PLUS OU UN PEU MOINS DE peine ou de plaisir, il vient","(69842, 69874)","(137961, 137991)"
Charriere_Lausanne_1,"ois ; mais je me souviens que DANS LE PEU DE TEMPS QUE NOUS nous sommes connus, vous m'av","urs bien avec lady Betty; et, DANS LE PEU DE TEMPS QUE NOUS fûmes encore ensemble, il n'y","(453551, 453580)","(137961, 137991)"
Constant_Laure1_0,du désir que j'avais de voler AU-DEVANT DE TOUT CE QUI POUVAIT LUI PLAIRE ; il ne se pouvait pas qu'il ,raître „sa conquête; j'allois AU-DEVANT DE „TOUT CE QUI POUVAIT LUI PLAIRE; je „lui faisais voir tout l',"(125074, 125117)","(85267, 85311)"
Constant_Laure2_0," ne croyez, monsieur usez-en, JE VOUS EN CONJURE, OU JE NE sors point avec vous ; la fem","e; répondez mieux à mon amitié, JE VOUS EN CONJURE, OU JE ne croirai qu'à la mienne: vou","(553743, 553771)","(117544, 117572)"
Cottin_Claire_0," jeunesse, de force, de santé NE FAUT-IL PAS POUR ÊTRE SÛR DE produire dans une femme cette"," démarches, de perquisitions, NE FAUT-IL PAS POUR ÊTRE SÛR DE ne secourir que les vrais mal","(343045, 343076)","(28789, 28820)"
Cottin_Claire_1,"ame, vous ici m'écriai-je. 
--TOUT CE QUI VIENT DE SE PASSER est mon ouvrage, me répondit ",i-même... Je voulais t'écrire TOUT CE QUI VIENT DE SE PASSER ; mais je ne le puis : ma mai,"(581044, 581074)","(28789, 28820)"
Crebillon_Atheniennes_0,"erreront au pied d'un arbre. 
JE N'AI PAS BESOIN DE VOUS PEINDRE l'effet que me fit cette crue","ue ses charmes lui inspirent, JE N'AI PAS BESOIN DE VOUS PEINDRE les difficultés. Les obstacle","(59341, 59375)","(364680, 364714)"
Crebillon_Atheniennes_1,"de de la sorte d'organisation QUE NOUS AVONS REÇUE DE LA NATURE Cela posé, je le demande, de ",ous ne l'avons pas laissé tel QUE NOUS L'AVONS REÇU DE LA NATURE. Il nous suffisait de plaire:,"(326117, 326150)","(364680, 364714)"
Crebillon_Atheniennes_2,s mains de M. de Cardoville ; JE N'AI PAS BESOIN DE VOUS DIRE la place qu'il occupe ; qu'il,"s savez ce qui me conduisait, JE N'AI PAS BESOIN DE VOUS DIRE que le désirs de le soumettre","(605447, 605478)","(364680, 364714)"
Crebillon_Conte_0,"xcite cruellement, me dit-il, JE NE SAIS CE QUE JE VOUDRAIS lui faire. 
--Oh monsieur, di"," pense; plus il me semble que JE NE SAIS CE QUE JE VOUDRAIS. à tout prendre pourtant, c'e","(516228, 516257)","(55352, 55381)"
Diderot_Jacques_0,"oulait me dire cet homme, que JE NE FERMAI PAS L'ŒIL DE LA NUIT. J'arrive enfin à l'adresse i","ger. J'ai cent fois essayé... JE NE FERMAI PAS L'ŒIL DE LA NUIT... 
LE MAÎTRE Non, non, dis-m","(452624, 452657)","(142323, 142356)"
Diderot_Religieuse_0,sant fortement cette partie ; JE N'AI JAMAIS RIEN VU DE SI bien attaché : ce sera divin ,dont vous en userez avec moi. JE N'AI JAMAIS RIEN VU DE SI hideux. Elle était échevelée ,"(568029, 568057)","(32942, 32970)"
Doppet_Memoires_0,"ible cœur osait concevoir, et JE NE VOYAIS PLUS EN LUI QU'UN MONSTRE... 
--Tu es la première femme","ce moment l'objet de ma haine JE NE VOYAIS PLUS EN LUI QU'UN MONSTRE, l'aurois-je haï sans l'affre","(151491, 151529)","(29964, 30002)"
Dorat_Malheurs_0,"s connaissance... 
Oh madame, JE NE SAIS PLUS NI CE QUE dit, ni ce que fit cet homme ","re amitié, et je m'en plains! JE NE SAIS PLUS NI CE QUE je dis, ni ce que je veux; je","(103891, 103916)","(149044, 149069)"
Dorat_Malheurs_1,"faire, j'exécute avec dégoût. DANS LA SITUATION OÙ JE SUIS, HÉLAS m'est-il permis de refuser l'","pour me sauver de l'autre; et DANS LA SITUATION OÙ JE SUIS, IL est honorable peut-être d'acc","(260469, 260504)","(149044, 149069)"
Ducray_Cinquante_0," Avec une sujétion semblable, VOUS SENTEZ BIEN QUE JE NE PUIS ni la laisser sortir, ni la l"," votre incertitude, mon amie? VOUS SENTEZ BIEN QUE JE NE PUIS y croire. Entre nous, il faut","(403213, 403244)","(205024, 205055)"
Dulaurens_Imirce_0,"et qu'il veut nous donner ; d'UN BOUT DE L'UNIVERS À L'AUTRE, TOUS LES HOMMES la lisant, la voyant à la foi",ndresse que nous remarquons d'UN BOUT DE L'UNIVERS À L'AUTRE. TOUS LES HOMMES qui font leur cas en plein ai,"(136640, 136687)","(329886, 329933)"
Fourqueux_Zely_0,ino en se retirant ; j'ai cru QUE POUR LA PREMIÈRE FOIS DE MA VIE j'échouerais près du port... ,"nt de mal; et si “vous voulez QUE, POUR LA PREMIÈRE FOIS “DE MA VIE, je vous aie obligation, “fai","(368804, 368839)","(71437, 71474)"
Genlis_Adele_0,"e de seize est fille du baron DE , L'UN DES PLUS GRANDS SEIGNEURS DE Lorraine ; des comtes, des du","e Belmire, était frère du duc DE C, UN DES PLUS GRANDS SEIGNEURS DE Naples; que ce dernier, l'aîn","(299735, 299773)","(807044, 807081)"
Genlis_Adele_1,"d'une blancheur éblouissante, LES PLUS BEAUX CHEVEUX DU MONDE, ET quelque close de si séduisant"," deux plus longues nattes, et LES PLUS BEAUX CHEVEUX DU MONDE, ET n'attendait pas sans impatien","(364270, 364305)","(807044, 807081)"
