,Text in Nerciat_Aphrodites,Text in B,Location in Nerciat_Aphrodites,Location in B
Anonyme_Etourdi_0,s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(500530, 500561)","(62685, 62716)"
Arnaud_Epoux_0,"t faiblement. 
Barbare! l'oserAS-TU!... EST-CE LÀ LE PRix de tant de sacrifices arrac",à me sacrifier ta vie; hélas! EST-CE LÀ LE PRIX DE TANT d'amour? Que j'étais pénétré ,"(604787, 604812)","(211473, 211498)"
Arnaud_Matinees_0,"e malheureux Comte avait été tÉMOIN DE CE QUI VIENT DE SE passer dans l'enceinte, si mal","e. Le vieillard est, livré à lA FUREUR. BEDMER S'EMPRESSE de raconter en peu de mots tou","(277805, 277833)","(310511, 310539)"
Arnaud_Sentiment_0,"ux quêteur un baiser humide. 
) VOILÀ TOUT CE QUE JE PUIS FAire pour son service. 
Belamou","ut des travailleurs... tenez, TOUT CE QUE JE PUIS FAIRE POUR vous, est de vous faire la ch","(366946, 366976)","(592347, 592377)"
Beckford_Vathek_0,s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","(500530, 500561)","(77351, 77382)"
Benoist_Elisabeth_0,"u roman, le malheureux Comte aVAIT ÉTÉ TÉMOIN DE CE QUI VIENT DE SE passer dans l'enceinte, si mal","chère amie; mais si tu avais éTÉ TÉMOIN DE CE QUI VIENT DE SE PASSER il y a une heure, tu me trouv","(277795, 277833)","(288958, 288996)"
Benouville_Pensees_0,"ux quêteur un baiser humide. 
) VOILÀ TOUT CE QUE JE PUIS FAIRE pour son service. 
Belamour. 
","ne m'en point offenser, c'est TOUT CE QUE JE PUIS FAIRE POUR LE service du Public. Au reste, ","(366946, 366980)","(1119, 1152)"
Cazotte_Ollivier_0,"e. Suis-moi, petit imbécille... 
ELLE LE PREND PAR LA MAin et le mène grand train à di","ppartement de la dame. Badine LE PREND PAR LA MAIN, ET LE conduit jusqu'au chevet du li","(365646, 365672)","(64216, 64243)"
Charriere_Lausanne_0,s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin,"a l'air encore tout effrayée. POUR LA PREMIÈRE FOIS DE SA VIE elle a mal passé la nuit, et ","(500530, 500561)","(88751, 88782)"
Cottin_Claire_0,"nterie, Ma chère Durut: je ne DEMANDE QUE LE TEMPS DE PASSER UN DÉshabillé, et je vais avec vous","chez Françoise, je n'avais eu QUE LE TEMPS DE PASSER UN JUPON et de jeter un schall sur mes","(328295, 328331)","(34460, 34491)"
Crebillon_Atheniennes_0," de la chose, et ne dis jamais UN MOT DU PLUS OU DU MOINS De mérite de la manière ? 
Frin"," de vertus que l'on dût juger DU PLUS OU DU MOINS DE MÉRITE des hommes d'état, je souscri","(388861, 388890)","(473823, 473852)"
Crebillon_Conte_0,"rer d'agrément. 
Mad. Durut. 
QUE VOULEZ-VOUS QUE JE VOUS DISE, Madame!--Il est galant-homme","ment, et d'ailleurs... enfin, QUE VOULEZ-VOUS QUE JE VOUS DISE? Je n'aime pas cela moi. Mais","(13741, 13773)","(302879, 302911)"
