,Text in Riccoboni_Histoire,Text in B,Location in Riccoboni_Histoire,Location in B
Anonym_Suzon_0,"à s'approcher d'Adélaïde; et, MALGRÉ TOUS LES SOINS QU'ELLE PRIT POUR l'éviter, il parvint à se pla",occasionner notre séparation. MALGRÉ TOUS LES SOINS QU'ELLE PRIT POUR cacher la douleur que lui cau,"(31315, 31354)","(5310, 5349)"
Arnaud_Sentiment_0, s'opposer à ses entreprises. ELLE S'ARRACHA DE SES BRAS AVEC UN cri d'horreur; et s'élançant ,"torrent de larmes! Ma sœur... ELLE S'ARRACHE DE SES BRAS AVEC UNE sombre douleur, y revole avec","(51844, 51878)","(112466, 112501)"
Benoist_Elisabeth_0,"qu'il l'arrêta, et la supplia DE L'ÉCOUTER. JE NE VEUX RIEN ENTENDRE, lui dit-elle avec beaucoup d",plus de danger. Il le conjura DE L'ÉCOUTER ..... JE NE VEUX RIEN ENTENDRE d'un fils rebelle qui ose me ,"(53098, 53136)","(193489, 193532)"
bible_0,ehors; son assiduité chez lui ET DANS TOUS LES LIEUX OÙ ELLE allait éloignait les idées de," à ceux qui étaient à Hébron, ET DANS TOUS LES LIEUX OÙ DAVID avait
demeuré, lui et ses gen","(99235, 99265)","(1252748, 1252779)"
Cazotte_Ollivier_0,"ssements, en cris douloureux, ET PASSA LE RESTE DE LA NUIT à se plaindre avec Hélene du ","s pas, rentre dans la cabane, ET PASSE LE RESTE DE LA NUIT dans l'agitation. Il fut ente","(56722, 56750)","(18797, 18825)"
Crebillon_Atheniennes_0,t ma parole m'engage à éviter DE VOUS VOIR ET DE VOUS PARLER; je n'abuserai point de l'ind,"ai pas, un seul moment, cessé DE VOUS VOIR ET DE VOUS PARLER. Cependant, cette aliénâtion ","(36611, 36641)","(104469, 104499)"
Crebillon_Atheniennes_1,"e; sûr de paraître à ses yeux LE PLUS SINCÈRE ET LE PLUS TENDRE de tous les hommes, s'applaud",", disait-elle, "" avec le cœur LE PLUS SINCÈRE, ET LE PLUS TENDRE, et, peut-être, avec tout ce ","(72924, 72957)","(104469, 104499)"
Duclos_Acajou_0,"d'un cœur qu'elle s'attachait PAR TOUT CE QUI AURAIT DÛ LE lui ôter, elle ne put jamais "," à la mode, qu'il réussissait PAR TOUT CE QUI AURAIT DÛ LE faire échouer. 
Les affaires ","(98378, 98406)","(54960, 54988)"
Ducray_Cinquante_0,"été élevée dans la maison lui PERMIRENT, AU BOUT DE SIX MOIS, DE prendre le voile blanc, malgr","ut inexorable; il nous fallut PARTIR AU BOUT DE SIX MOIS DE séjour et de ma grossesse, qu","(79603, 79637)","(192784, 192813)"
Genlis_Adele_0,"e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une","e leva impétueusement, et fut SE JETER DANS LES BRAS DE SON grand-père... je ne puis vous","(86876, 86904)","(364639, 364668)"
Genlis_Adele_1,n lui montrant qu'elle savait TOUT CE QUI SE PASSAIT DANS SON âme. Par cette conduite elle ,"e paraître ignorer absolument TOUT CE QUI SE PASSAIT DANS SON âme, et avec un air de simpli","(117667, 117698)","(364639, 364668)"
Genlis_Chevaliers_0,"u'elle serait en droit de lui FAIRE, IL SENTIT AU FOND DE SON cœur ce mouvement juste et vr","aveu terrible qu'il venait de FAIRE, IL SENTIT AU FOND DE SON âme qu'il était moins malheur","(15467, 15498)","(808419, 808450)"
Gerard_Comte_0,étouffer les remords qu'élève AU FOND DE SON CŒUR LE SOUVENIR D'UNE femme sensible et malheureuse,"ur les hommes que doit porter AU FOND DE SON CŒUR LE SOUVENIR D'UN dieu, qui, en leur faveur, s'","(58897, 58934)","(710767, 710803)"
Lagrave_Zabeth_0,erté: il est marié! S'écria-t-ELLE EN SE JETANT DANS LES BRAS d'Hélene; il est marié! Hélen,"père! ah! je suis perdue! dit-ELLE EN SE JETANT DANS LES BRAS de Victoire. Ma chère amie, s","(77287, 77318)","(200564, 200595)"
Lagrave_Zabeth_1,"e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une","dre peine. Zabeth soupira, et SE JETA DANS LES BRAS DE SON père, qui éprouva, dans ce mo","(86876, 86904)","(200564, 200595)"
LaPlace_Collection_0,mment de me rendre la mienne. JE NE CROYAIS PAS QU'IL Y EÛT QUELQU'UN AU MONDE À QUI on pût reprocher ses sentimen,ngeai plus à me la reprocher; JE NE CROYAIS PAS QU'IL Y EÛT PERSONNE AU MONDE QUI dût prendre plus d'intérêt au,"(57076, 57130)","(426241, 426292)"
Lesuire_Crime_0,"plus, rien ne peut me sauver. JE SUIS SÛRE DE CE QUE JE VOUS DIS. Qu'avez-vous fait, cruelle? ","e secret qu'elle a “été élevée. JE SUIS SÛRE DE CE QUE JE “VOUS Dis, comme de mon existence. “V","(138764, 138798)","(227514, 227549)"
Louvet_Annee_0,"e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une",urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur,"(86876, 86904)","(143277, 143306)"
Louvet_Fin_0,t ma parole m'engage à éviter DE VOUS VOIR ET DE VOUS PARLER; je n'abuserai point de l'ind,connaît?—Elle a eu le plaisir DE VOUS VOIR ET DE VOUS PARLER.—Où cela?—Voilà ce que je ne ,"(36611, 36641)","(217944, 217974)"
