,Text in Lesuire_Crime,Text in B,Location in Lesuire_Crime,Location in B
Anonyme_Etourdi_0,". Ils veulent me donner pour éPOUSE À UN JEUNE-HOMME DE DIX-SEPT ans, moi qui en ai vingt. C'e",poussé le scrupule jusques à éPOUSER UN JEUNE HOMME DE DIX-SEPT ans pour pouvoir goûter sans ,"(70539, 70573)","(118675, 118708)"
Arnaud_Epoux_0,"“gens honnêtes sacrés pour moi. JE “RÉPANDRAI JUSQU'À LA DERNIÈRE GOUTTE DE “MON SANG, POur que vous soyez heu“reux aut",las! Le ciel m'est témoin que JE RÉPANDROIS JUSQU'À LA DERNIÈRE GOUTTE DE MON SANG POUR lui. Qu'il me prive de ses bi,"(450487, 450546)","(39922, 39979)"
Arnaud_Epoux_1,"ent instruits, repartis-je, de “TOUT CE QUE JE PUIS VOUS DIre; vous me “détaillez exactem","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","(521499, 521528)","(39922, 39979)"
Arnaud_Matinees_0,"e à le détruire dans l'esprit DE SON PÈRE ET DE SA MÈRE, afin que l'héritage leur res","vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , elle les pressait contre so","(148151, 148176)","(3890, 3915)"
Arnaud_Matinees_1,"r, qu'il en jouira noblement. C'EST “TOUT CE QUE JE PUIS FAIre, pour le “présent; mais, pa","miss, est à quelques pas d'ici AVEC UNE VOITURE TOUTE PRÊTE...-Portez-lui cette lettre...","(656934, 656964)","(3890, 3915)"
Arnaud_Sentiment_0,"e à le détruire dans l'esprit DE SON PÈRE ET DE SA MÈRE, afin que l'héritage leur res","es agréments de Julie; adorée DE SON PÈRE ET DE SA MÈRE, elle les aimait de même.On s","(148151, 148176)","(250164, 250189)"
Arnaud_Sentiment_1,onnez un instant d'emportement “DONT JE N'AI PAS ÉTÉ LE MAÎTRE. Je vais “me bannir de votre as,ant; pardonnez à un transport DONT JE N'AI PAS ÉTÉ LE MAÎTRE: JE me suis indigné contre le sor,"(246229, 246263)","(250164, 250189)"
Arnaud_Sentiment_2,"e. 
“Ah mon ami! peut-on croirE QU'IL Y “AIT, SUR LA TERRE, DES ÊTRes si malfai“sans? Quoi cette ","ableau affligeant! Se peut-il QU'IL Y AIT SUR LA TERRE DES ÊTRES aussi infortunés, aussi délai","(595555, 595592)","(250164, 250189)"
Beaumont_Clarice_0, désiller les yeux. Il allait NOUS PRENDRE POUR CE QUE NOUS SOMMES. Notre dernier stratagème a r," prendrons des chevaux, et nouS SUIVRONS LA CHAISE EN PLEIN JOUR, nous passerons pour des gens d","(142463, 142499)","(306905, 306941)"
Beckford_Vathek_0,"“dant le repas, nous causerons; NOUS “VERRONS CE QU'IL Y AURA DE MIEUX À “FAIre, nous prendrons nos mesures","e ce pleureur de Morakanabad, NOUS VERRONS CE QU'IL Y AURA DE MIEUX À FAIRE. 
Vathek ne répondit pas un s","(792076, 792123)","(42988, 43033)"
Benouville_Pensees_0,"r, qu'il en jouira noblement. C'EST “TOUT CE QUE JE PUIS FAIRE, POUR le “présent; mais, par la suit"," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE POUR LE service du Public. Au reste, ","(656934, 656973)","(1115, 1152)"
Bernardin_Paul_0, j'étais retiré dans un coin; JE NE LE PERDAIS PAS DE VUE; mais je semblois ne pas le v,"oigner de l'habitation. Comme JE NE LE PERDAIS PAS DE VUE, je me mis en marche après lu","(52065, 52092)","(324536, 324563)"
Berquin_Enfants_0,"e Perlencour. 
MA foi, mon ami, JE NE SAIS PAS TROP SI je pourrai te tenir parole, à ","îné. 
Léonor. Mais, Frédéric, JE NE SAIS PAS TROP SI JE dois permettre... Adélaïde. E","(505886, 505911)","(192235, 192260)"
bible_0,"e à le détruire dans l'esprit DE SON PÈRE ET DE SA MÈRE, afin que l'héritage leur res"," Mériba.

9 C’est lui qui dit DE SON PÈRE ET DE SA MÈRE : Je ne l’ai point vu, et
qui","(148151, 148176)","(875212, 875237)"
bible_1,"m'outrage. Vous “devez savoir QUE CE N'EST PAS MOI QUI “SUIS capable d'agir si lâchement, ","s-mêmes témoins que j’ai dit, QUE CE N’EST PAS MOI QUI
SUIS le Christ, mais que j’ai été ","(196948, 196978)","(875212, 875237)"
bible_2,"e la mort? mais est-il mort? 
C'EST CE QUE JE NE SAIS Pas. A-t-il été transporté à Pa","t ce que je dois
souhaiter, c’EST CE QUE JE NE SAIS PAS.

23 Car je suis pressé des d","(500940, 500965)","(875212, 875237)"
