,Text in Mercier_Jezennemours,Text in B,Location in Mercier_Jezennemours,Location in B
Anonyme_Etourdi_0,"cœur de l'homme; elle aimait, ET POUR LA PREMIÈRE FOIS DE SA VIE: ELLE voulait donc s'attacher ce cœ","eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE ELLE reçoit et donne mille baisers","(75548, 75588)","(62682, 62721)"
Arnaud_Epoux_0,"is cessé de vous aimer depuis LE PREMIER INSTANT QUE JE VOUS AI vue, j'ai traîné une vie horr",us sur-tout que j'ai aimé dès LE PREMIER INSTANT QUE JE VOUS AI vu: c'est cette tendre impres,"(369349, 369382)","(172924, 172957)"
Arnaud_Matinees_0,"montrez-le-moi tel qu'il est, JE VOUS LE DEMANDE AU NOM DE la vérité; faites-moi l'aveu ","striss ? Oui, ma chère fille , (EN LA SERRANT DANS SES BRAs, et essuyant ses larmes, ) c","(169214, 169242)","(411589, 411617)"
Arnaud_Sentiment_0,t secrètement sa défaite; car IL N'ÉTAIT PLUS EN SON POUVOIR DE résister à l'adoration respec,perçu de sa triste situation. IL N'ÉTAIT PLUS EN SON POUVOIR DE réparer ni de cacher son affr,"(59399, 59432)","(540550, 540583)"
Arnaud_Sentiment_1,"i j'ose embrasser vos genoux, CE N'EST PAS POUR MOI QUE JE viens vous prier, c'estpour v","t qu'un enfant inspire... ah! CE N'EST PAS POUR MOI QUE JE m'abaisserois... Richard, dai","(141156, 141184)","(540550, 540583)"
Arnaud_Sentiment_2,"ercle étroit de leur mollesse.JE NE VOUS PARLERAI POINT DES FEMMES, belle Florimonde! Je les ai ",nt l'entrée de leurs maisons. JE NE VOUS PARLERAI POINT DES FEMMES: j'ai beaucoup moins à m'en p,"(254379, 254415)","(540550, 540583)"
Beauharnais_Lettres_0,aisir singulier à l'entendre; MAIS JE NE SUIS POINT FAIT POUR aspirer à son cœur: elle me c,"je garderois le silence! moi! MAIS, JE NE SUIS POINT FAIT POUR être délateur. Il est une jus","(38697, 38728)","(77703, 77735)"
Beauharnais_Lettres_1,"e main qui lui était offerte) JE NE VOUS CACHE POINT QUE JE suis sans pain, sans amis, sa","iterait plus que vos mépris. 
JE NE VOUS CACHE POINT, QUE JE désapprouve votre conduite en","(304774, 304803)","(77703, 77735)"
Beckford_Vathek_0,"r de l'homme; elle aimait, et POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher","proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","(75551, 75582)","(77351, 77382)"
Beckford_Vathek_1,"s mouvement de son cœur, sut, POUR LA PREMIÈRE FOIS DE SA VIE, leur en imposer, parce qu'il"," profonde où elle se trouvait POUR LA PREMIÈRE FOIS DE SA VIE, le calme imposant de la nuit","(339021, 339052)","(77351, 77382)"
Benouville_Pensees_0,mblable! Monval me disait que CE N'ÉTAIT RIEN ENCORE AUPRÈS DE CE QU'IL avait vu; que du côté de la W,font toute la puissance: mais CE N'ÉTAIT RIEN ENCORE AUPRÈS DE CE QUI devait suivre. Quels vils esc,"(244823, 244864)","(10868, 10907)"
Cazotte_Diable_0,"-effet dans un autre univers, QUE FAIS-JE ICI? QUE NE VAIS-JE rejoindre ce père adoré? Alor",« Digne femme ! m'écriai-je ; QUE FAIS-JE ICI ? QUE NE VAIS-JE me mettre à l'abri de vos sag,"(362709, 362740)","(44411, 44443)"
Charriere_Femmes_0," seul mot de votre bouche, et JE SERAI LE PLUS FORTUNÉ DES HOMMES, et vous ne vous repentirez j","l avec Emilie; mais avec vous JE SERAI LE PLUS FORTUNÉ DES HOMMES, pourvu que vous vous trouvie","(136494, 136529)","(94472, 94507)"
Charriere_Lausanne_0,"r de l'homme; elle aimait, et POUR LA PREMIÈRE FOIS DE SA VIE: ELLE voulait donc s'attacher ce cœ","a l'air encore tout effrayée. POUR LA PREMIÈRE FOIS DE SA VIE ELLE a mal passé la nuit, et je la","(75551, 75588)","(88751, 88787)"
Constant_Laure2_0,"e là, Jezennemours lui fit un RÉCIT DE TOUT CE QUI S'ÉTAIT PASSÉ entre lui et M De Chaterbaune","consoler: alors, elle me fit lE RÉCIT DE TOUT CE QUI S'ÉTAIT PASsé; elle me dit que Mr. de Fla","(351444, 351478)","(108653, 108687)"
Cottin_Claire_0,ne crois pas plaisanter; il n'APPARTIENT PAS À TOUT LE MONDE DE SAVOIR être voluptueux; c'est une ma,"x plaisir, et je vois qu'il n'APPARTIENT PAS À TOUT LE MONDE DE SAVOIR l'apprécier. Vous avez raison","(16840, 16880)","(61659, 61699)"
Crebillon_Atheniennes_0,"e dit-elle, que j'ai souffert DEPUIS QUE JE NE VOUS AI VU, et que vous avez dû souffrir"," autant d'impatience, que si, DEPUIS QUE JE NE VOUS AI VU, un siècle se fût écoulé. Ne ","(209943, 209970)","(76748, 76775)"
Crebillon_Atheniennes_1,"vrait des combats journaliers AVEC TANT DE COURAGE ET DE SUCCÈS, mais de ces envieux qui ne s","responsable, se porta partout AVEC TANT DE COURAGE, ET DE SUCCÈS, que les spartiates se virent","(327406, 327439)","(76748, 76775)"
Crebillon_Conte_0,"dait à ce repas. Jezennemours EUT TOUTES LES PEINES DU MONDE À SE retirer: lui, qui, dans toute","émoigna tant d'amour, qu'elle EUT TOUTES LES PEINES DU MONDE À SE souvenir de ses résolutions. ","(37805, 37840)","(89397, 89432)"
Crebillon_Conte_1,"'elle ne pouvait plus éviter, IL NE LUI FUT PAS POSSIBLE DE se déguiser tout l'empire qu'","nion qu'elle eût d'elle-même, IL NE LUI FUT PAS POSSIBLE DE présumer qu'elle eût fait sur","(51325, 51354)","(89397, 89432)"
Diderot_Religieuse_0,"s; elle était ma consolation; ELLE N'EST PLUS, ET JE RESTE SEULE au milieu du monde; et pour c","us disais alors : mais, hélas ELLE N'EST PLUS, ET JE RESTE SEULE... 
Elle ne tarda pas à me te","(148037, 148071)","(119468, 119502)"
Dorat_Malheurs_0,"ous connaître réciproquement. JE NE VOUS EN DIS PAS DAVANTAGE...-monsieur, reprit Jezennemo","ent, M De Syrcé l'accompagne: JE NE VOUS EN DIS PAS DAVANTAGE. Je suis pénétrée de terreur.","(304444, 304475)","(323805, 323836)"
Dorat_Sacrifices_0,"evées, de ces édifices serrés LES UNS CONTRE LES AUTRES, ET DE cette pépiniere d'hommesagiss"," de les agacer, de les aigrir LES UNES CONTRE LES AUTRES, ET DE leur procurer au moins les se","(98194, 98226)","(131221, 131254)"
Ducray_Cinquante_0,"sirer de vous parler; un mot, UN SEUL MOT DE VOTRE BOUCHE, ET JE serai le plus fortuné des hom","s? que voulez-vous?--Entendre UN SEUL MOT DE VOTRE BOUCHE, ET JE me retire. Ce mot?...--Est-il","(136462, 136496)","(160611, 160645)"
