,Text in Sade_120,Text in B,Location in Sade_120,Location in B
Anonyme_Etourdi_0,tre mère s'était déterminée à PASSER LE RESTE DE SES JOURS DANS UN petit appartement secret qu'i,vœu fatal qui la comdamnait à PASSER LE RESTE DE SES JOURS DANS UNE prison. Elle était également ,"(204923, 204959)","(191523, 191560)"
Arnaud_Epoux_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","(428067, 428096)","(93940, 93969)"
Arnaud_Sentiment_0,"quée, il fit trouver chez lui LA FEMME ET LA FILLE DE CE malheureux, tout était bien f","; Nelly ne pouvait m'oublier; LA FEMME ET LA FILLE DE CE barbare parent, aussi cruelle","(39178, 39204)","(867288, 867314)"
Beaumont_Clarice_0,"la le motif de ses plaintes ; IL FAUT SI PEU DE CHOSES POUR déplaire à un libertin, tant ",. Dieu me garde de plus grands MALHEURS QUE DE CELUI D'ÊTRe pauvre; je n'ai pas besoin d,"(248396, 248425)","(341190, 341218)"
bible_0,"t. Elle n'avait jamais quitté LA MAISON DE SON PÈRE, ET LE scélérat dès l'âge de douze a","s, et elle le fit entrer dans LA MAISON DE SON PÈRE. ET LE père
de la jeune femme le voy","(47689, 47717)","(1079423, 1079451)"
bible_1,jets. Son ventre était ondoyé COMME LES FLOTS DE LA MER ET elle avait une fesse mangée p,"omme un fleuve, et ta justice COMME LES FLOTS DE LA MER ;

19 ET ta postérité eût été comme le","(93855, 93883)","(1079423, 1079451)"
Cazotte_Diable_0," faire coucher les enfants et DE PASSER UNE PARTIE DE LA NUIT à boire, rien qu'avec les 4 v","t le jour ne me forçaient pas DE PASSER UNE PARTIE DE LA NUIT au milieu de la campagne, ou ","(472753, 472784)","(93198, 93229)"
Charriere_Lausanne_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e","(428067, 428096)","(141417, 141446)"
Constant_Laure1_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que","(428067, 428096)","(40664, 40693)"
Constant_Laure2_0," le faire rouer, messieurs, c'EST TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","(428063, 428096)","(78630, 78663)"
Crebillon_Atheniennes_0,"de, depuis 15 ans jusqu'à 18, NI AU-DESSUS NI AU-DESSOUS, ET pas dessus toute qualité, il ","e, le Strymon n'étant guéable NI AU-DESSUS, NI AU-DESSOUS, ET lui, n'ayant, ni ne pouvant r","(302269, 302299)","(897961, 897992)"
Crebillon_Conte_0,"é mademoiselle,"" dit Durcet, ""VOUS AURIEZ BIEN PU VOUS DISPENSER DE relever ainsi les enfantillag"," affaire; mais, en ce cas-là, VOUS AURIEZ BIEN PU VOUS DISPENSER DE me parler de lui. Comme ce pr","(343435, 343472)","(454469, 454506)"
Crebillon_Conte_1,"emmes, il ne les toucha pas.) IL N'EN FUT PAS DE MÊME DES trois autres amis, relativeme"," ses mauvaises plaisanteries, IL N'EN FUT PAS DE MÊME DES regards tendres que, malgré s","(417939, 417966)","(454469, 454506)"
Crebillon_Nuit_0,"misère effroyable, et c'était PAR LE PLUS GRAND HASARD DU MONDE, que cette charmante fille, q","ue vous avez à sacrifier. Si, PAR LE PLUS GRAND HASARD DU MONDE, il se trouvait qu'une femme ","(549695, 549728)","(6928, 6961)"
Diderot_Jacques_0, détermina de constater enfin LES JEUNES FILLES ET LES JEUNES GARÇONS que l'on pouvait mettre au ra,t un moment où presque toutes LES JEUNES FILLES ET LES JEUNES GARÇONS tombent dans la mélancolie ; ,"(706344, 706383)","(313273, 313312)"
Diderot_Religieuse_0,"tait pas illustre, elle était ORPHELINE DE PÈRE ET DE MÈRE, ELLE l'avait été fort jeune, et co","aractère d'exagérer. Elle est ORPHELINE DE PÈRE ET DE MÈRE ; ELLE est bien née, et son éducatio","(156973, 157007)","(395781, 395816)"
Dorat_Malheurs_0," quelque chose là-dessous, te DIS-JE, JE NE L'AI JAMAIS AIMÉ, le vieux Gardien, il est méc"," me prouvât le contraire. Que DIS-JE! JE NE L'AI JAMAIS AIMÉE; je me trompais moi-même, tou","(199152, 199182)","(100953, 100984)"
Dorat_Sacrifices_0,"2 de long, il avait 30 ans et DE LA PLUS JOLIE FIGURE DU MONDE. Briseeul avait un hochet si ",e; ils prétendent qu'elle est DE LA PLUS JOLIE FIGURE DU MONDE; je n'ai point vu cela. Ils s,"(89536, 89568)","(42437, 42469)"
Fourqueux_Zely_0," le faire rouer, messieurs, c'EST TOUT CE QUE JE PUIS VOUS dire, indépendamment de bille","“retenez bien mes conseils, c'EST TOUT “CE QUE JE PUIS VOUS laisser. Je vous “ai enlevé d","(428063, 428091)","(14294, 14323)"
Genlis_Adele_0,our dépuceler la petite fille DANS LES BRAS DE SA MÈRE ET tout fut arrangé avec tant d',"ûle du désirs de se retrouver DANS LES BRAS DE SA MÈRE ET de son père... à ces mots, la","(39477, 39504)","(1078670, 1078697)"
Genlis_Chevaliers_0,"faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, c'est que, dans une de nos s","(428067, 428096)","(184248, 184277)"
Gorjy_Voyage_0,"e pensionnaires de qualité ou DANS LE SEIN DE SA FAMILLE, ET d'une famille de distinction ","t ses sujets en père, “vivant DANS LE SEIN DE SA FAMILLE “COMME un simple citoyen, donnant à ","(71461, 71491)","(24997, 25030)"
Jacquin_Parisiennes_0,"la le motif de ses plaintes ; IL FAUT SI PEU DE CHOSES POUR déplaire à un libertin, tant "," comme la source du Bonheur. 
IL FAUT SI PEU DE CHOSE POUR occuper notre cœur, qu'il est","(248396, 248425)","(147547, 147575)"
Kimber_Thompson_0,e s'était déterminée à passer LE RESTE DE SES JOURS DANS UN petit appartement secret qu'i,lui faire passer heureusement LE RESTE DE SES JOURS DANS UNE retraite loin du bruit etamp;,"(204930, 204959)","(375595, 375625)"
Laclos_Liaisons_0,"rze, devait me convaincre que JE N'ÉTAIS PAS AU BOUT DE MES caravanes ; \[]je m'en aperçu","des merveilles de la soirée. 
JE N'ÉTAIS PAS AU BOUT DE MES inquiétudes. Il y avait à pei","(177064, 177093)","(215973, 216002)"
