,Text in Cazotte_Ollivier,Text in B,Location in Cazotte_Ollivier,Location in B
Arnaud_Epoux_0, ne me permet pas de balancer SUR LE PARTI QUE JE DOIS PRENDRE. Ordonnez à vos gens de me su,saient). Mon cœur m'a éclairé SUR LE PARTI QUE JE DOIS PRENDRE; je serai sans doute heureuse,"(5855, 5887)","(238607, 238639)"
Arnaud_Sentiment_0,"res langes pour l'envelopper. IL LE PREND DANS SES BRAS, LE serre; il sanglote, il veut e"," attendri pour cet infortuné; IL LE PREND DANS SES BRAS, LE rappelle à la vie; James ouvr","(13789, 13818)","(55852, 55881)"
Beaumont_Clarice_0," ne me permet pas de balancer SUR LE PARTI QUE JE DOIS PRENDRE. ORDONNEZ à vos gens de me suivre, etab"," vous permettre de me rejoindrE, JE NE PUIS RIEN FAIRE DE MIEUX QUE DE CONSUlter avec vous, sur le parti q","(5855, 5897)","(177969, 178015)"
bible_0,"ieur l'abbé, dit le comte, en SE LEVANT DE DESSUS SON LIT, ET lui montrant le pommeau de so"," arriva sur le soir que David SE LEVA DE DESSUS SON LIT, ET comme
il se promenait sur la ","(160338, 160369)","(1294564, 1294593)"
bible_1,arde-robe voisine: il y passe ET NE LA TROUVE POINT. MAIS LA garde-robe a une fenêtre qui ,"Le moqueur cherche la sagesse ET NE LA TROUVE POINT ; MAIS LA science
est aisée à trouver p","(258670, 258700)","(1294564, 1294593)"
Charriere_Femmes_0,"nce: "" Facreddin, lui dit-il, JE SUIS LE PLUS HEUREUX DE TOUS LES HOMMES. J'ai trouvé... mais le temps"," ma mère comme par une autre, JE SOIS LE PLUS HEUREUX DE TOUS LES HOMMES. 
-Vous ne m'en paraissez pas","(254517, 254559)","(99383, 99425)"
Charriere_Lausanne_0,heureuse rencontre à laquelle JE DOIS LE BONHEUR DE VOUS CONNAÎTRE; permettez que je reprenne ma," ami, votre protecteur, à qui JE DOIS LE BONHEUR DE VOUS CONNAÎTRE, examine et juge avec vous si","(58404, 58440)","(210808, 210844)"
Cottin_Claire_0,"l'avenir, et m'inquiétant peu DE CE QUI SE FAISAIT AUTOUR DE moi. Il ne se passait point d","mblait ne prendre part à rien DE CE QUI SE FAISAIT AUTOUR DE lui, et répondait à peine que","(148748, 148778)","(188507, 188537)"
Crebillon_Conte_0,n'en concevois pas d'alarmes. JE NE SUIS PAS DE CES GENS qui s'inquiètent volontiers: ,"orce... qui... c'est que moi, JE NE SUIS PAS DE CES PERSONNES à qui l'on peut dire de ces c","(145832, 145858)","(586799, 586830)"
Diderot_Neveu_0,n'en concevois pas d'alarmes. JE NE SUIS PAS DE CES GENS QUI s'inquiètent volontiers: quan,t je parle comme il convient. JE NE SUIS PAS DE CES GENS QUI méprisent les moralistes ; il,"(145832, 145862)","(93849, 93879)"
Dorat_Malheurs_0,"-je pense qu'oui, Barin; mais JE NE SAIS TROP CE QUE JE puis lui avoir dit; je crois ","ers Paris; tout me manque, et JE NE SAIS TROP CE QUE JE désir. Je suis bien heureuse ","(65669, 65694)","(182403, 182428)"
Dorat_Sacrifices_0,"-je pense qu'oui, Barin; mais JE NE SAIS TROP CE QUE JE puis lui avoir dit; je crois ",e ne sais plus ce que je dis; JE NE SAIS TROP CE QUE JE deviendrai: mais ce que je sa,"(65669, 65694)","(16562, 16587)"
Fievee_Dot_0,"vi pour lui porter la parole. LA PREMIÈRE FOIS QUE JE LE VIS sortantde son palais, suivi d","e si frappante avec son père, LA PREMIÈRE FOIS QUE JE LE VIS après la mort de celle qu'il ","(107179, 107209)","(32805, 32835)"
Genlis_Adele_0,"vi pour lui porter la parole. LA PREMIÈRE FOIS QUE JE LE VIS sortantde son palais, suivi d","une antipathie invincible dès LA PREMIÈRE FOIS QUE JE LE VIS, et, pour mon malheur, je pro","(107179, 107209)","(812814, 812844)"
Genlis_Chevaliers_0,"l'éclat; le feu qui les anime PASSE DANS LE CŒUR DE TOUS LES CHEVALIERS, l'embrase d'une ardeur saint", . Cet enthousiasme universel PASSA DANS LE CŒUR DE TOUS LES CHEVALIERS spectateurs de cette scène to,"(96561, 96602)","(677345, 677386)"
Gerard_Comte_0,"i qu'il me faut combattre, et VOUS RENDRE LE REPOS QUE JE VOUS ôtai à tous par un instant de","euse, si, en mourant, je puis VOUS RENDRE LE REPOS QUE JE VOUS ai ravi sans le vouloir. 
Jug","(26270, 26302)","(409646, 409678)"
Kimber_Thompson_0,"yer; cependantsa tête revient DE TEMPS EN TEMPS AU-DESSUS DE L'EAU. Je vole à son secours, habil","s que les Marsouins sautoient DE TEMPS EN TEMPS AU-DESSUS DE L'EAU, se jouaient sur la surface d","(138891, 138927)","(573323, 573359)"
Lagrave_Sophie_0," "" en finissant ainsi, Badine FIT UNE PROFONDE RÉVÉRENCE ET SE RETIRA.Enguerrand et Barin continuèr","t de me forcer à vous céder la PLACE.“ ELLE LUI FIT UNE PROFONDE RÉVÉRence, et se retira dans un aut","(61584, 61623)","(210181, 210221)"
Lagrave_Zabeth_0," "" en finissant ainsi, Badine FIT UNE PROFONDE RÉVÉRENCE ET SE RETIRA.Enguerrand et Barin continuèr","as répondre à sa mère: il lui FIT UNE PROFONDE RÉVÉRENCE, ET SE RETIRA. Il remonta dans son appartem","(61584, 61623)","(243903, 243943)"
Lesuire_Crime_0,"as, rentre dans la cabane, et PASSE LE RESTE DE LA NUIT DANS l'agitation. Il fut entendu p","uite je jettais le mouchoir, jE PASSOIS LE RESTE DE LA NUIT DAns des plaisirs, terminés par ","(18800, 18830)","(529303, 529335)"
Marmontel_Incas_0,"et Ollivier, ignorant le sort DE TOUT CE QU'IL AVAIT DE PLUS cher, est obligé de partir. U"," ils s'étaient fait des dieux DE TOUT CE QU'IL Y AVAIT DE PLUS hideux, de plus horrible; car","(21193, 21223)","(282508, 282540)"
Nerciat_Aphrodites_0,"ppartement de la dame. Badine LE PREND PAR LA MAIN, ET LE conduit jusqu'au chevet du li","e. Suis-moi, petit imbécille... 
ELLE LE PREND PAR LA MAin et le mène grand train à di","(64216, 64243)","(365646, 365672)"
Nerciat_Felicia_0,ait Zaman: nouvel acteur dont IL N'EST PAS HORS DE PROPOS DE donner une légère idée. C'éta,"it à ses plaisirs, et surtout IL N'EST PAS HORS DE PROPOS DE se ménager pour une féconde j","(247901, 247931)","(41573, 41603)"
Puttelange_Roi_0,ait Zaman: nouvel acteur dont IL N'EST PAS HORS DE PROPOS DE donner une légère idée. C'éta,"ontre tout, c'est avoir tort. IL N'EST PAS HORS DE PROPOS DE marquer ici, que la gent sace","(247901, 247931)","(14393, 14423)"
Riccoboni_Histoire_0,"s pas, rentre dans la cabane, ET PASSE LE RESTE DE LA NUIT dans l'agitation. Il fut ente","ssements, en cris douloureux, ET PASSA LE RESTE DE LA NUIT à se plaindre avec Hélene du ","(18797, 18825)","(56722, 56750)"
Riccoboni_LettreJuliette_0,"la plate-forme, en terrassant TOUT CE QUI SE TROUVE SUR SON PASSAGE. Les imans, effrayés, s'éloig","out ce qu'il touche, renverse TOUT CE QUI SE TROUVE SUR SON PASSAGE, va comme un fou au travers d","(162465, 162502)","(112718, 112755)"
Riccoboni_MylordRivers_0,"ur, lui répondit le duc, mais JE VOUS PRIE DE VOULOIR BIEN OUBLIER cette petite disgrâce, et la ","rend entre vos deux pupilles, JE VOUS PRIE DE VOULOIR BIEN LIRE ma lettre, pour vous assurer ","(74307, 74343)","(67969, 68002)"
Sade_Philosophie_0,"l'on met, de part et d'autre, EN USAGE TOUTES LES RESSOURCES DE LA tactique pour attaquer et pou","e qui, pour se réveiller, met EN USAGE TOUTES LES RESSOURCES DE LA cruauté, qu'il est peu de gen","(311360, 311396)","(143588, 143624)"
Segur_Correspondance_0,"'abandonner sur une route, et JE NE DOUTE POINT QU'IL NE SOIT devenu la proie de ses perséc","ancien ami M. 
de Gourville . JE NE DOUTE POINT QU'IL NE SOIT bien dans ses affaires. S'il ","(226557, 226588)","(360573, 360604)"
Senac_Emigre_0,"reux chevalier succombe enfin SOUS LE POIDS DE TANT DE MAUX réunis.Les genoux se plient, ","leins d'horreur, et affaissée SOUS LE POIDS DE TANT DE MAUX. C'est dans le sein de la pai","(168953, 168982)","(137469, 137498)"
Souza_Adele_0,"pent sans cesse les sanglots, JE NE VIVAIS QUE POUR ELLE; JE ne la verrai plus! Il faut qu","qui les rend tous semblables: JE NE VIVAIS QUE POUR ELLE, JE n'aimais qu'elle, et il n'éta","(169343, 169373)","(75084, 75114)"
Voltaire_Candide_0,"acreddin, lui dit-il, je suis LE PLUS HEUREUX DE TOUS LES HOMMES. J'ai trouvé... mais le temps", ; avançons ; vous allez être LE PLUS HEUREUX DE TOUS LES HOMMES. Quel plaisir auront Los Padr,"(254525, 254559)","(64619, 64653)"
Voltaire_Princesse_0,"e vous pourrez me recevoir. J'AI DES CHOSES DE LA DERNIÈRE CONSÉQUENCE À VOUS dire. "" les femmes entrent; F","es-la entrer au plus vite ; j'AI DES CHOSES DE LA DERNIÈRE CONSÉQUENCE À LUI dire, et je veux que vous y s","(104160, 104207)","(64268, 64314)"
