,Text in Arnaud_Sentiment,Text in B,Location in Arnaud_Sentiment,Location in B
Anonym_Suzon_0,"t bientôt au rang des quinze, ET QUE DANS LA SUITE IL NE fût un des trois présidents. "," chagrin qu'il m'avait causé, ET QUE DANS LA SUITE IL NE serait plus aussi curieux. Co","(1118235, 1118261)","(19336, 19362)"
Arnaud_Epoux_0,"s ma mère, que je m'honorerai DE PORTER LE NOM DE VOTRE FILS. Hélas, seriez-vous aussi ine","rès de vous, Agathe est digne DE PORTER LE NOM DE VOTRE FILLE. Je ne vivrai donc que le mom","(373255, 373285)","(136993, 137024)"
Arnaud_Epoux_1," la vie? Comment j'existerai? JE DÉCHIRERAI LE SEIN DE LA TERRE; JE L'ARROSERAI DE MES SUEURS, DE MES LARMES; j'en arracherai assez d'alim","ois plus chère que la mienne, JE DÉCHIRERAI LE SEIN DE LA TERRE, JE L'ARROSERAI DE MES SUEURS, DE MES LARMES: un regard d'Agathe serait ma","(458764, 458842)","(136993, 137024)"
Arnaud_Epoux_2,"ilde, du bonheur de l'empire! ET C'EST MOI! C'EST MOI QUI DOIS lui annoncer qu'il faut qu'el","rs peut-être de la nécessité; ET C'EST MOI, C'EST MOI QUI EN suis l'auteur! Que ne laissai","(494724, 494756)","(136993, 137024)"
Arnaud_Epoux_3,"ns le cœur, vous saisiriez... JE SUIS LE PLUS À PLAINDRE DES HOMMES.-L'amitié...-l'amitié, miss..","ais que j'ai peu de bien, que JE SUIS LE PLUS À PLAINDRE DES HOMMES; qu'il faut que je combatte, ","(921810, 921847)","(136993, 137024)"
Arnaud_Matinees_0,"es agréments de Julie; adorée DE SON PÈRE ET DE SA MÈRE, ELLE LES aimait de même.On serait tent","vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , ELLE LES pressait contre son sein, leu","(250164, 250199)","(3890, 3926)"
Arnaud_Matinees_1,"s prononcé ces paroles, qu'il TOMBE SANS CONNAISSANCE DANS LES BRAS DE SON parent. Il revient à la vie, "," ( et à ces mots il perd l'usaGE DES SENS, IL EST TOMBÉ SANS CONNAISSANCE dans les bras de son ami qui, ","(414789, 414833)","(3890, 3926)"
Arnaud_Matinees_2," se relever, et elle reprend: SONGEZ QUE C'EST POUR LA DERNIÈRE FOIS QUE JE VOUS entretiens de mes faiblesses.",homme riche! y a-t-il qualité PAREILLED CELLELÀ ? SONGEZ QUE C'EST POUR LA DERNIère fois que je vous commande.,"(517467, 517517)","(3890, 3926)"
Arnaud_Matinees_3,"t par effacer: était-il seul, IL NE LUI ÉCHAPPAIT QUE CES MOTS: le temps est bien rapide! 
E","hanie, Géminvile relevait un oIL PRESQUE ÉTEINT ; IL NE LUI ÉChappait que ces mots : « C'est","(874719, 874751)","(3890, 3926)"
Arnaud_Matinees_4,", vous me rendrez mon fils... IL N'EST PAS POSSIBLE, NON, IL N'EST PAS POSSIBLE qu'il voie et qu'il entende v"," affreuse vérité! · Seroit-ce LÀ CET ÊTRE QUI SE DÉCORE DU NOM D'HOMME? IL N'ESt pas possible; non, il n'est ","(991937, 991986)","(3890, 3926)"
Arnaud_Matinees_5,la justice et de la religion. IL EST ASSEZ INUTILE D'OBSERVER QUE CE spectacle était une image emb,"tre devant les yeux cet 'acte DE BIENFAISANCE , QU'ELLE APPELAIT UN trait inexcusable de dissipati","(1091062, 1091100)","(3890, 3926)"
Beauharnais_Lettres_0,"(Et Batilde regarde le maire, EN VERSANT UN TORRENT DE LARMES) QUEL autre qu'Archambaud aurait pu","téphanie! s'écrie-t-il alors, EN VERSANT UN TORRENT DE LARMES, QUEL père les Dieux vous ont donné","(513926, 513963)","(21348, 21385)"
Beaumont_Clarice_0,"isération; oui, je la mérite; QUE NE POUVEZ-VOUS LIRE DANS MON CŒUR! Il est inutile de me rappele","itement qu'on aura fait à ma mÈRE? AH! CHARMANTE CLARICE, ME RÉPONDit ce monstre, que ne pouvez-v","(229687, 229724)","(165002, 165039)"
Beaumont_Clarice_1,me procurerai ma subsistance; IL ME FAUT SI PEU DE CHOSE POUR VIVRE! Du moins je vous verrai; je ,. Dieu me garde de plus grands MALHEURS QUE DE CELUI D'ÊTRE PAUVre; je n'ai pas besoin d'une f,"(257153, 257190)","(165002, 165039)"
Benoist_Elisabeth_0," l'adorerai en secret... mais LE VOIR DANS LES BRAS D'UNE AUTRE; qu'une autre en soit aimée, "," jamais, jamais tu ne pourras LE VOIR DANS LES BRAS D'UNE AUTRE sans souffrir mille morts, pu","(114997, 115030)","(211579, 211612)"
Benoist_Elisabeth_1,"-votre bonheur! Ah! Monsieur! IL N'EST PAS EN MON POUVOIR DE faire votre bonheur, ni le mi","e j'ai su inspirer à Luzan. S'IL N'EST PAS EN MON POUVOIR DE rendre son amour éternel, au ","(184098, 184128)","(211579, 211612)"
Benouville_Pensees_0,"ut des travailleurs... tenez, TOUT CE QUE JE PUIS FAIRE POUR vous, est de vous faire la ch","ne m'en point offenser, c'est TOUT CE QUE JE PUIS FAIRE POUR le service du Public. Au rest","(592347, 592377)","(1119, 1149)"
Bernardin_Chaumiere_0,mylord... arrêtez.-D'ailleurs NE VOUS AI-JE PAS PRÉVENU QUE Nelly ignoreroit les faibles ,"nt! Dit le brame hors de lui, NE VOUS AI-JE PAS PRÉVENU QUE la vache était adorée des bra","(906165, 906194)","(15768, 15797)"
Bernardin_Paul_0,"on ouvrage, s'écrie Thaley! C'EST MOI QUI SUIS LA CAUSE DE leur infortune! Oh! Ils auron","veux m'accabler de chagrin. C'EST MOI QUI SUIS LA CAUSE DE toutes tes peines, et de cell","(81979, 82007)","(172199, 172227)"
Berquin_Enfants_0,"riote? 
Salvini avec vivacité SE JETTE EN PLEURANT DANS LES BRAS du lord:-par-tout, par-tout o",elle restât à la maison. Elle SE JETA EN PLEURANT DANS LES BRAS de sa mère. Ah! Ma chère mama,"(836679, 836713)","(98743, 98776)"
bible_0,e est adressée; elle est de l'HOMME LE PLUS TENDRE ET LE PLUS passionné à la femme la plus ,"on Dieu t’aura donnés ;

54 l’HOMME LE PLUS TENDRE ET LE PLUS délicat d’entre vous regarder","(19878, 19909)","(848942, 848973)"
bible_1,"! J'irais me jeter aux genoux DE MON PÈRE ET DE MA MÈRE, ET je serais sa femme. Le pauvre","e te prie
que je prenne congé DE MON PÈRE ET DE MA MÈRE ; ET puis je te suivrai.
Et il lui","(21398, 21427)","(848942, 848973)"
bible_2,"es agréments de Julie; adorée DE SON PÈRE ET DE SA MÈRE, elle les aimait de même.On s","très belle ; et après la mort DE SON PÈRE ET DE SA MÈRE, Mardochée
l’avait prise pour","(250164, 250189)","(848942, 848973)"
bible_3,"ues amis; nous nous saisirons DE LUI, SANS LUI FAIRE AUCUN MAL, ET nous l'entraînerons à une bar","milieu de l’assemblée, sortit DE LUI SANS
LUI FAIRE AUCUN MAL.

36 ET ils en furent tous épouvantés","(901377, 901413)","(848942, 848973)"
Cazotte_Ollivier_0," attendri pour cet infortuné; IL LE PREND DANS SES BRAS, LE rappelle à la vie; James ouvr","res langes pour l'envelopper. IL LE PREND DANS SES BRAS, LE serre; il sanglote, il veut e","(55852, 55881)","(13789, 13818)"
Charriere_Lausanne_0,"e de toutes les législations, DE TOUS LES PAYS, DE TOUS LES ÂGES; nous le sçavons: l'humanité ","ot nous amènent des étrangers DE TOUS LES PAYS, DE TOUS LES ÂGES, de tous les caractères, mais","(1185521, 1185555)","(24472, 24506)"
Chevrier_Colporteur_0,".. ah! Mon ami, s'écrie Bell, EN SE JETANT AU COU DE SON mari, mon ami, qu'ai-je vu? E",". Non, non, reprit la baronne EN SE JETANT AU COU DE SON amant, vous ne partirez point","(573628, 573654)","(126073, 126099)"
Constant_Laure1_0,d entièrement de vous. Hélas! JE NE VOUS AI PAS ENCORE DIT à quel point je vous adorois.,"imagination devait y placer. 
JE NE VOUS AI PAS ENCORE DIT le nom de notre héros: il est","(659717, 659745)","(130946, 130974)"
Constant_Laure2_0,"n, je ne suis point coupable: JE SUIS LA PLUS MALHEUREUSE DES FEMMES. À ces mots, de nouvelles lar","ez pas d'être aussi mon ami, oU JE SUIS LA PLUS MALHEUREUSE DES FEMMes, et je l'embrassai; ce n'es","(64832, 64870)","(87370, 87408)"
Cottin_Claire_0,rouble vous instruit assez de CE QUI SE PASSE DANS MON CŒUR. Il y a long-temps que je brû,"m'a vue, mais qu'il sait tout CE QUI SE PASSE DANS MON CŒUR. J'avais espéré pourtant l'ar","(304195, 304224)","(140015, 140044)"
Crebillon_Atheniennes_0,"amour; je le sais: mais c'est TOUT CE QUI EST EN MON POUVOIR. Si vous m'aimiez, si vous av","ur vous, dans cette occâsion, TOUT CE QUI EST EN MON POUVOIR; et, de votre côté, vous ne l","(20197, 20227)","(674586, 674616)"
Crebillon_Conte_0,"'état où se trouvait Mélanie; ELLE NE METTAIT POINT DE BORNES À SA douleur, et c'était, peut-êtr","uite par un si louable motif, ELLE NE METTAIT POINT DE BORNES À SA compassion. était-il donc pos","(163848, 163884)","(13796, 13832)"
