,Text in Arnaud_Epoux,Text in B,Location in Arnaud_Epoux,Location in B
Anonym_Suzon_0,"e décision de notre destinée, IL Y AVAIT TROP LONG-TEMPS QUE JE portais le malheur même impri",'avait faite de m'entretenir. IL Y AVAIT TROP LONG TEMPS QUE JE désirois de quitter cette méc,"(331753, 331786)","(5154, 5187)"
Arnaud_Matinees_0," Avez-vous bien pensé... non, JE NE VOUS OBÉIRAI POINT, JE NE VOUS OBÉIRAI POINT; j'irai ce soir à vos genoux,","... cruel pas, rent, qui plutôTÊTES MON BOURREAU, JE NE VOUS OBÉIRAI POINT! JE Ne vous obéirai point!..... Eh!","(20162, 20212)","(34304, 34354)"
Arnaud_Matinees_1,"onsieur, il est encore temps: NE NOUS VOYONS PLUS, NE NOUS VOYONS PLUS... que dites-vous? Ma chère A","us ne m'aviez que trop présentÉ L'ABÎINE OÙ JE ME VOIS PRÉCIPITÉE !... Mon cher Bedmer, ne nous voyo","(31999, 32039)","(34304, 34354)"
Arnaud_Matinees_2,"i mérite tous les hommages... NON, JE NE VOUS SUIVRAI POINT: JE reste ici, ici... ne craignez"," sur son sein, et court la porTER DANS SON LIT. CES SEULS MOTS · échappent à l'infortunée :-N","(42588, 42621)","(34304, 34354)"
Arnaud_Matinees_3,ours elle devenait plus vive. JE NE ME LASSERAI POINT DE LE REDIRE: rien n'est comparable dans l,"ois point sur mes sentiment, iLS DEVIENDRAIENT. . . MON AINI... 
. 49 l'amour le plus décidé ; m","(150080, 150116)","(34304, 34354)"
Arnaud_Sentiment_0,"titres auprès de vous, Agathe EST DIGNE DE PORTER LE NOM DE votre fille. Je ne vivrai don"," coupable; je sais tout: elle EST DIGNE DE PORTER LE NOM DE mon épouse, et ce cher enfant","(136983, 137012)","(431691, 431720)"
Arnaud_Sentiment_1,"ois plus chère que la mienne, JE DÉCHIRERAI LE SEIN DE LA TERRE, JE L'ARROSERAI DE MES SUEURS, DE MES LARMES: un regard d'Agathe serait ma"," la vie? Comment j'existerai? JE DÉCHIRERAI LE SEIN DE LA TERRE; JE L'ARROSERAI DE MES SUEURS, DE MES LARMES; j'en arracherai assez d'alim","(191847, 191925)","(431691, 431720)"
Arnaud_Sentiment_2,"rs peut-être de la nécessité; ET C'EST MOI, C'EST MOI QUI EN suis l'auteur! Que ne laissai","ilde, du bonheur de l'empire! ET C'EST MOI! C'EST MOI QUI DOIS lui annoncer qu'il faut qu'el","(200772, 200802)","(431691, 431720)"
Arnaud_Sentiment_3,"otre vue; et aussitôt sa voix SE PERD DANS UNE ABONDANCE DE SANGLOTS. Je vous l'avouerai, monsieur",à ce mot la voix de l'italien SE PERD DANS UNE ABONDANCE DE SANGLOTS; il reprend: qui vous amène e,"(222264, 222302)","(431691, 431720)"
Arnaud_Sentiment_4,"ndonne? Ne désespérons point (ET EN DISANT CES MOTS, ELLE ME REGARDAIT avec tendresse, et laissait c","audra bien qu'ils s'arrêtent; ET EN DISANT CES MOTS, ELLE REGARDAIT le jeune-homme, et pleurait e","(238472, 238512)","(431691, 431720)"
Beaumont_Clarice_0,oin que je répandrois jusqu'à LA DERNIÈRE GOUTTE DE MON SANG POUR LUI. Qu'il me prive de ses biens:,"tention, moi qui donnerais de BON CŒUR, ET AVEC JOIE, LA DERNIÈRE GOUTte de mon sang, pour lui procu","(39944, 39983)","(98638, 98678)"
Beaumont_Clarice_1,saient). Mon cœur m'a éclairé SUR LE PARTI QUE JE DOIS PRENDRE; je serai sans doute heureuse," vous permettre de me rejoindrE, JE NE PUIS RIEN FAIRE DE MIEUx que de consulter avec vous, ","(238607, 238639)","(98638, 98678)"
Benoist_Elisabeth_0, à ce trait de dissimulation; IL ÉTAIT AISÉ DE VOIR QUE LE moindre déguisement lui était,"lier, sur-tout par sa lettre, IL ÉTAIT AISÉ DE VOIR QUE LE baron l'avait souvent entrete","(60676, 60704)","(20162, 20190)"
