,Text in Constant_Laure2,Text in B,Location in Constant_Laure2,Location in B
Anonym_Suzon_0,"us faisons dans notre retraite; JE NE VEUX PAS VOUS FAIRE LANGUir, et je vais satisfaire votr","curiosité. Tenez, lui dis-je, JE NE VEUX PAS VOUS FAIRE LANGUIR davantage : voilà ce que vous","(117770, 117803)","(18827, 18860)"
Arnaud_Epoux_0," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","(78634, 78663)","(93940, 93969)"
Arnaud_Sentiment_0,"ez pas d'être aussi mon ami, oU JE SUIS LA PLUS MALHEUREUSE DES FEMMes, et je l'embrassai; ce n'es","n, je ne suis point coupable: JE SUIS LA PLUS MALHEUREUSE DES FEMMES. À ces mots, de nouvelles lar","(87370, 87408)","(64832, 64870)"
Beaumont_Clarice_0,"tout le reste est pour moi le PROCHAIN, QUE JE DOIS AIMER COMME MOI-MÊME, et que j'aimerai tant que je","lle soit, n'en est pas moins cE PROCHAIN QUE JE DOIS AIMER COMME MOI-MÊme. Je priai donc mon père de ","(15429, 15471)","(30745, 30786)"
bible_0,"hampêtre, il est aimé et chéri DE TOUT CE QUI EST AUTOUR DE lui; Mlle. de Mirfor l'a bien","Et je disperserai à tout vent TOUT CE QUI EST AUTOUR DE LUI pour son
secours, et toutes s","(134006, 134035)","(3114150, 3114179)"
Charriere_Lausanne_0," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e","(78634, 78663)","(141417, 141446)"
Constant_Laure1_0,"t à la dame à l'oreille, mais JE NE PERDIS PAS UN MOT DE la réponse: c'est sûrement, d","uverte, je m'en approchai, et JE NE PERDIS PAS UN MOT DE leur conversation. Après qu'i","(25835, 25861)","(81050, 81076)"
Constant_Laure1_1,"ieu, ma chère amie; amusez-vouS DE TOUT CE QUE JE VOUS Dis, ou je me reprocherai de vo", je ne suis pas trop contente DE TOUT CE QUE JE VOUS DIS; mais c'est à votre cœur bon ,"(58694, 58720)","(81050, 81076)"
Crebillon_Atheniennes_0,temps de passer chez Mr. de St. ANGE; IL EST POSSIBLE AUSSI QUE ce soit là qu'il est retenu; ," vous en faire des reproches. IL EST POSSIBLE AUSSI, QUE CE SOIT moins au raisonnement, et à u","(173808, 173841)","(247497, 247531)"
Crebillon_Atheniennes_1,"as. Je ne sais de Mr. de St. ANGE QUE CE QUE JE VOUS En ai dit, je n'ai pas cherché ","i qu'il me semble que, malgré CE QUE JE VOUS EN AI DIT dans des temps plus heureux, ","(177790, 177814)","(247497, 247531)"
Dorat_Malheurs_0,"ez pas d'être aussi mon ami, oU JE SUIS LA PLUS MALHEUREUSE DES FEMMes, et je l'embrassai; ce n'es",", je me suis trahie moi-même, JE SUIS LA PLUS MALHEUREUSE DES FEMMES; je vous écris en sanglottant","(87370, 87408)","(324639, 324677)"
Fievee_Dot_0,"ement, sont toujours content, ET SI JE NE LE SUIS PAS autant qu'eux, si au lieu de ","ra de moi pour être heureuse; ET, SI JE NE LE SUIS PAS, ma consolation sera que vous","(22930, 22953)","(50571, 50595)"
Florian_Estelle_0,"consoler: alors, elle me fit lE RÉCIT DE TOUT CE QUI S'ÉTAIT PASsé; elle me dit que Mr. de Fla","le fut près de s'évanouir, au RÉCIT DE TOUT CE QUI S'ÉTAIT PASSÉ. Sa rougeur et son silence fu","(108653, 108687)","(181201, 181235)"
Florian_Galatee_0,"ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOus dire; il faut bien vous lai",", et une vaine réconnaissance EST TOUT CE QUE JE PUIS VOUS offrir. Vous pouvez nous raco","(78630, 78658)","(61177, 61205)"
Fourqueux_Zely_0,"ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOus dire; il faut bien vous lai","“retenez bien mes conseils, c'EST TOUT “CE QUE JE PUIS VOUS laisser. Je vous “ai enlevé d","(78630, 78658)","(14294, 14323)"
Genlis_Adele_0,"re pour prendre congé de lui: ADIEU, MA CHÈRE AMIE, JE VOUS QUITTE POUR l'être qui m'intéresse le plu","rions incapables de la faire. ADIEU, MA CHÈRE AMIE; JE VOUS QUITTE POUR lire avec Adèle, qui dans ce ","(12055, 12096)","(99598, 99639)"
Genlis_Adele_1," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","désirs d'en savoir davantage: TOUT CE QUE JE PUIS VOUS DIRE, répondit-il, c'est que ce je","(78634, 78663)","(99598, 99639)"
Genlis_Adele_2," conclura rien contre sa fille. JE NE SUIS PAS TROP CONTENTE du mien, il n'est pas achevé; ",. du moins j'en ai bien peur. JE NE SUIS PAS TROP CONTENTE DU comte de Belmire; je comprend,"(92403, 92434)","(99598, 99639)"
Genlis_Chevaliers_0," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, c'est que, dans une de nos s","(78634, 78663)","(184248, 184277)"
Jacquin_Parisiennes_0,loges; j'admirai sa coiffure; JE LUI DEMANDAI LA PERMISSION DE LA prendre pour modèle; je l'ass,i avait celui de l'approcher. JE LUI DEMANDAI LA PERMISSION DE LUI rendre souvent mes devoirs: a,"(20988, 21023)","(121966, 122002)"
Kimber_Thompson_0,"ai par mon air tranquille. 
C'EST AVEC LES PLUS GRANDS REGRETS QUE JE vais m'éloigner de mon cher s","re complètement satisfait. 
C'EST AVEC LES PLUS GRANDS REGRETS QUE JE m'en suis séparé pour aller a","(11393, 11432)","(556597, 556636)"
Laclos_Liaisons_0,"nge; je voulais vous l'écrire TOUT DE SUITE, ET PUIS JE N'Y AI plus pensé. 
Je dois vous par","se. Je l'ai relue quatre fois TOUT DE SUITE, ET PUIS JE L'AI serrée dans mon secrétaire. J","(29748, 29780)","(66287, 66317)"
Laclos_Liaisons_1,onnée de la datte de ma lettre; LA DERNIÈRE QUE JE VOUS AI ÉCRIte n'a pas dû vous faire croir,"se plus sage et plus claire à LA DERNIÈRE QUE JE VOUS AI ÉCRITE. 
Adieu, ma belle amie ; méfi","(102875, 102908)","(66287, 66317)"
Laclos_Liaisons_2," sérieux et contrit, je sais aIMER, MAIS CE N'EST PAS UNE RAISOn pour l'être. Mlle. de Mirfor"," bien que vous êtes son ami ; MAIS CE N'EST PAS UNE RAISON POUR le chagriner, ni moi non plus","(134744, 134777)","(66287, 66317)"
Lagrave_Sophie_0,rait trop le front et les yeux; IL NE FAUT PAS AVOIR L'AIR de vouloir cacher ses traits. ,"tre nous, qu'elle n'en est pas FÂCHÉE; MAIS IL NE FAUT PAS avoir l'air de voir cela. M. d","(57543, 57572)","(126297, 126326)"
Lagrave_Zabeth_0," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, c'est que la vieille femme c","(78634, 78663)","(285896, 285925)"
LaPlace_Collection_0,"uniquerait à ma mère une partiE DE CE QUE JE VENAIS DE DIre, et que je lui en parlerais",er entra. Je demeurai confuse DE CE QUE JE VENAIS DE DIRE à la comtesse; et je ne m'ape,"(81935, 81962)","(271074, 271101)"
LaPlace_Collection_1,"e papier. Adieu, ma chère amie, JE NE SERAI PAS LONG-TEMPS SAns vous écrire encore. Prenez ","ai point que je t'ai „vue, et JE NE SERAI PAS LONG-TEMPS SANS l'envoyer ou sans l'amener mo","(91648, 91679)","(271074, 271101)"
LaPlace_Collection_2, suppliai qu'on ne parlât poinT DE CE QUI VENAIT DE SE PASSer; bientôt je restai seule av,"urait par moi la connaissance DE CE QUI VENAIT DE SE PASSER, et que je n'entretiendrois m","(107694, 107723)","(271074, 271101)"
Lesuire_Aventurier_0,"e veux pas en essaier un autre. JE NE SAIS CE QUE VOUS VOULEZ DIre, Mademoiselle, mais j'ai bi",s m'affligez de parler ainsi. JE NE SAIS CE QUE VOUS VOULEZ DIRE. Jn'ai pas mis le pied dans a,"(77134, 77168)","(823391, 823425)"
Lesuire_Crime_0,"ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser "," des autres, Le Repentir. 
“C'EST TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ","(78630, 78663)","(8433, 8467)"
Lesuire_Crime_1,"nsible à mon empressement, et IL ME LE TÉMOIGNA DE LA MANIÈRE La plus touchante; je le trouva","éressâmes l'un l'autre. Il nouS LE TÉMOIGNA DE LA MANIÈRE LA PLus honnête, , à notre prière, ","(144033, 144066)","(8433, 8467)"
Loaisel_Ainsi_0,"ain ordinaire des choses; alorS DES LARMES SONT TOMBÉES DE MES YEux: mon père, je n'exige rien,","uloureux m'a coupé la parole; DES LARMES SONT TOMBÉES DE MES YEUX, et c'était pour moi une sort","(77327, 77362)","(192673, 192708)"
Louvet_Annee_0," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","(78634, 78663)","(144267, 144296)"
Louvet_Fin_0," conduire elle et les autres; IL NE VEUT PAS QUE SA FILLE, pour l'éducation de laquelle"," étourdis. Le baron se fâche, IL NE VEUT PAS QUE SA FILLE dîne avec vous. En conscience","(39214, 39241)","(23219, 23246)"
Mercier_Jezennemours_0,"consoler: alors, elle me fit lE RÉCIT DE TOUT CE QUI S'ÉTAIT PASsé; elle me dit que Mr. de Fla","e là, Jezennemours lui fit un RÉCIT DE TOUT CE QUI S'ÉTAIT PASSÉ entre lui et M De Chaterbaune","(108653, 108687)","(351444, 351478)"
Nerciat_Felicia_0, suppliai qu'on ne parlât poinT DE CE QUI VENAIT DE SE PASSer; bientôt je restai seule av,"s retournée, riant aux larmes DE CE QUI VENAIT DE SE PASSER. Son air humilié redoubla mes","(107694, 107723)","(316999, 317028)"
Prevost_Manon_0,on entrait dans une chambre où NOUS ENTENDIONS LE BRUIT DE PLUSIEURS PERSONNes qui en secourent une autre;,"s ainsi tout occupé d'elle, j'ENTENDIS LE BRUIT DE PLUSIEURS PERSONNES QUI montaient l'escalier. On frap","(146273, 146319)","(33363, 33407)"
Prevost_Monde_0,"x que l'on porte aujourd'hui; JE NE DOUTAI PAS QUE CE NE FUT une épigramme, sur ce que je ","olitaire recula d'étonnement. JE NE DOUTAI PAS QUE CE NE FÛT une partie concertée, pour le","(20442, 20472)","(175482, 175512)"
Retif_Paysanne_0,ne extrême répugnance à écrire; JE NE SAVAIS PAS CE QUE C'ÉTAit que d'écrire à un homme qui,"e pus me défendre. Mais comme JE NE SAVAIS PAS CE QUE C'ÉTAIT, je ne fus pas si en colère q","(72194, 72225)","(79641, 79672)"
Retif_Paysanne_1," aise de revoir Mr. de MarvillE LE PLUS-TÔT POSSIBLE, AFIN DE ne laisser aucune suite ni auc","la faire tenir à Mme Parangon LE PLUS TÔT POSSIBLE, AFIN DE NE pas manquer l'occasion de son","(80721, 80753)","(79641, 79672)"
Rousseau_Julie_0," J'aurois beaucoup de peine à VOUS DIRE CE QUE JE PENSE DE CE mariage, et quelles sont nos ","m’est pas possible. 
Avant de VOUS DIRE CE QUE JE PENSE DE CE fameux théâtre, que je vous r","(32929, 32960)","(534450, 534481)"
Sade_120_0,"ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser "," le faire rouer, messieurs, c'EST TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","(78630, 78663)","(428063, 428096)"
Sade_Aline_0,"vous faites, je vous en prie, JE SERAIS BIEN PLUS HEUREUSE SI JE pouvais avoir vos avis. 
J'ai", par les plus rudes combats…. JE SERAIS BIEN PLUS HEUREUSE SI JE ne sentais rien. Que je suis ,"(22561, 22595)","(250518, 250552)"
Sade_Aline_1,"ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser "," passés à des collatéraux … c’EST TOUT CE QUE JE PUIS VOUS DIRE, qui que ce fut que vous inte","(78630, 78663)","(250518, 250552)"
Sade_Justine_0,"e; répondez mieux à mon amitié, JE VOUS EN CONJURE, OU JE ne croirai qu'à la mienne: vou"," ne croyez, monsieur usez-en, JE VOUS EN CONJURE, OU JE NE sors point avec vous ; la fem","(117544, 117572)","(553743, 553771)"
Sade_Philosophie_0,"ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","(78630, 78663)","(343584, 343617)"
Segur_Correspondance_0,"ois de le connaître: au fond, JE NE M'EN SOUCIE POINT DU TOUT; j'aurai assez d'occasions de","a santé: je ne vois personne, JE NE M'EN SOUCIE POINT DU TOUT. Tout le monde me paraît si a","(6353, 6384)","(308841, 308872)"
